摘要
[样品信息]
类型:,测定数据
数据集名:,RawData
样品名称:,1
样品ID:,1
选项
分析者
创建日期和时间:,2026/04/10 14:01:22
注释
参数文件名:,123.vspm
报告文件名
[软件信息]
软件名称:,LabSolutions UV-Vis
版本:,1.12
[仪器信息]
仪器名称:,UV-2700i
仪器类型:,UV-2700 系列
型号(S/N):,UV-2700i (A12606030313)

测定参数
[测定]
开始(nm):,700 nm
结束(nm):,350 nm
数据间隔(nm):,1.0
扫描速度:,快速
光度值类型:,吸收值
[附件]
附件:,无
[高级设置]
狭缝宽度:,2.0
检测器单元:,直接
光源转换波长:,323
S/R切换:,标准
阶梯校正:,ON
[重复]
重复测定:,OFF
[后处理]
光谱转换:,OFF
数据处理表:,OFF
打印:,OFF

波长(nm),吸收值
350.0,0.654308
351.0,0.626405
352.0,0.598329
353.0,0.574923
354.0,0.551380
355.0,0.529259
356.0,0.506532
357.0,0.486694
358.0,0.466440
359.0,0.447323
360.0,0.429118
361.0,0.413989
362.0,0.399929
363.0,0.385629
364.0,0.373020
365.0,0.361127
366.0,0.347745
367.0,0.337526
368.0,0.325324
369.0,0.316471
370.0,0.306142
371.0,0.297209
372.0,0.288833
373.0,0.280059
374.0,0.271869
375.0,0.263921
376.0,0.256491
377.0,0.249544
378.0,0.240989
379.0,0.233989
380.0,0.227275
381.0,0.220053
382.0,0.213624
383.0,0.206272
384.0,0.199343
385.0,0.192797
386.0,0.186662
387.0,0.179501
388.0,0.173503
389.0,0.167737
390.0,0.161145
391.0,0.155270
392.0,0.148542
393.0,0.142693
394.0,0.137521
395.0,0.131338
396.0,0.127585
397.0,0.121497
398.0,0.116654
399.0,0.111896
400.0,0.106964
401.0,0.102258
402.0,0.098315
403.0,0.093767
404.0,0.089664
405.0,0.085446
406.0,0.081976
407.0,0.078741
408.0,0.075642
409.0,0.072614
410.0,0.069749
411.0,0.066584
412.0,0.064605
413.0,0.061857
414.0,0.060210
415.0,0.058057
416.0,0.056357
417.0,0.054560
418.0,0.053715
419.0,0.052247
420.0,0.051260
421.0,0.050439
422.0,0.050206
423.0,0.049743
424.0,0.049413
425.0,0.049158
426.0,0.049047
427.0,0.049448
428.0,0.049266
429.0,0.050340
430.0,0.050907
431.0,0.051036
432.0,0.052122
433.0,0.052953
434.0,0.053179
435.0,0.055297
436.0,0.055608
437.0,0.056806
438.0,0.058618
439.0,0.060046
440.0,0.061251
441.0,0.062256
442.0,0.064002
443.0,0.065005
444.0,0.066823
445.0,0.068368
446.0,0.070061
447.0,0.071596
448.0,0.073265
449.0,0.074679
450.0,0.076367
451.0,0.077740
452.0,0.079467
453.0,0.081567
454.0,0.083038
455.0,0.084629
456.0,0.085167
457.0,0.088119
458.0,0.088976
459.0,0.090407
460.0,0.092313
461.0,0.093867
462.0,0.094933
463.0,0.096862
464.0,0.098368
465.0,0.099870
466.0,0.100659
467.0,0.102272
468.0,0.103379
469.0,0.105160
470.0,0.105834
471.0,0.107286
472.0,0.108808
473.0,0.110246
474.0,0.111522
475.0,0.112497
476.0,0.113599
477.0,0.114990
478.0,0.116195
479.0,0.117423
480.0,0.118317
481.0,0.119430
482.0,0.120790
483.0,0.121765
484.0,0.123253
485.0,0.124728
486.0,0.125529
487.0,0.126902
488.0,0.127989
489.0,0.129523
490.0,0.130545
491.0,0.132396
492.0,0.133087
493.0,0.134639
494.0,0.135736
