"Group_5_1_Ag_20.spc - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
300.00,0.044
301.00,0.043
302.00,0.041
303.00,0.039
304.00,0.038
305.00,0.035
306.00,0.033
307.00,0.032
308.00,0.029
309.00,0.027
310.00,0.026
311.00,0.024
312.00,0.023
313.00,0.021
314.00,0.020
315.00,0.019
316.00,0.018
317.00,0.017
318.00,0.016
319.00,0.016
320.00,0.016
321.00,0.015
322.00,0.015
323.00,0.015
324.00,0.016
325.00,0.016
326.00,0.017
327.00,0.017
328.00,0.018
329.00,0.019
330.00,0.020
331.00,0.021
332.00,0.022
333.00,0.023
334.00,0.024
335.00,0.026
336.00,0.028
337.00,0.029
338.00,0.031
339.00,0.033
340.00,0.035
341.00,0.037
342.00,0.039
343.00,0.041
344.00,0.044
345.00,0.046
346.00,0.049
347.00,0.050
348.00,0.052
349.00,0.054
350.00,0.055
351.00,0.056
352.00,0.056
353.00,0.057
354.00,0.057
355.00,0.058
356.00,0.059
357.00,0.060
358.00,0.062
359.00,0.063
360.00,0.064
361.00,0.066
362.00,0.068
363.00,0.070
364.00,0.073
365.00,0.074
366.00,0.077
367.00,0.079
368.00,0.082
369.00,0.084
370.00,0.087
371.00,0.088
372.00,0.092
373.00,0.094
374.00,0.096
375.00,0.100
376.00,0.102
377.00,0.104
378.00,0.106
379.00,0.109
380.00,0.112
381.00,0.114
382.00,0.116
383.00,0.119
384.00,0.120
385.00,0.122
386.00,0.124
387.00,0.125
388.00,0.127
389.00,0.128
390.00,0.129
391.00,0.130
392.00,0.131
393.00,0.131
394.00,0.132
395.00,0.133
396.00,0.134
397.00,0.135
398.00,0.135
399.00,0.137
400.00,0.138
401.00,0.139
402.00,0.141
403.00,0.141
404.00,0.143
405.00,0.144
406.00,0.146
407.00,0.147
408.00,0.149
409.00,0.150
410.00,0.152
411.00,0.153
412.00,0.154
413.00,0.156
414.00,0.158
415.00,0.159
416.00,0.160
417.00,0.161
418.00,0.162
419.00,0.163
420.00,0.165
421.00,0.166
422.00,0.167
423.00,0.168
424.00,0.169
425.00,0.167
426.00,0.168
427.00,0.169
428.00,0.170
429.00,0.171
430.00,0.171
431.00,0.171
432.00,0.171
433.00,0.172
434.00,0.173
435.00,0.173
436.00,0.173
437.00,0.173
438.00,0.173
439.00,0.173
440.00,0.173
441.00,0.173
442.00,0.173
443.00,0.173
444.00,0.173
445.00,0.173
446.00,0.172
447.00,0.172
448.00,0.172
449.00,0.172
450.00,0.171
451.00,0.170
452.00,0.170
453.00,0.169
454.00,0.169
455.00,0.168
456.00,0.168
457.00,0.167
458.00,0.166
459.00,0.166
460.00,0.165
461.00,0.164
462.00,0.163
463.00,0.162
464.00,0.161
465.00,0.160
466.00,0.159
467.00,0.158
468.00,0.157
469.00,0.156
470.00,0.154
471.00,0.153
472.00,0.152
473.00,0.151
474.00,0.150
475.00,0.149
476.00,0.147
477.00,0.146
478.00,0.145
479.00,0.143
480.00,0.142
481.00,0.141
482.00,0.140
483.00,0.138
484.00,0.137
485.00,0.136
486.00,0.134
487.00,0.133
488.00,0.132
489.00,0.130
490.00,0.129
491.00,0.128
492.00,0.127
493.00,0.125
494.00,0.124
495.00,0.123
496.00,0.122
497.00,0.120
498.00,0.119
499.00,0.118
500.00,0.116
501.00,0.115
502.00,0.114
503.00,0.113
504.00,0.111
505.00,0.110
506.00,0.109
507.00,0.108
508.00,0.106
509.00,0.105
510.00,0.104
511.00,0.103
512.00,0.102
513.00,0.100
514.00,0.099
515.00,0.098
516.00,0.097
517.00,0.096
518.00,0.095
519.00,0.094
520.00,0.093
521.00,0.091
522.00,0.090
523.00,0.089
524.00,0.088
525.00,0.087
526.00,0.086
527.00,0.085
528.00,0.084
529.00,0.083
530.00,0.082
531.00,0.081
532.00,0.080
533.00,0.079
534.00,0.079
535.00,0.078
536.00,0.077
537.00,0.076
538.00,0.075
539.00,0.074
540.00,0.073
541.00,0.072
542.00,0.072
543.00,0.071
544.00,0.070
545.00,0.069
546.00,0.068
547.00,0.067
548.00,0.067
549.00,0.066
550.00,0.065
551.00,0.064
552.00,0.064
553.00,0.063
554.00,0.062
555.00,0.062
556.00,0.061
557.00,0.060
558.00,0.060
559.00,0.059
560.00,0.058
561.00,0.058
562.00,0.057
563.00,0.056
564.00,0.056
565.00,0.055
566.00,0.054
567.00,0.054
568.00,0.053
569.00,0.053
570.00,0.052
571.00,0.052
572.00,0.051
573.00,0.051
574.00,0.050
575.00,0.049
576.00,0.049
577.00,0.049
578.00,0.048
579.00,0.048
580.00,0.047
581.00,0.047
582.00,0.046
583.00,0.046
584.00,0.045
585.00,0.045
586.00,0.045
587.00,0.044
588.00,0.044
589.00,0.043
590.00,0.043
591.00,0.042
592.00,0.042
593.00,0.042
594.00,0.041
595.00,0.041
596.00,0.041
597.00,0.040
598.00,0.040
599.00,0.039
600.00,0.038
601.00,0.038
602.00,0.038
603.00,0.038
604.00,0.037
605.00,0.037
606.00,0.037
607.00,0.036
608.00,0.036
609.00,0.036
610.00,0.035
611.00,0.035
612.00,0.035
613.00,0.034
614.00,0.034
615.00,0.034
616.00,0.034
617.00,0.033
618.00,0.033
619.00,0.033
620.00,0.033
621.00,0.032
622.00,0.032
623.00,0.032
624.00,0.032
625.00,0.031
626.00,0.031
627.00,0.031
628.00,0.031
629.00,0.031
630.00,0.030
631.00,0.030
632.00,0.030
633.00,0.030
634.00,0.029
635.00,0.029
636.00,0.029
637.00,0.029
638.00,0.029
639.00,0.028
640.00,0.028
641.00,0.028
642.00,0.028
643.00,0.028
644.00,0.027
645.00,0.027
646.00,0.027
647.00,0.027
648.00,0.027
649.00,0.026
650.00,0.026
651.00,0.026
652.00,0.026
653.00,0.026
654.00,0.026
655.00,0.025
656.00,0.025
657.00,0.025
658.00,0.025
659.00,0.025
660.00,0.025
661.00,0.024
662.00,0.024
663.00,0.024
664.00,0.024
665.00,0.024
666.00,0.024
667.00,0.024
668.00,0.024
669.00,0.024
670.00,0.024
671.00,0.023
672.00,0.023
673.00,0.023
674.00,0.023
675.00,0.023
676.00,0.023
677.00,0.022
678.00,0.022
679.00,0.022
680.00,0.022
681.00,0.022
682.00,0.022
683.00,0.021
684.00,0.021
685.00,0.021
686.00,0.021
687.00,0.021
688.00,0.021
689.00,0.020
690.00,0.020
691.00,0.020
692.00,0.020
693.00,0.020
694.00,0.020
695.00,0.020
696.00,0.020
697.00,0.020
698.00,0.019
699.00,0.019
700.00,0.019
701.00,0.019
702.00,0.019
703.00,0.019
704.00,0.019
705.00,0.019
706.00,0.019
707.00,0.018
708.00,0.018
709.00,0.018
710.00,0.018
711.00,0.018
712.00,0.018
713.00,0.018
714.00,0.018
715.00,0.018
716.00,0.018
717.00,0.017
718.00,0.017
719.00,0.017
720.00,0.017
721.00,0.017
722.00,0.017
723.00,0.017
724.00,0.017
