"Group_5_2_Au_600.spc - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
300.00,0.106
301.00,0.106
302.00,0.105
303.00,0.104
304.00,0.104
305.00,0.102
306.00,0.102
307.00,0.101
308.00,0.100
309.00,0.100
310.00,0.100
311.00,0.098
312.00,0.098
313.00,0.097
314.00,0.096
315.00,0.096
316.00,0.096
317.00,0.095
318.00,0.094
319.00,0.094
320.00,0.094
321.00,0.093
322.00,0.092
323.00,0.092
324.00,0.092
325.00,0.092
326.00,0.091
327.00,0.090
328.00,0.091
329.00,0.090
330.00,0.090
331.00,0.089
332.00,0.089
333.00,0.089
334.00,0.089
335.00,0.089
336.00,0.088
337.00,0.088
338.00,0.088
339.00,0.088
340.00,0.087
341.00,0.087
342.00,0.087
343.00,0.087
344.00,0.086
345.00,0.086
346.00,0.087
347.00,0.086
348.00,0.087
349.00,0.087
350.00,0.086
351.00,0.087
352.00,0.086
353.00,0.086
354.00,0.086
355.00,0.086
356.00,0.086
357.00,0.086
358.00,0.085
359.00,0.085
360.00,0.085
361.00,0.086
362.00,0.085
363.00,0.085
364.00,0.085
365.00,0.085
366.00,0.085
367.00,0.085
368.00,0.085
369.00,0.084
370.00,0.085
371.00,0.085
372.00,0.085
373.00,0.085
374.00,0.084
375.00,0.084
376.00,0.083
377.00,0.083
378.00,0.083
379.00,0.083
380.00,0.083
381.00,0.083
382.00,0.082
383.00,0.082
384.00,0.082
385.00,0.082
386.00,0.081
387.00,0.081
388.00,0.081
389.00,0.081
390.00,0.081
391.00,0.080
392.00,0.081
393.00,0.080
394.00,0.080
395.00,0.080
396.00,0.080
397.00,0.080
398.00,0.079
399.00,0.079
400.00,0.079
401.00,0.079
402.00,0.079
403.00,0.078
404.00,0.078
405.00,0.078
406.00,0.078
407.00,0.077
408.00,0.077
409.00,0.077
410.00,0.077
411.00,0.077
412.00,0.077
413.00,0.076
414.00,0.077
415.00,0.076
416.00,0.077
417.00,0.076
418.00,0.076
419.00,0.076
420.00,0.076
421.00,0.076
422.00,0.075
423.00,0.075
424.00,0.076
425.00,0.074
426.00,0.075
427.00,0.075
428.00,0.074
429.00,0.074
430.00,0.074
431.00,0.074
432.00,0.074
433.00,0.074
434.00,0.074
435.00,0.074
436.00,0.074
437.00,0.074
438.00,0.074
439.00,0.074
440.00,0.074
441.00,0.073
442.00,0.074
443.00,0.073
444.00,0.073
445.00,0.073
446.00,0.073
447.00,0.073
448.00,0.073
449.00,0.074
450.00,0.074
451.00,0.073
452.00,0.074
453.00,0.074
454.00,0.074
455.00,0.074
456.00,0.074
457.00,0.074
458.00,0.074
459.00,0.075
460.00,0.075
461.00,0.075
462.00,0.075
463.00,0.075
464.00,0.075
465.00,0.076
466.00,0.076
467.00,0.076
