"group6-1-Ag-20.spc - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
300.00,0.050
301.00,0.049
302.00,0.046
303.00,0.044
304.00,0.043
305.00,0.040
306.00,0.038
307.00,0.036
308.00,0.033
309.00,0.032
310.00,0.030
311.00,0.028
312.00,0.027
313.00,0.025
314.00,0.024
315.00,0.023
316.00,0.022
317.00,0.021
318.00,0.020
319.00,0.020
320.00,0.020
321.00,0.019
322.00,0.019
323.00,0.019
324.00,0.020
325.00,0.020
326.00,0.021
327.00,0.021
328.00,0.022
329.00,0.023
330.00,0.024
331.00,0.024
332.00,0.025
333.00,0.027
334.00,0.029
335.00,0.030
336.00,0.032
337.00,0.033
338.00,0.035
339.00,0.038
340.00,0.039
341.00,0.042
342.00,0.044
343.00,0.046
344.00,0.049
345.00,0.052
346.00,0.054
347.00,0.056
348.00,0.059
349.00,0.061
350.00,0.063
351.00,0.065
352.00,0.067
353.00,0.069
354.00,0.070
355.00,0.073
356.00,0.074
357.00,0.075
358.00,0.077
359.00,0.078
360.00,0.081
361.00,0.082
362.00,0.084
363.00,0.085
364.00,0.089
365.00,0.090
366.00,0.092
367.00,0.094
368.00,0.097
369.00,0.099
370.00,0.102
371.00,0.104
372.00,0.106
373.00,0.109
374.00,0.111
375.00,0.114
376.00,0.116
377.00,0.119
378.00,0.121
379.00,0.124
380.00,0.127
381.00,0.129
382.00,0.131
383.00,0.134
384.00,0.136
385.00,0.138
386.00,0.141
387.00,0.143
388.00,0.145
389.00,0.147
390.00,0.150
391.00,0.152
392.00,0.155
393.00,0.157
394.00,0.159
395.00,0.161
396.00,0.164
397.00,0.166
398.00,0.168
399.00,0.170
400.00,0.172
401.00,0.174
402.00,0.176
403.00,0.178
404.00,0.180
405.00,0.183
406.00,0.185
407.00,0.186
408.00,0.188
409.00,0.190
410.00,0.191
411.00,0.193
412.00,0.194
413.00,0.196
414.00,0.198
415.00,0.199
416.00,0.200
417.00,0.201
418.00,0.202
419.00,0.203
420.00,0.204
421.00,0.204
422.00,0.205
423.00,0.205
424.00,0.206
425.00,0.203
426.00,0.203
427.00,0.204
428.00,0.204
429.00,0.204
430.00,0.204
431.00,0.203
432.00,0.203
433.00,0.203
434.00,0.202
435.00,0.202
436.00,0.201
437.00,0.201
438.00,0.200
439.00,0.200
440.00,0.199
441.00,0.198
442.00,0.197
443.00,0.196
444.00,0.195
445.00,0.194
446.00,0.194
447.00,0.193
448.00,0.191
449.00,0.190
450.00,0.189
451.00,0.187
452.00,0.186
453.00,0.185
454.00,0.183
455.00,0.182
456.00,0.181
457.00,0.179
458.00,0.178
459.00,0.176
460.00,0.175
461.00,0.173
462.00,0.171
463.00,0.170
464.00,0.168
465.00,0.166
466.00,0.165
467.00,0.163
468.00,0.161
469.00,0.160
470.00,0.158
471.00,0.156
472.00,0.154
473.00,0.153
474.00,0.151
475.00,0.149
476.00,0.147
477.00,0.145
478.00,0.144
479.00,0.142
480.00,0.140
481.00,0.139
482.00,0.137
483.00,0.135
484.00,0.134
485.00,0.132
486.00,0.131
487.00,0.129
488.00,0.127
489.00,0.125
490.00,0.124
491.00,0.122
492.00,0.121
493.00,0.119
494.00,0.118
495.00,0.116
496.00,0.115
497.00,0.113
498.00,0.111
499.00,0.110
500.00,0.109
501.00,0.107
502.00,0.106
503.00,0.104
504.00,0.103
505.00,0.102
506.00,0.100
507.00,0.099
508.00,0.097
509.00,0.096
510.00,0.095
511.00,0.094
512.00,0.092
513.00,0.091
514.00,0.090
515.00,0.089
516.00,0.088
517.00,0.087
518.00,0.085
519.00,0.084
520.00,0.083
521.00,0.082
522.00,0.081
523.00,0.080
524.00,0.079
525.00,0.078
526.00,0.077
527.00,0.076
528.00,0.075
529.00,0.074
530.00,0.073
531.00,0.072
532.00,0.071
533.00,0.070
534.00,0.070
535.00,0.069
536.00,0.068
537.00,0.067
538.00,0.066
539.00,0.065
540.00,0.065
541.00,0.064
542.00,0.063
543.00,0.063
544.00,0.062
545.00,0.061
546.00,0.061
547.00,0.060
548.00,0.059
549.00,0.058
550.00,0.058
551.00,0.057
552.00,0.056
553.00,0.056
554.00,0.055
555.00,0.055
556.00,0.054
557.00,0.053
558.00,0.053
559.00,0.052
560.00,0.052
561.00,0.051
562.00,0.051
563.00,0.050
564.00,0.050
565.00,0.049
566.00,0.049
567.00,0.048
568.00,0.048
569.00,0.047
570.00,0.047
571.00,0.047
572.00,0.046
573.00,0.046
574.00,0.045
575.00,0.045
576.00,0.045
577.00,0.044
578.00,0.044
579.00,0.044
580.00,0.043
581.00,0.043
582.00,0.042
583.00,0.042
584.00,0.042
585.00,0.041
586.00,0.041
587.00,0.041
588.00,0.040
589.00,0.040
590.00,0.040
591.00,0.039
592.00,0.039
593.00,0.039
594.00,0.038
595.00,0.038
596.00,0.038
597.00,0.038
598.00,0.037
599.00,0.037
600.00,0.036
601.00,0.036
602.00,0.036
603.00,0.035
604.00,0.035
605.00,0.035
606.00,0.035
607.00,0.034
608.00,0.034
609.00,0.034
610.00,0.034
611.00,0.033
612.00,0.033
613.00,0.033
614.00,0.033
615.00,0.033
616.00,0.032
617.00,0.032
618.00,0.032
619.00,0.032
620.00,0.032
621.00,0.031
622.00,0.031
623.00,0.031
624.00,0.031
625.00,0.031
626.00,0.030
627.00,0.030
628.00,0.030
629.00,0.030
630.00,0.030
631.00,0.030
632.00,0.029
633.00,0.029
634.00,0.029
635.00,0.029
636.00,0.029
637.00,0.029
638.00,0.028
639.00,0.028
640.00,0.028
641.00,0.028
642.00,0.028
643.00,0.028
644.00,0.028
645.00,0.027
646.00,0.027
647.00,0.027
648.00,0.027
649.00,0.027
650.00,0.027
651.00,0.027
652.00,0.026
653.00,0.027
654.00,0.026
655.00,0.026
656.00,0.026
657.00,0.026
658.00,0.026
659.00,0.026
660.00,0.026
661.00,0.025
662.00,0.025
663.00,0.025
664.00,0.025
665.00,0.025
666.00,0.025
667.00,0.025
668.00,0.025
669.00,0.025
670.00,0.025
671.00,0.025
672.00,0.024
673.00,0.024
674.00,0.024
675.00,0.024
676.00,0.024
677.00,0.024
678.00,0.024
679.00,0.024
680.00,0.023
681.00,0.023
682.00,0.023
683.00,0.023
684.00,0.023
685.00,0.023
686.00,0.023
687.00,0.023
688.00,0.023
689.00,0.022
690.00,0.022
691.00,0.022
692.00,0.022
693.00,0.022
694.00,0.022
695.00,0.022
696.00,0.022
697.00,0.022
698.00,0.022
699.00,0.021
700.00,0.021
701.00,0.021
702.00,0.021
703.00,0.021
704.00,0.021
705.00,0.021
706.00,0.021
707.00,0.021
708.00,0.021
709.00,0.021
710.00,0.021
711.00,0.020
712.00,0.020
713.00,0.020
714.00,0.020
715.00,0.020
716.00,0.020
717.00,0.020
718.00,0.020
719.00,0.020
720.00,0.020
721.00,0.020
722.00,0.019
723.00,0.019
724.00,0.019
725.00,0.019
726.00,0.019
727.00,0.019
728.00,0.019
729.00,0.019
730.00,0.019
731.00,0.019
732.00,0.019
733.00,0.019
734.00,0.019
735.00,0.019
736.00,0.018
737.00,0.018
738.00,0.018
739.00,0.018
740.00,0.018
741.00,0.018
742.00,0.018
743.00,0.018
744.00,0.018
745.00,0.018
746.00,0.018
747.00,0.018
748.00,0.018
749.00,0.018
750.00,0.018
751.00,0.017
752.00,0.018
753.00,0.017
754.00,0.017
755.00,0.017
756.00,0.017
757.00,0.017
758.00,0.017
759.00,0.017
760.00,0.017
761.00,0.017
762.00,0.017
763.00,0.017
764.00,0.017
765.00,0.017
766.00,0.017
767.00,0.017
768.00,0.016
769.00,0.016
770.00,0.016
771.00,0.016
772.00,0.016
773.00,0.016
774.00,0.016
775.00,0.016
776.00,0.016
777.00,0.016
778.00,0.016
779.00,0.016
780.00,0.016
781.00,0.016
782.00,0.016
783.00,0.016
784.00,0.016
785.00,0.016
786.00,0.016
