"group-6-1-Au-600.spc - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
300.00,0.170
301.00,0.170
302.00,0.169
303.00,0.168
304.00,0.168
305.00,0.168
306.00,0.167
307.00,0.167
308.00,0.166
309.00,0.166
310.00,0.165
311.00,0.165
312.00,0.165
313.00,0.164
314.00,0.163
315.00,0.163
316.00,0.162
317.00,0.162
318.00,0.161
319.00,0.160
320.00,0.160
321.00,0.159
322.00,0.158
323.00,0.158
324.00,0.157
325.00,0.156
326.00,0.156
327.00,0.156
328.00,0.155
329.00,0.154
330.00,0.154
331.00,0.153
332.00,0.152
333.00,0.151
334.00,0.151
335.00,0.151
336.00,0.150
337.00,0.149
338.00,0.148
339.00,0.148
340.00,0.147
341.00,0.146
342.00,0.146
343.00,0.145
344.00,0.144
345.00,0.144
346.00,0.144
347.00,0.143
348.00,0.142
349.00,0.142
350.00,0.142
351.00,0.142
352.00,0.141
353.00,0.141
354.00,0.141
355.00,0.141
356.00,0.141
357.00,0.141
358.00,0.140
359.00,0.140
360.00,0.140
361.00,0.140
362.00,0.140
363.00,0.140
364.00,0.140
365.00,0.140
366.00,0.140
367.00,0.139
368.00,0.139
369.00,0.139
370.00,0.139
371.00,0.139
372.00,0.139
373.00,0.138
374.00,0.139
375.00,0.137
376.00,0.138
377.00,0.137
378.00,0.137
379.00,0.137
380.00,0.136
381.00,0.136
382.00,0.136
383.00,0.135
384.00,0.135
385.00,0.135
386.00,0.134
387.00,0.134
388.00,0.134
389.00,0.134
390.00,0.133
391.00,0.133
392.00,0.133
393.00,0.132
394.00,0.132
395.00,0.131
396.00,0.132
397.00,0.131
398.00,0.130
399.00,0.130
400.00,0.130
401.00,0.130
402.00,0.129
403.00,0.129
404.00,0.129
405.00,0.128
406.00,0.128
407.00,0.127
408.00,0.128
409.00,0.127
410.00,0.126
411.00,0.126
412.00,0.126
413.00,0.126
414.00,0.126
415.00,0.125
416.00,0.126
417.00,0.125
418.00,0.124
419.00,0.124
420.00,0.124
421.00,0.124
422.00,0.123
423.00,0.123
424.00,0.123
425.00,0.122
426.00,0.122
427.00,0.122
428.00,0.121
429.00,0.122
430.00,0.121
431.00,0.121
432.00,0.120
433.00,0.120
434.00,0.120
435.00,0.120
436.00,0.120
437.00,0.120
438.00,0.119
439.00,0.119
440.00,0.119
441.00,0.119
442.00,0.119
443.00,0.119
444.00,0.118
445.00,0.118
446.00,0.118
447.00,0.118
448.00,0.118
449.00,0.118
450.00,0.118
451.00,0.118
452.00,0.118
453.00,0.117
454.00,0.118
455.00,0.118
456.00,0.118
457.00,0.118
458.00,0.118
459.00,0.118
460.00,0.118
461.00,0.118
462.00,0.118
463.00,0.118
464.00,0.118
465.00,0.118
466.00,0.118
467.00,0.118
468.00,0.119
469.00,0.119
470.00,0.119
471.00,0.119
472.00,0.119
473.00,0.120
474.00,0.120
475.00,0.121
476.00,0.121
477.00,0.121
478.00,0.122
479.00,0.122
480.00,0.123
481.00,0.124
482.00,0.125
483.00,0.126
484.00,0.127
485.00,0.127
486.00,0.128
487.00,0.130
488.00,0.131
489.00,0.132
490.00,0.134
491.00,0.136
492.00,0.137
493.00,0.139
494.00,0.141
495.00,0.143
496.00,0.145
497.00,0.147
498.00,0.149
499.00,0.152
500.00,0.155
501.00,0.157
502.00,0.160
503.00,0.163
504.00,0.166
505.00,0.168
506.00,0.171
507.00,0.174
508.00,0.177
509.00,0.181
510.00,0.183
511.00,0.187
512.00,0.189
513.00,0.192
514.00,0.195
515.00,0.198
516.00,0.201
517.00,0.203
518.00,0.205
519.00,0.208
520.00,0.210
521.00,0.212
522.00,0.214
523.00,0.215
524.00,0.217
525.00,0.219
526.00,0.220
527.00,0.221
528.00,0.222
529.00,0.223
530.00,0.224
531.00,0.224
532.00,0.225
533.00,0.225
534.00,0.225
535.00,0.225
536.00,0.225
537.00,0.225
538.00,0.224
539.00,0.224
540.00,0.224
541.00,0.223
542.00,0.223
543.00,0.222
544.00,0.221
545.00,0.220
546.00,0.220
547.00,0.219
548.00,0.218
549.00,0.217
550.00,0.217
551.00,0.216
552.00,0.215
553.00,0.214
554.00,0.213
555.00,0.211
556.00,0.210
557.00,0.209
558.00,0.208
559.00,0.207
560.00,0.206
561.00,0.205
562.00,0.203
563.00,0.202
564.00,0.201
565.00,0.199
566.00,0.198
567.00,0.196
568.00,0.195
569.00,0.193
570.00,0.192
571.00,0.190
572.00,0.188
573.00,0.187
574.00,0.185
575.00,0.183
576.00,0.181
577.00,0.180
578.00,0.178
579.00,0.176
580.00,0.174
581.00,0.172
582.00,0.170
583.00,0.168
584.00,0.166
585.00,0.164
586.00,0.162
587.00,0.161
588.00,0.158
589.00,0.156
590.00,0.155
591.00,0.152
592.00,0.151
593.00,0.148
594.00,0.147
595.00,0.144
596.00,0.143
597.00,0.141
598.00,0.139
599.00,0.137
600.00,0.132
601.00,0.131
602.00,0.129
603.00,0.127
604.00,0.125
605.00,0.123
606.00,0.122
607.00,0.120
608.00,0.118
609.00,0.116
610.00,0.115
611.00,0.113
612.00,0.111
613.00,0.110
614.00,0.108
615.00,0.106
616.00,0.104
617.00,0.103
618.00,0.101
619.00,0.100
620.00,0.098
621.00,0.097
622.00,0.095
623.00,0.094
624.00,0.093
625.00,0.091
626.00,0.090
627.00,0.088
628.00,0.087
629.00,0.085
630.00,0.084
631.00,0.083
632.00,0.082
633.00,0.081
634.00,0.079
635.00,0.078
636.00,0.077
637.00,0.076
638.00,0.075
639.00,0.073
640.00,0.072
641.00,0.071
642.00,0.070
643.00,0.069
644.00,0.068
645.00,0.067
646.00,0.066
647.00,0.065
648.00,0.064
649.00,0.063
650.00,0.062
651.00,0.061
652.00,0.061
653.00,0.060
654.00,0.059
655.00,0.058
656.00,0.057
657.00,0.056
658.00,0.055
659.00,0.055
660.00,0.054
661.00,0.053
662.00,0.053
663.00,0.052
664.00,0.051
665.00,0.051
666.00,0.050
667.00,0.050
668.00,0.049
669.00,0.048
670.00,0.048
671.00,0.047
672.00,0.046
673.00,0.046
674.00,0.045
675.00,0.045
676.00,0.044
677.00,0.043
678.00,0.043
679.00,0.042
680.00,0.042
681.00,0.041
682.00,0.040
683.00,0.040
684.00,0.039
685.00,0.039
686.00,0.038
687.00,0.038
688.00,0.037
689.00,0.037
690.00,0.037
691.00,0.036
692.00,0.035
693.00,0.035
694.00,0.035
695.00,0.035
696.00,0.034
697.00,0.034
698.00,0.033
699.00,0.033
700.00,0.032
701.00,0.032
702.00,0.032
703.00,0.031
704.00,0.031
705.00,0.031
706.00,0.030
707.00,0.030
708.00,0.030
709.00,0.029
710.00,0.029
711.00,0.029
712.00,0.028
713.00,0.028
714.00,0.028
715.00,0.028
716.00,0.027
717.00,0.027
718.00,0.027
719.00,0.026
720.00,0.026
721.00,0.026
722.00,0.026
723.00,0.025
724.00,0.025
725.00,0.025
726.00,0.025
727.00,0.025
728.00,0.024
729.00,0.024
730.00,0.024
731.00,0.024
732.00,0.023
733.00,0.023
734.00,0.023
735.00,0.023
736.00,0.022
737.00,0.022
738.00,0.022
739.00,0.022
740.00,0.022
741.00,0.021
742.00,0.021
743.00,0.021
744.00,0.021
745.00,0.021
746.00,0.021
747.00,0.020
748.00,0.020
749.00,0.020
750.00,0.020
751.00,0.020
752.00,0.019
753.00,0.019
754.00,0.019
755.00,0.019
756.00,0.019
757.00,0.018
758.00,0.018
759.00,0.018
760.00,0.018
761.00,0.018
762.00,0.018
763.00,0.017
764.00,0.017
765.00,0.017
766.00,0.017
767.00,0.017
768.00,0.017
769.00,0.017
770.00,0.016
771.00,0.016
772.00,0.016
773.00,0.016
774.00,0.016
775.00,0.016
776.00,0.015
777.00,0.015
778.00,0.015
779.00,0.015
780.00,0.015
781.00,0.015
782.00,0.015
783.00,0.015
784.00,0.015
785.00,0.014
786.00,0.014
787.00,0.014
788.00,0.014
789.00,0.014
790.00,0.014
791.00,0.014
792.00,0.014
793.00,0.014
794.00,0.014
795.00,0.013
796.00,0.013
797.00,0.013
798.00,0.013
799.00,0.013
800.00,0.013
