"group6-2-Ag-30.spc - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
300.00,0.057
301.00,0.054
302.00,0.052
303.00,0.049
304.00,0.048
305.00,0.044
306.00,0.042
307.00,0.040
308.00,0.038
309.00,0.035
310.00,0.033
311.00,0.031
312.00,0.030
313.00,0.028
314.00,0.026
315.00,0.025
316.00,0.024
317.00,0.023
318.00,0.022
319.00,0.022
320.00,0.021
321.00,0.021
322.00,0.020
323.00,0.020
324.00,0.020
325.00,0.020
326.00,0.021
327.00,0.022
328.00,0.022
329.00,0.023
330.00,0.024
331.00,0.024
332.00,0.026
333.00,0.028
334.00,0.029
335.00,0.031
336.00,0.032
337.00,0.034
338.00,0.037
339.00,0.039
340.00,0.042
341.00,0.044
342.00,0.047
343.00,0.050
344.00,0.053
345.00,0.057
346.00,0.060
347.00,0.063
348.00,0.066
349.00,0.068
350.00,0.070
351.00,0.072
352.00,0.073
353.00,0.075
354.00,0.076
355.00,0.078
356.00,0.079
357.00,0.081
358.00,0.084
359.00,0.085
360.00,0.089
361.00,0.091
362.00,0.094
363.00,0.097
364.00,0.100
365.00,0.105
366.00,0.108
367.00,0.111
368.00,0.115
369.00,0.120
370.00,0.124
371.00,0.128
372.00,0.132
373.00,0.136
374.00,0.139
375.00,0.144
376.00,0.148
377.00,0.152
378.00,0.156
379.00,0.161
380.00,0.164
381.00,0.168
382.00,0.172
383.00,0.177
384.00,0.179
385.00,0.184
386.00,0.187
387.00,0.192
388.00,0.196
389.00,0.199
390.00,0.204
391.00,0.207
392.00,0.211
393.00,0.215
394.00,0.218
395.00,0.223
396.00,0.226
397.00,0.230
398.00,0.234
399.00,0.237
400.00,0.241
401.00,0.244
402.00,0.247
403.00,0.249
404.00,0.252
405.00,0.255
406.00,0.257
407.00,0.259
408.00,0.261
409.00,0.263
410.00,0.264
411.00,0.266
412.00,0.267
413.00,0.268
414.00,0.268
415.00,0.269
416.00,0.269
417.00,0.270
418.00,0.270
419.00,0.270
420.00,0.269
421.00,0.270
422.00,0.269
423.00,0.268
424.00,0.267
425.00,0.262
426.00,0.261
427.00,0.260
428.00,0.258
429.00,0.257
430.00,0.256
431.00,0.254
432.00,0.253
433.00,0.251
434.00,0.249
435.00,0.248
436.00,0.245
437.00,0.244
438.00,0.242
439.00,0.240
440.00,0.237
441.00,0.235
442.00,0.233
443.00,0.231
444.00,0.228
445.00,0.226
446.00,0.224
447.00,0.221
448.00,0.219
449.00,0.216
450.00,0.214
451.00,0.211
452.00,0.209
453.00,0.206
454.00,0.204
455.00,0.201
456.00,0.199
457.00,0.196
458.00,0.193
459.00,0.191
460.00,0.189
461.00,0.186
462.00,0.183
463.00,0.181
464.00,0.178
465.00,0.175
466.00,0.173
467.00,0.170
468.00,0.168
469.00,0.165
470.00,0.163
471.00,0.160
472.00,0.158
473.00,0.156
474.00,0.153
475.00,0.151
476.00,0.148
477.00,0.146
478.00,0.144
479.00,0.141
480.00,0.139
481.00,0.137
482.00,0.135
483.00,0.133
484.00,0.130
485.00,0.128
486.00,0.126
487.00,0.124
488.00,0.122
489.00,0.120
490.00,0.119
491.00,0.117
492.00,0.115
493.00,0.113
494.00,0.111
495.00,0.109
496.00,0.108
497.00,0.106
498.00,0.104
499.00,0.103
500.00,0.101
501.00,0.099
502.00,0.098
503.00,0.096
504.00,0.095
505.00,0.093
506.00,0.092
507.00,0.090
508.00,0.089
509.00,0.088
510.00,0.087
511.00,0.085
512.00,0.084
513.00,0.083
514.00,0.082
515.00,0.080
516.00,0.079
517.00,0.078
518.00,0.077
519.00,0.076
520.00,0.075
521.00,0.074
522.00,0.073
523.00,0.072
524.00,0.071
525.00,0.070
526.00,0.069
527.00,0.068
528.00,0.067
529.00,0.066
530.00,0.065
531.00,0.064
532.00,0.064
533.00,0.063
534.00,0.062
535.00,0.061
536.00,0.060
537.00,0.059
538.00,0.059
539.00,0.058
540.00,0.057
541.00,0.057
542.00,0.056
543.00,0.055
544.00,0.055
545.00,0.054
546.00,0.053
547.00,0.053
548.00,0.052
549.00,0.051
550.00,0.051
551.00,0.050
552.00,0.050
553.00,0.049
554.00,0.048
555.00,0.048
556.00,0.047
557.00,0.047
558.00,0.046
559.00,0.046
