"group_5_1_Au_1200.spc - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
300.00,0.232
301.00,0.231
302.00,0.229
303.00,0.227
304.00,0.227
305.00,0.225
306.00,0.224
307.00,0.222
308.00,0.220
309.00,0.219
310.00,0.218
311.00,0.217
312.00,0.215
313.00,0.214
314.00,0.213
315.00,0.212
316.00,0.210
317.00,0.209
318.00,0.209
319.00,0.207
320.00,0.206
321.00,0.205
322.00,0.203
323.00,0.202
324.00,0.202
325.00,0.201
326.00,0.199
327.00,0.199
328.00,0.198
329.00,0.197
330.00,0.196
331.00,0.195
332.00,0.195
333.00,0.194
334.00,0.193
335.00,0.192
336.00,0.192
337.00,0.191
338.00,0.191
339.00,0.190
340.00,0.190
341.00,0.188
342.00,0.187
343.00,0.187
344.00,0.187
345.00,0.186
346.00,0.186
347.00,0.185
348.00,0.185
349.00,0.186
350.00,0.185
351.00,0.185
352.00,0.185
353.00,0.185
354.00,0.184
355.00,0.184
356.00,0.183
357.00,0.183
358.00,0.183
359.00,0.183
360.00,0.183
361.00,0.182
362.00,0.182
363.00,0.182
364.00,0.182
365.00,0.182
366.00,0.181
367.00,0.181
368.00,0.181
369.00,0.180
370.00,0.180
371.00,0.179
372.00,0.179
373.00,0.179
374.00,0.178
375.00,0.177
376.00,0.176
377.00,0.176
378.00,0.176
379.00,0.175
380.00,0.175
381.00,0.175
382.00,0.174
383.00,0.174
384.00,0.173
385.00,0.173
386.00,0.172
387.00,0.172
388.00,0.172
389.00,0.171
390.00,0.170
391.00,0.170
392.00,0.170
393.00,0.169
394.00,0.168
395.00,0.169
396.00,0.168
397.00,0.168
398.00,0.167
399.00,0.167
400.00,0.167
401.00,0.166
402.00,0.166
403.00,0.165
404.00,0.165
405.00,0.165
406.00,0.164
407.00,0.164
408.00,0.164
409.00,0.164
410.00,0.163
411.00,0.163
412.00,0.163
413.00,0.162
414.00,0.162
415.00,0.162
416.00,0.161
417.00,0.161
418.00,0.161
419.00,0.161
420.00,0.160
421.00,0.161
422.00,0.160
423.00,0.160
424.00,0.160
425.00,0.159
426.00,0.159
427.00,0.159
428.00,0.158
429.00,0.158
430.00,0.158
431.00,0.158
432.00,0.158
433.00,0.158
434.00,0.158
435.00,0.158
436.00,0.158
437.00,0.157
438.00,0.157
439.00,0.157
440.00,0.157
441.00,0.157
442.00,0.157
443.00,0.157
444.00,0.157
445.00,0.157
446.00,0.158
447.00,0.158
448.00,0.158
449.00,0.158
450.00,0.158
451.00,0.158
452.00,0.159
453.00,0.159
454.00,0.159
455.00,0.159
456.00,0.160
457.00,0.160
458.00,0.160
459.00,0.161
460.00,0.161
461.00,0.162
462.00,0.162
463.00,0.163
464.00,0.163
465.00,0.163
466.00,0.164
467.00,0.165
468.00,0.165
469.00,0.166
470.00,0.167
471.00,0.168
472.00,0.168
473.00,0.169
474.00,0.171
475.00,0.172
476.00,0.173
477.00,0.174
478.00,0.175
479.00,0.177
480.00,0.178
481.00,0.180
482.00,0.181
483.00,0.183
484.00,0.185
485.00,0.187
486.00,0.189
487.00,0.192
488.00,0.193
489.00,0.196
490.00,0.199
491.00,0.201
492.00,0.204
493.00,0.207
494.00,0.210
495.00,0.213
496.00,0.216
497.00,0.220
498.00,0.223
499.00,0.227
500.00,0.230
501.00,0.234
502.00,0.237
503.00,0.241
504.00,0.245
505.00,0.248
506.00,0.252
507.00,0.255
508.00,0.259
509.00,0.262
510.00,0.265
511.00,0.268
512.00,0.271
513.00,0.274
514.00,0.277
515.00,0.279
516.00,0.281
517.00,0.283
518.00,0.285
519.00,0.287
520.00,0.288
521.00,0.289
522.00,0.290
523.00,0.291
524.00,0.291
525.00,0.291
526.00,0.291
527.00,0.291
