Instrument:  EduRaman
The Light Source Type:  531.80nm laser/Tungsten lamp
Detector:  ERAM5X-1
Laser Power(%):  100%
Grating(g/mm):  
Slit Width:  50μm
Objective:  10x / 0.3NA
Acq. time(ms):  100
Accumulation:  1
Spectra_type:  
TimeSeq:  5
TimeCycle(ms):  100
Temperature:  -18.1℃
startPotential(V):  0.000
pixel(2026/05/08 15:20:40)	wavelength(2026/05/08 15:20:40)	wavenumber(2026/05/08 15:20:40)	ramanshift(2026/05/08 15:20:40)	intensity(2026/05/08 15:20:40)
1	674.396	14828.08	3975.99	1163.000
2	674.261	14831.05	3973.01	1174.000
3	674.126	14834.03	3970.03	1204.000
4	673.990	14837.00	3967.06	1199.000
5	673.855	14839.98	3964.08	1165.000
6	673.720	14842.96	3961.10	1168.000
7	673.585	14845.95	3958.12	1173.000
8	673.449	14848.93	3955.13	1188.000
9	673.314	14851.91	3952.15	1204.000
10	673.179	14854.90	3949.17	1175.000
11	673.043	14857.88	3946.18	1172.000
12	672.908	14860.87	3943.19	1180.000
13	672.773	14863.86	3940.20	1190.000
14	672.638	14866.85	3937.21	1193.000
15	672.502	14869.84	3934.22	1174.000
16	672.367	14872.83	3931.23	1175.000
17	672.232	14875.82	3928.24	1173.000
18	672.096	14878.82	3925.24	1196.000
19	671.961	14881.82	3922.25	1186.000
20	671.826	14884.81	3919.25	1167.000
21	671.690	14887.81	3916.25	1171.000
22	671.555	14890.81	3913.25	1177.000
23	671.420	14893.81	3910.25	1195.000
24	671.285	14896.81	3907.25	1198.000
25	671.149	14899.82	3904.25	1160.000
26	671.014	14902.82	3901.24	1169.000
27	670.879	14905.82	3898.24	1172.000
28	670.743	14908.83	3895.23	1192.000
29	670.608	14911.84	3892.22	1188.000
30	670.473	14914.85	3889.21	1172.000
31	670.337	14917.86	3886.20	1176.000
32	670.202	14920.87	3883.19	1186.000
33	670.067	14923.88	3880.18	1193.000
34	669.932	14926.90	3877.16	1177.000
35	669.796	14929.91	3874.15	1173.000
36	669.661	14932.93	3871.13	1183.000
37	669.526	14935.95	3868.12	1180.000
38	669.390	14938.97	3865.10	1202.000
39	669.255	14941.99	3862.08	1193.000
40	669.120	14945.01	3859.06	1172.000
41	668.985	14948.03	3856.03	1175.000
42	668.849	14951.05	3853.01	1178.000
43	668.714	14954.08	3849.98	1207.000
44	668.579	14957.10	3846.96	1198.000
45	668.443	14960.13	3843.93	1175.000
46	668.308	14963.16	3840.90	1188.000
47	668.173	14966.19	3837.87	1190.000
48	668.037	14969.22	3834.84	1206.000
49	667.902	14972.25	3831.81	1177.000
50	667.767	14975.29	3828.78	1187.000
51	667.632	14978.32	3825.74	1183.000
52	667.496	14981.36	3822.70	1202.000
53	667.361	14984.39	3819.67	1206.000
54	667.226	14987.43	3816.63	1193.000
55	667.090	14990.47	3813.59	1179.000
56	666.955	14993.51	3810.55	1185.000
57	666.820	14996.56	3807.51	1206.000
58	666.684	14999.60	3804.46	1189.000
59	666.549	15002.64	3801.42	1195.000
60	666.414	15005.69	3798.37	1214.000
61	666.279	15008.74	3795.33	1216.000
62	666.143	15011.78	3792.28	1197.000
63	666.008	15014.83	3789.23	1187.000
64	665.873	15017.89	3786.18	1190.000
65	665.737	15020.94	3783.12	1209.000
66	665.602	15023.99	3780.07	1214.000
67	665.467	15027.05	3777.02	1188.000
68	665.332	15030.10	3773.96	1184.000
69	665.196	15033.16	3770.90	1188.000
70	665.061	15036.22	3767.85	1213.000
71	664.926	15039.28	3764.79	1196.000
72	664.790	15042.34	3761.73	1194.000
73	664.655	15045.40	3758.66	1216.000
74	664.520	15048.46	3755.60	1215.000
75	664.384	15051.53	3752.54	1183.000
76	664.249	15054.59	3749.47	1189.000
77	664.114	15057.66	3746.40	1186.000
78	663.979	15060.73	3743.33	1192.000
79	663.843	15063.80	3740.27	1218.000
80	663.708	15066.87	3737.19	1193.000
81	663.573	15069.94	3734.12	1178.000
82	663.437	15073.01	3731.05	1189.000
83	663.302	15076.09	3727.97	1216.000
84	663.167	15079.16	3724.90	1203.000
85	663.032	15082.24	3721.82	1186.000
86	662.896	15085.32	3718.74	1188.000
87	662.761	15088.40	3715.66	1205.000
88	662.626	15091.48	3712.58	1214.000
89	662.490	15094.56	3709.50	1212.000
90	662.355	15097.64	3706.42	1191.000
91	662.220	15100.73	3703.33	1191.000
92	662.084	15103.81	3700.25	1198.000
93	661.949	15106.90	3697.16	1235.000
94	661.814	15109.99	3694.07	1215.000
95	661.679	15113.08	3690.98	1197.000
96	661.543	15116.17	3687.89	1208.000
97	661.408	15119.26	3684.80	1218.000
98	661.273	15122.36	3681.71	1232.000
99	661.137	15125.45	3678.61	1201.000
100	661.002	15128.55	3675.52	1220.000
101	660.867	15131.64	3672.42	1258.000
102	660.731	15134.74	3669.32	1254.000
103	660.596	15137.84	3666.22	1216.000
104	660.461	15140.94	3663.12	1231.000
105	660.326	15144.04	3660.02	1226.000
106	660.190	15147.15	3656.91	1250.000
107	660.055	15150.25	3653.81	1240.000
108	659.920	15153.36	3650.70	1235.000
109	659.784	15156.47	3647.60	1234.000
110	659.649	15159.57	3644.49	1265.000
111	659.514	15162.68	3641.38	1253.000
112	659.379	15165.80	3638.27	1253.000
113	659.243	15168.91	3635.15	1248.000
114	659.108	15172.02	3632.04	1285.000
