Instrument:  EduRaman
The Light Source Type:  531.80nm laser/Tungsten lamp
Detector:  ERAM5X-1
Laser Power(%):  100%
Grating(g/mm):  
Slit Width:  50μm
Objective:  10x / 0.3NA
Acq. time(ms):  100
Accumulation:  1
Spectra_type:  
TimeSeq:  5
TimeCycle(ms):  100
Temperature:  -20.2℃
startPotential(V):  -0.200
pixel(2026/05/08 15:24:56)	wavelength(2026/05/08 15:24:56)	wavenumber(2026/05/08 15:24:56)	ramanshift(2026/05/08 15:24:56)	intensity(2026/05/08 15:24:56)
1	674.396	14828.08	3975.99	1120.000
2	674.261	14831.05	3973.01	1155.000
3	674.126	14834.03	3970.03	1147.000
4	673.990	14837.00	3967.06	1132.000
5	673.855	14839.98	3964.08	1129.000
6	673.720	14842.96	3961.10	1122.000
7	673.585	14845.95	3958.12	1150.000
8	673.449	14848.93	3955.13	1153.000
9	673.314	14851.91	3952.15	1118.000
10	673.179	14854.90	3949.17	1124.000
11	673.043	14857.88	3946.18	1121.000
12	672.908	14860.87	3943.19	1138.000
13	672.773	14863.86	3940.20	1153.000
14	672.638	14866.85	3937.21	1129.000
15	672.502	14869.84	3934.22	1125.000
16	672.367	14872.83	3931.23	1114.000
17	672.232	14875.82	3928.24	1119.000
18	672.096	14878.82	3925.24	1145.000
19	671.961	14881.82	3922.25	1137.000
20	671.826	14884.81	3919.25	1112.000
21	671.690	14887.81	3916.25	1129.000
22	671.555	14890.81	3913.25	1119.000
23	671.420	14893.81	3910.25	1140.000
24	671.285	14896.81	3907.25	1136.000
25	671.149	14899.82	3904.25	1115.000
26	671.014	14902.82	3901.24	1117.000
27	670.879	14905.82	3898.24	1120.000
28	670.743	14908.83	3895.23	1147.000
29	670.608	14911.84	3892.22	1141.000
30	670.473	14914.85	3889.21	1118.000
31	670.337	14917.86	3886.20	1111.000
32	670.202	14920.87	3883.19	1150.000
33	670.067	14923.88	3880.18	1137.000
34	669.932	14926.90	3877.16	1117.000
35	669.796	14929.91	3874.15	1126.000
36	669.661	14932.93	3871.13	1123.000
37	669.526	14935.95	3868.12	1138.000
38	669.390	14938.97	3865.10	1133.000
39	669.255	14941.99	3862.08	1118.000
40	669.120	14945.01	3859.06	1123.000
41	668.985	14948.03	3856.03	1109.000
42	668.849	14951.05	3853.01	1146.000
43	668.714	14954.08	3849.98	1148.000
44	668.579	14957.10	3846.96	1115.000
45	668.443	14960.13	3843.93	1129.000
46	668.308	14963.16	3840.90	1144.000
47	668.173	14966.19	3837.87	1148.000
48	668.037	14969.22	3834.84	1134.000
49	667.902	14972.25	3831.81	1124.000
50	667.767	14975.29	3828.78	1129.000
51	667.632	14978.32	3825.74	1124.000
52	667.496	14981.36	3822.70	1139.000
53	667.361	14984.39	3819.67	1149.000
54	667.226	14987.43	3816.63	1139.000
