Instrument:  EduRaman Pro
The Light Source Type:  531.85nm laser/Tungsten lamp
Detector:  ERAM7X-1
Laser Power(%):  100%
Grating(g/mm):  1200
Slit Width:  50μm
Objective:  10x / 0.3NA
Acq. time(ms):  1000
Accumulation:  1
Spectra_type:  0-2000cm⁻¹
TimeSeq:  5
TimeCycle(ms):  100
Temperature:  10.1℃
pixel(2026/05/08 10:44:34)	wavelength(2026/05/08 10:44:34)	wavenumber(2026/05/08 10:44:34)	ramanshift(2026/05/08 10:44:34)	intensity(2026/05/08 10:44:34)
1	535.909	18659.89	142.40	8494.000
2	535.988	18657.12	145.18	8381.000
3	536.068	18654.34	147.95	8154.000
4	536.148	18651.57	150.72	8001.000
5	536.228	18648.80	153.49	7736.000
6	536.307	18646.03	156.26	7436.000
7	536.387	18643.26	159.03	7237.000
8	536.467	18640.49	161.80	6961.000
9	536.546	18637.72	164.57	6716.000
10	536.626	18634.95	167.34	6481.000
11	536.706	18632.19	170.11	6237.000
12	536.785	18629.42	172.87	6029.000
13	536.865	18626.66	175.64	5784.000
14	536.945	18623.89	178.40	5653.000
15	537.024	18621.13	181.17	5497.000
16	537.104	18618.36	183.93	5362.000
17	537.184	18615.60	186.69	5365.000
18	537.264	18612.84	189.45	5417.000
19	537.343	18610.08	192.21	5461.000
20	537.423	18607.32	194.97	5583.000
21	537.503	18604.56	197.73	5812.000
22	537.582	18601.80	200.49	5986.000
23	537.662	18599.05	203.25	6261.000
24	537.742	18596.29	206.01	6535.000
25	537.821	18593.53	208.76	6915.000
26	537.901	18590.78	211.52	7321.000
27	537.981	18588.02	214.27	7896.000
28	538.061	18585.27	217.02	8652.000
29	538.140	18582.52	219.78	9518.000
30	538.220	18579.76	222.53	10393.000
31	538.300	18577.01	225.28	11201.000
32	538.379	18574.26	228.03	11766.000
33	538.459	18571.51	230.78	11847.000
34	538.539	18568.76	233.53	11720.000
35	538.619	18566.02	236.28	11228.000
36	538.698	18563.27	239.03	10434.000
37	538.778	18560.52	241.77	9708.000
38	538.858	18557.78	244.52	9029.000
39	538.937	18555.03	247.26	8271.000
40	539.017	18552.29	250.01	7665.000
41	539.097	18549.54	252.75	7064.000
42	539.177	18546.80	255.49	6617.000
43	539.256	18544.06	258.24	6302.000
44	539.336	18541.32	260.98	5929.000
45	539.416	18538.58	263.72	5706.000
46	539.495	18535.84	266.46	5501.000
47	539.575	18533.10	269.20	5239.000
48	539.655	18530.36	271.93	5011.000
49	539.735	18527.62	274.67	4799.000
50	539.814	18524.89	277.41	4579.000
51	539.894	18522.15	280.14	4362.000
52	539.974	18519.41	282.88	4182.000
53	540.054	18516.68	285.61	4000.000
54	540.133	18513.95	288.35	3938.000
55	540.213	18511.21	291.08	3755.000
56	540.293	18508.48	293.81	3725.000
57	540.373	18505.75	296.54	3688.000
58	540.452	18503.02	299.27	3701.000
59	540.532	18500.29	302.00	3658.000
60	540.612	18497.56	304.73	3711.000
61	540.692	18494.83	307.46	3694.000
62	540.771	18492.11	310.19	3729.000
63	540.851	18489.38	312.91	3728.000
64	540.931	18486.65	315.64	3777.000
65	541.011	18483.93	318.36	3808.000
66	541.090	18481.21	321.09	3815.000
67	541.170	18478.48	323.81	3865.000
68	541.250	18475.76	326.53	3837.000
69	541.330	18473.04	329.26	3849.000
70	541.409	18470.32	331.98	3852.000
71	541.489	18467.60	334.70	3850.000
72	541.569	18464.88	337.42	3790.000
73	541.649	18462.16	340.14	3701.000
74	541.728	18459.44	342.85	3659.000
75	541.808	18456.72	345.57	3579.000
76	541.888	18454.01	348.29	3529.000
77	541.968	18451.29	351.00	3534.000
78	542.047	18448.57	353.72	3593.000
79	542.127	18445.86	356.43	3665.000
80	542.207	18443.15	359.15	3630.000
81	542.287	18440.43	361.86	3643.000
82	542.366	18437.72	364.57	3638.000
83	542.446	18435.01	367.28	3506.000
84	542.526	18432.30	369.99	3447.000
85	542.606	18429.59	372.70	3364.000
86	542.685	18426.88	375.41	3264.000
87	542.765	18424.17	378.12	3246.000
88	542.845	18421.47	380.83	3253.000
89	542.925	18418.76	383.53	3247.000
90	543.004	18416.05	386.24	3254.000
91	543.084	18413.35	388.94	3365.000
92	543.164	18410.64	391.65	3556.000
93	543.244	18407.94	394.35	3711.000
94	543.324	18405.24	397.06	4028.000
95	543.403	18402.54	399.76	4624.000
96	543.483	18399.84	402.46	5465.000
97	543.563	18397.13	405.16	6706.000
98	543.643	18394.43	407.86	8473.000
99	543.722	18391.74	410.56	10255.000
100	543.802	18389.04	413.26	11355.000
101	543.882	18386.34	415.95	11722.000
102	543.962	18383.64	418.65	11996.000
103	544.042	18380.95	421.35	12122.000
104	544.121	18378.25	424.04	11724.000
105	544.201	18375.56	426.74	10658.000
106	544.281	18372.86	429.43	9586.000
107	544.361	18370.17	432.12	9323.000
108	544.441	18367.48	434.81	10405.000
109	544.520	18364.79	437.51	11926.000
110	544.600	18362.10	440.20	12419.000
111	544.680	18359.41	442.89	11472.000
112	544.760	18356.72	445.58	9648.000
113	544.839	18354.03	448.26	8076.000
114	544.919	18351.34	450.95	6873.000
115	544.999	18348.66	453.64	6196.000
116	545.079	18345.97	456.32	5829.000
117	545.159	18343.28	459.01	5684.000
118	545.238	18340.60	461.69	5667.000
119	545.318	18337.92	464.38	5588.000
120	545.398	18335.23	467.06	5420.000
121	545.478	18332.55	469.74	5148.000
122	545.558	18329.87	472.42	4895.000
123	545.637	18327.19	475.11	4614.000
124	545.717	18324.51	477.79	4367.000
125	545.797	18321.83	480.46	4281.000
126	545.877	18319.15	483.14	4237.000
127	545.957	18316.47	485.82	4259.000
128	546.036	18313.80	488.50	4288.000
129	546.116	18311.12	491.17	4150.000
130	546.196	18308.44	493.85	3922.000
131	546.276	18305.77	496.52	3679.000
132	546.356	18303.10	499.20	3598.000
133	546.435	18300.42	501.87	3603.000
134	546.515	18297.75	504.54	3728.000
135	546.595	18295.08	507.22	4024.000
