Instrument:  EduRaman Pro
The Light Source Type:  531.85nm laser/Tungsten lamp
Detector:  ERAM7X-1
Laser Power(%):  100%
Grating(g/mm):  1200
Slit Width:  50μm
Objective:  10x / 0.3NA
Acq. time(ms):  1000
Accumulation:  1
Spectra_type:  0-2000cm⁻¹
TimeSeq:  5
TimeCycle(ms):  100
Temperature:  10.1℃
pixel(2026/05/08 10:36:18)	wavelength(2026/05/08 10:36:18)	wavenumber(2026/05/08 10:36:18)	ramanshift(2026/05/08 10:36:18)	intensity(2026/05/08 10:36:18)
1	535.909	18659.89	142.40	610.000
2	535.988	18657.12	145.18	615.000
3	536.068	18654.34	147.95	627.000
4	536.148	18651.57	150.72	614.000
5	536.228	18648.80	153.49	633.000
6	536.307	18646.03	156.26	590.000
7	536.387	18643.26	159.03	631.000
8	536.467	18640.49	161.80	603.000
9	536.546	18637.72	164.57	587.000
10	536.626	18634.95	167.34	630.000
11	536.706	18632.19	170.11	576.000
12	536.785	18629.42	172.87	595.000
13	536.865	18626.66	175.64	572.000
14	536.945	18623.89	178.40	599.000
15	537.024	18621.13	181.17	575.000
16	537.104	18618.36	183.93	563.000
17	537.184	18615.60	186.69	587.000
18	537.264	18612.84	189.45	555.000
19	537.343	18610.08	192.21	562.000
20	537.423	18607.32	194.97	579.000
21	537.503	18604.56	197.73	586.000
22	537.582	18601.80	200.49	530.000
23	537.662	18599.05	203.25	549.000
24	537.742	18596.29	206.01	569.000
25	537.821	18593.53	208.76	548.000
26	537.901	18590.78	211.52	535.000
27	537.981	18588.02	214.27	529.000
28	538.061	18585.27	217.02	576.000
29	538.140	18582.52	219.78	536.000
30	538.220	18579.76	222.53	557.000
31	538.300	18577.01	225.28	585.000
32	538.379	18574.26	228.03	563.000
33	538.459	18571.51	230.78	544.000
34	538.539	18568.76	233.53	563.000
35	538.619	18566.02	236.28	559.000
36	538.698	18563.27	239.03	566.000
37	538.778	18560.52	241.77	545.000
38	538.858	18557.78	244.52	515.000
