Instrument:  EduRaman Pro
The Light Source Type:  531.85nm laser/Tungsten lamp
Detector:  ERAM7X-1
Laser Power(%):  100%
Grating(g/mm):  1200
Slit Width:  50μm
Objective:  10x / 0.3NA
Acq. time(ms):  1000
Accumulation:  1
Spectra_type:  0-2000cm⁻¹
TimeSeq:  5
TimeCycle(ms):  100
Temperature:  10.5℃
pixel(2026/05/08 11:19:35)	wavelength(2026/05/08 11:19:35)	wavenumber(2026/05/08 11:19:35)	ramanshift(2026/05/08 11:19:35)	intensity(2026/05/08 11:19:35)
1	535.909	18659.89	142.40	8181.000
2	535.988	18657.12	145.18	8339.000
3	536.068	18654.34	147.95	8435.000
4	536.148	18651.57	150.72	8618.000
5	536.228	18648.80	153.49	8845.000
6	536.307	18646.03	156.26	8856.000
7	536.387	18643.26	159.03	8994.000
8	536.467	18640.49	161.80	9159.000
9	536.546	18637.72	164.57	9233.000
10	536.626	18634.95	167.34	9361.000
11	536.706	18632.19	170.11	9358.000
12	536.785	18629.42	172.87	9512.000
13	536.865	18626.66	175.64	9566.000
14	536.945	18623.89	178.40	9580.000
15	537.024	18621.13	181.17	9588.000
16	537.104	18618.36	183.93	9613.000
17	537.184	18615.60	186.69	9668.000
18	537.264	18612.84	189.45	9719.000
19	537.343	18610.08	192.21	9725.000
20	537.423	18607.32	194.97	9753.000
21	537.503	18604.56	197.73	9842.000
22	537.582	18601.80	200.49	9823.000
23	537.662	18599.05	203.25	9880.000
24	537.742	18596.29	206.01	9903.000
25	537.821	18593.53	208.76	9982.000
26	537.901	18590.78	211.52	10002.000
27	537.981	18588.02	214.27	10030.000
28	538.061	18585.27	217.02	10096.000
29	538.140	18582.52	219.78	10106.000
30	538.220	18579.76	222.53	10127.000
31	538.300	18577.01	225.28	10229.000
32	538.379	18574.26	228.03	10219.000
33	538.459	18571.51	230.78	10257.000
34	538.539	18568.76	233.53	10262.000
35	538.619	18566.02	236.28	10343.000
36	538.698	18563.27	239.03	10282.000
37	538.778	18560.52	241.77	10354.000
38	538.858	18557.78	244.52	10326.000
39	538.937	18555.03	247.26	10310.000
40	539.017	18552.29	250.01	10406.000
41	539.097	18549.54	252.75	10459.000
42	539.177	18546.80	255.49	10470.000
43	539.256	18544.06	258.24	10547.000
44	539.336	18541.32	260.98	10567.000
45	539.416	18538.58	263.72	10594.000
46	539.495	18535.84	266.46	10622.000
47	539.575	18533.10	269.20	10641.000
48	539.655	18530.36	271.93	10704.000
49	539.735	18527.62	274.67	10732.000
50	539.814	18524.89	277.41	10793.000
51	539.894	18522.15	280.14	10855.000
52	539.974	18519.41	282.88	10843.000
53	540.054	18516.68	285.61	10952.000
54	540.133	18513.95	288.35	10955.000
55	540.213	18511.21	291.08	10899.000
56	540.293	18508.48	293.81	11025.000
57	540.373	18505.75	296.54	11054.000
58	540.452	18503.02	299.27	11131.000
59	540.532	18500.29	302.00	11127.000
60	540.612	18497.56	304.73	11136.000
61	540.692	18494.83	307.46	11189.000
62	540.771	18492.11	310.19	11227.000
63	540.851	18489.38	312.91	11190.000
64	540.931	18486.65	315.64	11287.000
65	541.011	18483.93	318.36	11318.000
66	541.090	18481.21	321.09	11313.000
67	541.170	18478.48	323.81	11441.000
68	541.250	18475.76	326.53	11359.000
69	541.330	18473.04	329.26	11434.000
70	541.409	18470.32	331.98	11472.000
71	541.489	18467.60	334.70	11497.000
72	541.569	18464.88	337.42	11575.000
73	541.649	18462.16	340.14	11531.000
74	541.728	18459.44	342.85	11595.000
75	541.808	18456.72	345.57	11716.000
76	541.888	18454.01	348.29	11569.000
77	541.968	18451.29	351.00	11689.000
78	542.047	18448.57	353.72	11739.000
79	542.127	18445.86	356.43	11788.000
80	542.207	18443.15	359.15	11751.000
81	542.287	18440.43	361.86	11755.000
82	542.366	18437.72	364.57	11835.000
83	542.446	18435.01	367.28	11803.000
84	542.526	18432.30	369.99	11786.000
85	542.606	18429.59	372.70	11919.000
86	542.685	18426.88	375.41	11976.000
87	542.765	18424.17	378.12	11932.000
88	542.845	18421.47	380.83	12019.000
89	542.925	18418.76	383.53	11976.000
90	543.004	18416.05	386.24	11991.000
91	543.084	18413.35	388.94	12039.000
92	543.164	18410.64	391.65	12060.000
93	543.244	18407.94	394.35	12068.000
94	543.324	18405.24	397.06	12087.000
95	543.403	18402.54	399.76	12149.000
96	543.483	18399.84	402.46	12221.000
97	543.563	18397.13	405.16	12177.000
98	543.643	18394.43	407.86	12228.000
99	543.722	18391.74	410.56	12302.000
100	543.802	18389.04	413.26	12371.000
101	543.882	18386.34	415.95	12260.000
102	543.962	18383.64	418.65	12373.000
103	544.042	18380.95	421.35	12448.000
104	544.121	18378.25	424.04	12443.000
105	544.201	18375.56	426.74	12484.000
106	544.281	18372.86	429.43	12586.000
107	544.361	18370.17	432.12	12625.000
108	544.441	18367.48	434.81	12645.000
109	544.520	18364.79	437.51	12620.000
110	544.600	18362.10	440.20	12697.000
111	544.680	18359.41	442.89	12735.000
112	544.760	18356.72	445.58	12654.000
113	544.839	18354.03	448.26	12767.000
114	544.919	18351.34	450.95	12819.000
115	544.999	18348.66	453.64	12874.000
116	545.079	18345.97	456.32	12892.000
117	545.159	18343.28	459.01	12942.000
118	545.238	18340.60	461.69	12936.000
119	545.318	18337.92	464.38	12986.000
120	545.398	18335.23	467.06	13063.000
121	545.478	18332.55	469.74	13086.000
122	545.558	18329.87	472.42	13072.000
123	545.637	18327.19	475.11	13114.000
124	545.717	18324.51	477.79	13200.000
125	545.797	18321.83	480.46	13144.000
126	545.877	18319.15	483.14	13190.000
127	545.957	18316.47	485.82	13213.000
128	546.036	18313.80	488.50	13303.000
129	546.116	18311.12	491.17	13293.000
130	546.196	18308.44	493.85	13321.000
131	546.276	18305.77	496.52	13349.000
132	546.356	18303.10	499.20	13419.000
133	546.435	18300.42	501.87	13357.000
134	546.515	18297.75	504.54	13480.000
135	546.595	18295.08	507.22	13508.000
136	546.675	18292.41	509.89	13552.000
137	546.755	18289.74	512.56	13594.000
138	546.835	18287.07	515.23	13623.000
139	546.914	18284.40	517.90	13560.000
140	546.994	18281.73	520.56	13582.000
141	547.074	18279.06	523.23	13723.000
142	547.154	18276.40	525.90	13720.000
