Instrument:  EduRaman Pro
The Light Source Type:  531.85nm laser/Tungsten lamp
Detector:  ERAM7X-1
Laser Power(%):  100%
Grating(g/mm):  1200
Slit Width:  50μm
Objective:  10x / 0.3NA
Acq. time(ms):  100
Accumulation:  1
Spectra_type:  0-2000cm⁻¹
TimeSeq:  5
TimeCycle(ms):  100
Temperature:  9.0℃
pixel(2026/05/08 09:53:06)	wavelength(2026/05/08 09:53:06)	wavenumber(2026/05/08 09:53:06)	ramanshift(2026/05/08 09:53:06)	intensity(2026/05/08 09:53:06)
1	535.909	18659.89	142.40	357.000
2	535.988	18657.12	145.18	330.000
3	536.068	18654.34	147.95	335.000
4	536.148	18651.57	150.72	362.000
5	536.228	18648.80	153.49	349.000
6	536.307	18646.03	156.26	336.000
7	536.387	18643.26	159.03	373.000
8	536.467	18640.49	161.80	362.000
9	536.546	18637.72	164.57	345.000
10	536.626	18634.95	167.34	344.000
11	536.706	18632.19	170.11	355.000
12	536.785	18629.42	172.87	372.000
13	536.865	18626.66	175.64	346.000
14	536.945	18623.89	178.40	366.000
15	537.024	18621.13	181.17	374.000
16	537.104	18618.36	183.93	349.000
17	537.184	18615.60	186.69	352.000
18	537.264	18612.84	189.45	365.000
19	537.343	18610.08	192.21	350.000
20	537.423	18607.32	194.97	337.000
21	537.503	18604.56	197.73	370.000
22	537.582	18601.80	200.49	357.000
23	537.662	18599.05	203.25	351.000
24	537.742	18596.29	206.01	371.000
25	537.821	18593.53	208.76	377.000
26	537.901	18590.78	211.52	351.000
27	537.981	18588.02	214.27	342.000
28	538.061	18585.27	217.02	374.000
29	538.140	18582.52	219.78	348.000
30	538.220	18579.76	222.53	348.000
31	538.300	18577.01	225.28	362.000
32	538.379	18574.26	228.03	370.000
33	538.459	18571.51	230.78	352.000
34	538.539	18568.76	233.53	349.000
35	538.619	18566.02	236.28	370.000
36	538.698	18563.27	239.03	372.000
37	538.778	18560.52	241.77	354.000
38	538.858	18557.78	244.52	354.000
39	538.937	18555.03	247.26	376.000
40	539.017	18552.29	250.01	382.000
41	539.097	18549.54	252.75	357.000
42	539.177	18546.80	255.49	351.000
43	539.256	18544.06	258.24	379.000
44	539.336	18541.32	260.98	364.000
45	539.416	18538.58	263.72	362.000
46	539.495	18535.84	266.46	381.000
47	539.575	18533.10	269.20	388.000
48	539.655	18530.36	271.93	359.000
49	539.735	18527.62	274.67	350.000
50	539.814	18524.89	277.41	383.000
51	539.894	18522.15	280.14	366.000
52	539.974	18519.41	282.88	354.000
53	540.054	18516.68	285.61	379.000
54	540.133	18513.95	288.35	386.000
55	540.213	18511.21	291.08	362.000
56	540.293	18508.48	293.81	360.000
57	540.373	18505.75	296.54	384.000
58	540.452	18503.02	299.27	368.000
59	540.532	18500.29	302.00	356.000
60	540.612	18497.56	304.73	382.000
61	540.692	18494.83	307.46	388.000
62	540.771	18492.11	310.19	377.000
63	540.851	18489.38	312.91	364.000
64	540.931	18486.65	315.64	399.000
65	541.011	18483.93	318.36	373.000
66	541.090	18481.21	321.09	361.000
67	541.170	18478.48	323.81	400.000
68	541.250	18475.76	326.53	375.000
69	541.330	18473.04	329.26	368.000
70	541.409	18470.32	331.98	391.000
71	541.489	18467.60	334.70	396.000
72	541.569	18464.88	337.42	373.000
73	541.649	18462.16	340.14	357.000
74	541.728	18459.44	342.85	391.000
75	541.808	18456.72	345.57	381.000
76	541.888	18454.01	348.29	371.000
77	541.968	18451.29	351.00	373.000
78	542.047	18448.57	353.72	393.000
79	542.127	18445.86	356.43	370.000
80	542.207	18443.15	359.15	369.000
81	542.287	18440.43	361.86	401.000
82	542.366	18437.72	364.57	387.000
83	542.446	18435.01	367.28	382.000
84	542.526	18432.30	369.99	402.000
85	542.606	18429.59	372.70	403.000
86	542.685	18426.88	375.41	373.000
87	542.765	18424.17	378.12	381.000
88	542.845	18421.47	380.83	405.000
89	542.925	18418.76	383.53	372.000
90	543.004	18416.05	386.24	381.000
91	543.084	18413.35	388.94	401.000
92	543.164	18410.64	391.65	416.000
93	543.244	18407.94	394.35	384.000
94	543.324	18405.24	397.06	378.000
95	543.403	18402.54	399.76	403.000
96	543.483	18399.84	402.46	382.000
97	543.563	18397.13	405.16	378.000
98	543.643	18394.43	407.86	404.000
99	543.722	18391.74	410.56	407.000
100	543.802	18389.04	413.26	380.000
101	543.882	18386.34	415.95	372.000
102	543.962	18383.64	418.65	405.000
103	544.042	18380.95	421.35	386.000
104	544.121	18378.25	424.04	382.000
105	544.201	18375.56	426.74	407.000
106	544.281	18372.86	429.43	424.000
107	544.361	18370.17	432.12	385.000
108	544.441	18367.48	434.81	386.000
109	544.520	18364.79	437.51	410.000
110	544.600	18362.10	440.20	390.000
111	544.680	18359.41	442.89	387.000
112	544.760	18356.72	445.58	416.000
113	544.839	18354.03	448.26	417.000
114	544.919	18351.34	450.95	387.000
115	544.999	18348.66	453.64	395.000
116	545.079	18345.97	456.32	418.000
117	545.159	18343.28	459.01	399.000
118	545.238	18340.60	461.69	392.000
119	545.318	18337.92	464.38	404.000
120	545.398	18335.23	467.06	412.000
121	545.478	18332.55	469.74	401.000
122	545.558	18329.87	472.42	391.000
123	545.637	18327.19	475.11	418.000
124	545.717	18324.51	477.79	425.000
125	545.797	18321.83	480.46	394.000
126	545.877	18319.15	483.14	406.000
127	545.957	18316.47	485.82	420.000
128	546.036	18313.80	488.50	425.000
129	546.116	18311.12	491.17	399.000
130	546.196	18308.44	493.85	401.000
131	546.276	18305.77	496.52	420.000
132	546.356	18303.10	499.20	403.000
133	546.435	18300.42	501.87	398.000
134	546.515	18297.75	504.54	411.000
135	546.595	18295.08	507.22	442.000
136	546.675	18292.41	509.89	406.000
137	546.755	18289.74	512.56	413.000
138	546.835	18287.07	515.23	430.000
139	546.914	18284.40	517.90	405.000
140	546.994	18281.73	520.56	402.000
141	547.074	18279.06	523.23	418.000
142	547.154	18276.40	525.90	441.000
143	547.234	18273.73	528.56	422.000
144	547.313	18271.07	531.23	415.000
145	547.393	18268.40	533.89	440.000
146	547.473	18265.74	536.56	433.000
147	547.553	18263.08	539.22	411.000
148	547.633	18260.41	541.88	413.000
149	547.713	18257.75	544.54	434.000
150	547.792	18255.09	547.20	429.000
151	547.872	18252.43	549.86	413.000
152	547.952	18249.77	552.52	441.000
153	548.032	18247.12	555.18	434.000
154	548.112	18244.46	557.84	423.000
155	548.191	18241.80	560.49	436.000
156	548.271	18239.15	563.15	450.000
157	548.351	18236.49	565.80	425.000
158	548.431	18233.84	568.46	435.000
159	548.511	18231.18	571.11	464.000
160	548.591	18228.53	573.77	424.000
161	548.670	18225.88	576.42	418.000
162	548.750	18223.22	579.07	451.000
163	548.830	18220.57	581.72	432.000
164	548.910	18217.92	584.37	423.000
165	548.990	18215.27	587.02	427.000
166	549.070	18212.63	589.67	458.000
167	549.149	18209.98	592.32	435.000
168	549.229	18207.33	594.96	436.000
169	549.309	18204.69	597.61	453.000
170	549.389	18202.04	600.25	436.000
171	549.469	18199.39	602.90	431.000
172	549.549	18196.75	605.54	462.000
173	549.628	18194.11	608.19	465.000
174	549.708	18191.47	610.83	449.000
175	549.788	18188.82	613.47	438.000
176	549.868	18186.18	616.11	473.000
177	549.948	18183.54	618.75	444.000
178	550.028	18180.90	621.39	444.000
179	550.108	18178.26	624.03	438.000
180	550.187	18175.63	626.67	467.000
181	550.267	18172.99	629.31	459.000
182	550.347	18170.35	631.94	454.000
183	550.427	18167.72	634.58	467.000
184	550.507	18165.08	637.21	460.000
185	550.587	18162.45	639.85	437.000
186	550.666	18159.81	642.48	457.000
187	550.746	18157.18	645.11	478.000
188	550.826	18154.55	647.75	456.000
189	550.906	18151.92	650.38	452.000
190	550.986	18149.28	653.01	468.000
191	551.066	18146.65	655.64	463.000
192	551.146	18144.03	658.27	452.000
193	551.225	18141.40	660.90	457.000
194	551.305	18138.77	663.52	469.000
195	551.385	18136.14	666.15	465.000
196	551.465	18133.52	668.78	465.000
197	551.545	18130.89	671.40	485.000
198	551.625	18128.27	674.03	477.000
199	551.705	18125.64	676.65	464.000
200	551.784	18123.02	679.28	463.000
201	551.864	18120.40	681.90	484.000
202	551.944	18117.77	684.52	471.000
203	552.024	18115.15	687.14	461.000
204	552.104	18112.53	689.76	491.000
205	552.184	18109.91	692.38	461.000
206	552.264	18107.29	695.00	470.000
207	552.344	18104.68	697.62	498.000
208	552.423	18102.06	700.24	476.000
209	552.503	18099.44	702.85	480.000
210	552.583	18096.83	705.47	480.000
211	552.663	18094.21	708.08	499.000
212	552.743	18091.60	710.70	473.000
213	552.823	18088.98	713.31	467.000
214	552.903	18086.37	715.92	487.000
215	552.982	18083.76	718.54	486.000
216	553.062	18081.15	721.15	483.000
217	553.142	18078.53	723.76	483.000
218	553.222	18075.92	726.37	506.000
219	553.302	18073.31	728.98	483.000
220	553.382	18070.71	731.59	483.000
221	553.462	18068.10	734.20	509.000
222	553.542	18065.49	736.80	488.000
223	553.621	18062.88	739.41	466.000
224	553.701	18060.28	742.01	496.000
