Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
1	true	Original	1400.0	0.0	-0.5	1	0.200	CAE	50.00	High	false		7 Channel Acquisition			1
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
1400.0	379
1399.5	360
1399.0	377
1398.5	369
1398.0	367
1397.5	335
1397.0	327
1396.5	353
1396.0	372
1395.5	346
1395.0	342
1394.5	318
1394.0	342
1393.5	337
1393.0	352
1392.5	353
1392.0	338
1391.5	333
1391.0	330
1390.5	317
1390.0	331
1389.5	325
1389.0	318
1388.5	321
1388.0	318
1387.5	335
1387.0	334
1386.5	321
1386.0	314
1385.5	311
1385.0	328
1384.5	313
1384.0	313
1383.5	320
1383.0	320
1382.5	307
1382.0	274
1381.5	305
1381.0	288
1380.5	287
1380.0	275
1379.5	279
1379.0	281
1378.5	300
1378.0	301
1377.5	308
1377.0	269
1376.5	265
1376.0	280
1375.5	298
1375.0	281
1374.5	268
1374.0	275
1373.5	266
1373.0	285
1372.5	276
1372.0	290
1371.5	290
1371.0	259
1370.5	287
1370.0	256
1369.5	270
1369.0	261
1368.5	245
1368.0	243
1367.5	258
1367.0	242
1366.5	263
1366.0	273
1365.5	268
1365.0	237
1364.5	255
1364.0	259
1363.5	255
1363.0	255
1362.5	255
1362.0	250
1361.5	248
1361.0	242
1360.5	249
1360.0	248
1359.5	278
1359.0	228
1358.5	226
1358.0	238
1357.5	236
1357.0	228
1356.5	259
1356.0	245
1355.5	227
1355.0	229
1354.5	240
1354.0	221
1353.5	234
1353.0	215
1352.5	243
1352.0	234
1351.5	238
1351.0	252
1350.5	222
1350.0	211
1349.5	241
1349.0	239
1348.5	259
1348.0	237
1347.5	219
1347.0	227
1346.5	249
1346.0	245
1345.5	214
1345.0	220
1344.5	233
1344.0	225
1343.5	209
1343.0	237
1342.5	222
1342.0	195
1341.5	181
1341.0	222
1340.5	228
1340.0	227
1339.5	240
1339.0	223
1338.5	213
1338.0	213
1337.5	221
1337.0	231
1336.5	220
1336.0	259
1335.5	245
1335.0	220
1334.5	224
1334.0	229
1333.5	217
1333.0	231
1332.5	240
1332.0	223
1331.5	231
1331.0	248
1330.5	226
1330.0	228
1329.5	233
1329.0	195
1328.5	208
1328.0	221
1327.5	212
1327.0	213
1326.5	216
1326.0	215
1325.5	236
1325.0	226
1324.5	198
1324.0	210
1323.5	210
1323.0	198
1322.5	224
1322.0	226
1321.5	229
1321.0	195
1320.5	185
1320.0	190
1319.5	193
1319.0	242
1318.5	219
1318.0	202
1317.5	204
1317.0	196
1316.5	215
1316.0	210
1315.5	215
1315.0	191
1314.5	225
1314.0	217
1313.5	212
1313.0	217
1312.5	191
1312.0	203
1311.5	196
1311.0	192
1310.5	222
1310.0	220
1309.5	191
1309.0	204
1308.5	186
1308.0	198
1307.5	202
1307.0	212
1306.5	222
1306.0	205
1305.5	212
1305.0	206
1304.5	223
1304.0	199
1303.5	218
1303.0	204
1302.5	226
1302.0	206
1301.5	225
1301.0	204
1300.5	211
1300.0	204
1299.5	190
1299.0	214
1298.5	228
1298.0	200
1297.5	187
1297.0	181
1296.5	214
1296.0	233
1295.5	193
1295.0	217
1294.5	207
1294.0	197
1293.5	205
1293.0	217
1292.5	219
1292.0	203
1291.5	191
1291.0	223
1290.5	208
1290.0	191
1289.5	188
1289.0	201
1288.5	220
1288.0	197
1287.5	207
1287.0	205
1286.5	205
1286.0	211
1285.5	202
1285.0	214
1284.5	213
1284.0	217
1283.5	215
1283.0	192
1282.5	202
1282.0	205
1281.5	210
1281.0	223
1280.5	238
1280.0	198
1279.5	197
1279.0	219
1278.5	218
1278.0	225
1277.5	210
1277.0	208
1276.5	195
1276.0	218
1275.5	190
1275.0	205
1274.5	196
1274.0	220
1273.5	222
1273.0	219
1272.5	197
1272.0	203
1271.5	200
1271.0	217
1270.5	199
1270.0	210
1269.5	222
1269.0	228
1268.5	234
1268.0	208
1267.5	193
1267.0	203
1266.5	247
1266.0	214
1265.5	216
1265.0	224
1264.5	212
1264.0	214
1263.5	216
1263.0	198
1262.5	216
1262.0	217
1261.5	209
1261.0	196
1260.5	196
1260.0	198
1259.5	204
1259.0	213
1258.5	198
1258.0	204
1257.5	188
1257.0	214
1256.5	239
1256.0	210
1255.5	225
1255.0	235
1254.5	194
1254.0	202
1253.5	229
1253.0	223
1252.5	225
1252.0	212
1251.5	210
1251.0	207
1250.5	206
1250.0	227
1249.5	222
1249.0	205
1248.5	239
1248.0	210
1247.5	233
1247.0	208
1246.5	205
1246.0	208
1245.5	235
1245.0	233
1244.5	212
1244.0	231
1243.5	221
1243.0	236
1242.5	229
1242.0	212
1241.5	236
1241.0	205
1240.5	207
1240.0	237
1239.5	223
1239.0	222
1238.5	219
1238.0	226
1237.5	226
1237.0	232
1236.5	218
1236.0	225
1235.5	244
1235.0	217
1234.5	242
1234.0	238
1233.5	193
1233.0	236
1232.5	250
1232.0	224
1231.5	207
1231.0	249
1230.5	222
1230.0	225
1229.5	225
1229.0	229
1228.5	237
1228.0	213
1227.5	210
1227.0	233
1226.5	237
1226.0	241
1225.5	251
1225.0	215
1224.5	249
1224.0	276
1223.5	253
1223.0	232
1222.5	230
1222.0	211
1221.5	235
1221.0	228
1220.5	238
1220.0	232
1219.5	240
1219.0	227
1218.5	224
1218.0	241
1217.5	218
1217.0	206
1216.5	218
1216.0	222
1215.5	231
1215.0	222
1214.5	237
1214.0	247
1213.5	269
1213.0	233
1212.5	244
1212.0	245
1211.5	226
1211.0	231
1210.5	233
1210.0	227
1209.5	225
1209.0	236
1208.5	247
1208.0	249
1207.5	245
1207.0	250
1206.5	232
1206.0	240
1205.5	244
1205.0	235
1204.5	219
1204.0	241
1203.5	221
1203.0	215
1202.5	221
1202.0	262
1201.5	226
1201.0	242
1200.5	245
1200.0	256
1199.5	240
1199.0	248
1198.5	231
1198.0	241
1197.5	249
1197.0	232
1196.5	224
1196.0	242
1195.5	236
1195.0	258
1194.5	237
1194.0	262
1193.5	262
1193.0	247
1192.5	255
1192.0	254
1191.5	258
1191.0	249
1190.5	250
1190.0	244
1189.5	232
1189.0	232
1188.5	231
1188.0	261
1187.5	243
1187.0	229
1186.5	260
1186.0	264
1185.5	256
1185.0	261
1184.5	255
1184.0	263
1183.5	242
1183.0	270
1182.5	250
1182.0	247
1181.5	249
1181.0	262
1180.5	277
1180.0	251
1179.5	235
1179.0	248
1178.5	236
1178.0	271
1177.5	253
1177.0	274
1176.5	253
1176.0	243
1175.5	283
1175.0	254
1174.5	250
1174.0	260
1173.5	262
1173.0	244
1172.5	277
1172.0	243
1171.5	271
1171.0	275
1170.5	245
1170.0	261
1169.5	284
1169.0	285
1168.5	254
1168.0	259
1167.5	253
1167.0	281
1166.5	276
1166.0	268
1165.5	269
1165.0	282
1164.5	278
1164.0	248
1163.5	254
1163.0	260
1162.5	265
1162.0	254
1161.5	270
1161.0	273
1160.5	283
1160.0	287
1159.5	292
1159.0	235
1158.5	249
1158.0	270
1157.5	284
1157.0	279
1156.5	279
1156.0	266
1155.5	282
1155.0	261
1154.5	276
1154.0	257
1153.5	276
1153.0	260
1152.5	253
1152.0	270
1151.5	273
1151.0	273
1150.5	256
1150.0	287
1149.5	286
1149.0	277
1148.5	251
1148.0	282
1147.5	296
1147.0	282
1146.5	268
1146.0	264
1145.5	275
1145.0	295
1144.5	291
1144.0	291
1143.5	282
1143.0	292
1142.5	288
1142.0	272
1141.5	277
1141.0	274
1140.5	241
1140.0	265
1139.5	271
1139.0	269
1138.5	274
1138.0	269
1137.5	293
1137.0	269
1136.5	285
1136.0	287
1135.5	267
1135.0	271
1134.5	298
1134.0	284
1133.5	282
1133.0	293
1132.5	268
1132.0	262
1131.5	278
1131.0	275
1130.5	284
1130.0	276
1129.5	245
1129.0	253
1128.5	285
1128.0	276
1127.5	306
1127.0	295
1126.5	283
1126.0	286
1125.5	292
1125.0	252
1124.5	282
1124.0	271
1123.5	284
1123.0	288
1122.5	269
1122.0	284
1121.5	310
1121.0	306
1120.5	308
1120.0	289
1119.5	278
1119.0	297
1118.5	317
1118.0	288
1117.5	302
1117.0	314
1116.5	325
1116.0	302
1115.5	297
1115.0	315
1114.5	315
1114.0	275
1113.5	299
1113.0	313
1112.5	301
1112.0	311
1111.5	285
1111.0	286
1110.5	300
1110.0	271
1109.5	275
1109.0	277
1108.5	304
1108.0	293
1107.5	310
1107.0	276
1106.5	300
1106.0	280
1105.5	299
1105.0	293
1104.5	277
1104.0	298
1103.5	307
1103.0	288
1102.5	312
1102.0	285
1101.5	293
1101.0	299
1100.5	325
1100.0	291
1099.5	302
1099.0	310
1098.5	308
1098.0	296
1097.5	307
1097.0	289
1096.5	292
1096.0	289
1095.5	278
1095.0	324
1094.5	292
1094.0	278
1093.5	293
1093.0	290
1092.5	295
1092.0	305
1091.5	310
1091.0	311
1090.5	314
1090.0	327
1089.5	284
1089.0	306
1088.5	302
1088.0	300
1087.5	329
1087.0	320
1086.5	319
1086.0	339
1085.5	323
1085.0	308
1084.5	294
1084.0	322
1083.5	292
1083.0	304
1082.5	298
1082.0	300
1081.5	308
1081.0	329
1080.5	319
1080.0	336
1079.5	290
1079.0	299
1078.5	287
1078.0	302
1077.5	288
1077.0	323
1076.5	301
1076.0	286
1075.5	308
1075.0	304
1074.5	312
1074.0	319
1073.5	353
1073.0	365
1072.5	348
1072.0	369
1071.5	346
1071.0	342
1070.5	302
1070.0	314
1069.5	314
1069.0	320
1068.5	310
1068.0	308
1067.5	315
1067.0	343
1066.5	312
1066.0	312
1065.5	311
1065.0	306
1064.5	323
1064.0	334
1063.5	304
1063.0	320
1062.5	299
1062.0	300
1061.5	321
1061.0	334
1060.5	327
1060.0	313
1059.5	312
1059.0	318
1058.5	304
1058.0	328
1057.5	335
1057.0	332
1056.5	318
1056.0	324
1055.5	286
1055.0	285
1054.5	309
1054.0	305
1053.5	319
1053.0	336
1052.5	315
1052.0	292
1051.5	330
1051.0	312
1050.5	349
1050.0	327
1049.5	338
1049.0	306
1048.5	320
1048.0	319
1047.5	329
1047.0	318
1046.5	340
1046.0	351
1045.5	343
1045.0	324
1044.5	333
1044.0	330
1043.5	326
1043.0	308
1042.5	306
1042.0	337
1041.5	327
1041.0	338
1040.5	322
1040.0	339
1039.5	348
1039.0	351
1038.5	380
1038.0	370
1037.5	331
1037.0	317
1036.5	301
1036.0	316
1035.5	331
1035.0	343
1034.5	329
1034.0	343
1033.5	331
1033.0	345
1032.5	353
1032.0	346
1031.5	369
1031.0	348
1030.5	339
1030.0	348
1029.5	332
1029.0	329
1028.5	363
1028.0	345
1027.5	340
1027.0	365
1026.5	357
1026.0	334
1025.5	347
1025.0	346
1024.5	362
1024.0	384
1023.5	368
1023.0	404
1022.5	414
1022.0	369
1021.5	355
1021.0	366
1020.5	369
1020.0	384
1019.5	365
1019.0	348
1018.5	363
1018.0	373
1017.5	373
1017.0	361
1016.5	350
1016.0	363
1015.5	339
1015.0	366
1014.5	364
1014.0	352
1013.5	356
1013.0	329
1012.5	325
1012.0	345
1011.5	395
1011.0	379
1010.5	367
1010.0	355
1009.5	342
1009.0	369
1008.5	370
1008.0	362
1007.5	369
1007.0	387
1006.5	369
1006.0	369
1005.5	372
1005.0	393
1004.5	396
1004.0	354
1003.5	383
1003.0	390
1002.5	414
1002.0	386
1001.5	404
1001.0	387
1000.5	413
1000.0	378
999.5	385
999.0	350
998.5	370
998.0	340
997.5	347
997.0	337
996.5	370
996.0	385
995.5	386
995.0	353
994.5	358
994.0	384
993.5	316
993.0	315
992.5	321
992.0	325
991.5	308
991.0	318
990.5	333
990.0	344
989.5	349
989.0	317
988.5	337
988.0	359
987.5	343
987.0	334
986.5	369
986.0	349
985.5	394
985.0	376
984.5	406
984.0	454
983.5	427
983.0	443
982.5	444
982.0	495
981.5	493
981.0	530
980.5	505
980.0	510
979.5	538
979.0	483
978.5	423
978.0	422
977.5	381
977.0	367
976.5	350
976.0	329
975.5	314
975.0	326
974.5	317
974.0	331
973.5	286
973.0	315
972.5	292
972.0	274
971.5	287
971.0	255
970.5	224
970.0	255
969.5	260
969.0	235
968.5	225
968.0	225
967.5	205
967.0	222
966.5	232
966.0	207
965.5	203
965.0	211
964.5	192
964.0	207
963.5	210
963.0	218
962.5	204
962.0	206
961.5	217
961.0	221
960.5	216
960.0	232
959.5	211
959.0	222
958.5	211
958.0	202
957.5	209
957.0	234
956.5	204
956.0	212
955.5	231
955.0	245
954.5	231
954.0	208
953.5	214
953.0	211
952.5	215
952.0	211
951.5	196
951.0	217
950.5	208
950.0	219
949.5	201
949.0	215
948.5	210
948.0	188
947.5	210
947.0	217
946.5	225
946.0	201
945.5	206
945.0	221
944.5	229
944.0	227
943.5	223
943.0	233
942.5	216
942.0	230
941.5	228
941.0	200
940.5	213
940.0	205
939.5	199
939.0	189
938.5	219
938.0	220
937.5	215
937.0	221
936.5	214
936.0	183
935.5	197
935.0	212
934.5	212
934.0	230
933.5	217
933.0	225
932.5	216
932.0	197
931.5	178
931.0	211
930.5	201
930.0	207
929.5	218
929.0	207
928.5	176
928.0	195
927.5	204
927.0	204
926.5	207
926.0	202
925.5	229
925.0	212
924.5	197
924.0	213
923.5	212
923.0	205
922.5	232
922.0	226
921.5	229
921.0	208
920.5	215
920.0	219
919.5	221
919.0	227
918.5	207
918.0	201
917.5	210
917.0	214
916.5	223
916.0	219
915.5	206
915.0	192
914.5	185
914.0	230
913.5	207
913.0	224
912.5	185
912.0	218
911.5	220
911.0	195
910.5	200
910.0	225
909.5	225
909.0	220
908.5	234
908.0	207
907.5	222
907.0	216
906.5	222
906.0	228
905.5	216
905.0	222
904.5	210
904.0	220
903.5	209
903.0	227
902.5	197
902.0	224
901.5	237
901.0	235
900.5	249
900.0	239
899.5	245
899.0	234
898.5	241
898.0	223
897.5	257
897.0	258
896.5	223
896.0	236
895.5	230
895.0	234
894.5	239
894.0	255
893.5	244
893.0	215
892.5	249
892.0	224
891.5	240
891.0	272
890.5	235
890.0	223
889.5	254
889.0	250
888.5	256
888.0	259
887.5	266
887.0	210
886.5	237
886.0	223
885.5	251
885.0	226
884.5	230
884.0	232
883.5	242
883.0	242
882.5	234
882.0	230
881.5	233
881.0	262
880.5	250
880.0	220
879.5	241
879.0	237
878.5	220
878.0	233
877.5	240
877.0	245
876.5	249
876.0	246
875.5	250
875.0	234
874.5	244
874.0	256
873.5	251
873.0	250
872.5	241
872.0	232
871.5	239
871.0	244
870.5	237
870.0	252
869.5	257
869.0	209
868.5	224
868.0	225
867.5	233
867.0	252
866.5	231
866.0	225
865.5	211
865.0	251
864.5	224
864.0	220
863.5	217
863.0	228
862.5	211
862.0	208
861.5	201
861.0	221
860.5	221
860.0	228
859.5	235
859.0	241
858.5	251
858.0	248
857.5	243
857.0	250
856.5	237
856.0	230
855.5	254
855.0	273
854.5	286
854.0	303
853.5	297
853.0	263
852.5	224
852.0	228
851.5	207
851.0	208
850.5	215
850.0	213
849.5	202
849.0	188
848.5	191
848.0	206
847.5	228
847.0	209
846.5	191
846.0	211
845.5	198
845.0	202
844.5	200
844.0	202
843.5	198
843.0	193
842.5	189
842.0	205
841.5	179
841.0	209
840.5	191
840.0	216
839.5	209
839.0	203
838.5	210
838.0	209
837.5	194
837.0	211
836.5	233
836.0	222
835.5	201
835.0	208
834.5	197
834.0	182
833.5	208
833.0	224
832.5	213
832.0	201
831.5	184
831.0	196
830.5	218
830.0	212
829.5	208
829.0	212
828.5	228
828.0	221
827.5	203
827.0	195
826.5	214
826.0	190
825.5	201
825.0	188
824.5	206
824.0	225
823.5	204
823.0	197
822.5	187
822.0	202
821.5	219
821.0	191
820.5	193
820.0	190
819.5	200
819.0	210
818.5	202
818.0	186
817.5	220
817.0	193
816.5	195
816.0	202
815.5	197
815.0	195
814.5	220
814.0	201
813.5	186
813.0	191
812.5	195
812.0	184
811.5	194
811.0	190
810.5	197
810.0	174
809.5	224
809.0	196
808.5	216
808.0	184
807.5	225
807.0	212
806.5	207
806.0	177
805.5	176
805.0	203
804.5	185
804.0	201
803.5	195
803.0	200
802.5	203
802.0	204
801.5	194
801.0	199
800.5	204
800.0	204
799.5	202
799.0	220
798.5	218
798.0	175
797.5	224
797.0	221
796.5	190
796.0	189
795.5	179
795.0	185
794.5	200
794.0	202
793.5	186
793.0	195
792.5	192
792.0	200
791.5	211
791.0	215
790.5	205
790.0	196
789.5	185
789.0	227
788.5	187
788.0	197
787.5	181
787.0	226
786.5	224
786.0	206
785.5	202
785.0	215
784.5	228
784.0	192
783.5	209
783.0	216
782.5	190
782.0	192
781.5	204
781.0	191
780.5	211
780.0	196
779.5	196
779.0	211
778.5	183
778.0	213
777.5	204
777.0	211
776.5	212
776.0	211
775.5	205
775.0	193
774.5	200
774.0	196
773.5	195
773.0	204
772.5	224
772.0	192
771.5	190
771.0	176
770.5	189
770.0	221
769.5	199
769.0	211
768.5	208
768.0	195
767.5	208
767.0	190
766.5	199
766.0	211
765.5	198
765.0	197
764.5	186
764.0	194
763.5	201
763.0	190
762.5	177
762.0	190
761.5	172
761.0	173
760.5	209
760.0	211
759.5	214
759.0	195
758.5	202
758.0	197
757.5	187
757.0	189
756.5	203
756.0	191
755.5	197
755.0	205
754.5	225
754.0	199
753.5	199
753.0	210
752.5	215
752.0	215
751.5	202
751.0	203
750.5	196
750.0	184
749.5	191
