Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
1	true	Original	1400.0	0.0	-0.5	1	0.200	CAE	50.00	High	false		7 Channel Acquisition			1
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
1400.0	359
1399.5	421
1399.0	388
1398.5	412
1398.0	393
1397.5	402
1397.0	383
1396.5	416
1396.0	391
1395.5	398
1395.0	396
1394.5	383
1394.0	398
1393.5	388
1393.0	415
1392.5	399
1392.0	393
1391.5	358
1391.0	365
1390.5	385
1390.0	387
1389.5	383
1389.0	349
1388.5	403
1388.0	376
1387.5	392
1387.0	380
1386.5	393
1386.0	388
1385.5	364
1385.0	375
1384.5	377
1384.0	366
1383.5	366
1383.0	342
1382.5	363
1382.0	312
1381.5	343
1381.0	325
1380.5	341
1380.0	357
1379.5	334
1379.0	324
1378.5	338
1378.0	363
1377.5	379
1377.0	359
1376.5	340
1376.0	341
1375.5	335
1375.0	307
1374.5	315
1374.0	364
1373.5	328
1373.0	315
1372.5	329
1372.0	348
1371.5	337
1371.0	317
1370.5	345
1370.0	326
1369.5	322
1369.0	308
1368.5	328
1368.0	356
1367.5	320
1367.0	356
1366.5	361
1366.0	330
1365.5	318
1365.0	340
1364.5	324
1364.0	335
1363.5	299
1363.0	318
1362.5	322
1362.0	328
1361.5	324
1361.0	315
1360.5	325
1360.0	331
1359.5	327
1359.0	329
1358.5	327
1358.0	329
1357.5	309
1357.0	311
1356.5	295
1356.0	297
1355.5	309
1355.0	326
1354.5	312
1354.0	311
1353.5	329
1353.0	312
1352.5	312
1352.0	306
1351.5	292
1351.0	311
1350.5	313
1350.0	304
1349.5	310
1349.0	299
1348.5	313
1348.0	323
1347.5	330
1347.0	312
1346.5	303
1346.0	323
1345.5	261
1345.0	293
1344.5	295
1344.0	299
1343.5	286
1343.0	295
1342.5	301
1342.0	298
1341.5	297
1341.0	281
1340.5	284
1340.0	305
1339.5	286
1339.0	302
1338.5	297
1338.0	318
1337.5	297
1337.0	280
1336.5	277
1336.0	309
1335.5	316
1335.0	310
1334.5	321
1334.0	309
1333.5	292
1333.0	289
1332.5	293
1332.0	289
1331.5	291
1331.0	298
1330.5	285
1330.0	283
1329.5	310
1329.0	273
1328.5	325
1328.0	301
1327.5	307
1327.0	328
1326.5	298
1326.0	302
1325.5	314
1325.0	277
1324.5	286
1324.0	271
1323.5	295
1323.0	286
1322.5	252
1322.0	287
1321.5	295
1321.0	296
1320.5	319
