Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
1	true	Original	1400.0	0.0	-0.5	1	0.200	CAE	50.00	High	false		7 Channel Acquisition			1
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
1400.0	414
1399.5	423
1399.0	402
1398.5	397
1398.0	397
1397.5	392
1397.0	398
1396.5	412
1396.0	416
1395.5	389
1395.0	358
1394.5	392
1394.0	388
1393.5	387
1393.0	391
1392.5	374
1392.0	384
1391.5	382
1391.0	385
1390.5	376
1390.0	379
1389.5	375
1389.0	379
1388.5	377
1388.0	453
1387.5	444
1387.0	426
1386.5	408
1386.0	455
1385.5	457
1385.0	491
1384.5	484
1384.0	454
1383.5	460
1383.0	498
1382.5	457
1382.0	433
1381.5	397
1381.0	430
1380.5	451
1380.0	420
1379.5	414
1379.0	437
1378.5	422
1378.0	377
1377.5	380
1377.0	359
1376.5	404
1376.0	386
1375.5	415
1375.0	426
1374.5	405
1374.0	377
1373.5	393
1373.0	380
1372.5	412
1372.0	373
1371.5	377
1371.0	400
1370.5	396
1370.0	378
1369.5	350
1369.0	376
1368.5	370
1368.0	364
1367.5	370
1367.0	370
1366.5	382
1366.0	378
1365.5	373
1365.0	354
1364.5	367
1364.0	348
1363.5	377
1363.0	359
1362.5	364
1362.0	361
1361.5	359
1361.0	354
1360.5	340
1360.0	353
1359.5	356
1359.0	338
1358.5	321
1358.0	321
1357.5	336
1357.0	355
1356.5	332
1356.0	332
1355.5	330
1355.0	345
1354.5	354
1354.0	344
1353.5	331
1353.0	324
1352.5	305
1352.0	342
1351.5	333
1351.0	316
1350.5	329
1350.0	349
1349.5	325
1349.0	329
1348.5	310
1348.0	310
1347.5	342
1347.0	328
1346.5	350
1346.0	292
1345.5	320
1345.0	294
1344.5	308
1344.0	314
1343.5	286
1343.0	299
1342.5	330
1342.0	342
1341.5	331
1341.0	296
1340.5	321
1340.0	350
1339.5	347
1339.0	297
1338.5	328
1338.0	324
1337.5	311
1337.0	295
1336.5	314
1336.0	291
1335.5	302
1335.0	318
1334.5	312
1334.0	311
1333.5	339
1333.0	320
1332.5	306
1332.0	299
1331.5	295
1331.0	326
1330.5	334
1330.0	299
1329.5	299
1329.0	291
1328.5	315
1328.0	320
1327.5	298
1327.0	303
1326.5	315
1326.0	279
1325.5	318
1325.0	285
1324.5	303
1324.0	297
1323.5	275
1323.0	291
1322.5	292
1322.0	295
1321.5	272
1321.0	296
1320.5	296
1320.0	312
1319.5	283
1319.0	313
1318.5	303
1318.0	312
1317.5	310
1317.0	302
1316.5	285
1316.0	300
1315.5	303
1315.0	309
1314.5	314
1314.0	294
1313.5	306
1313.0	301
1312.5	301
1312.0	310
1311.5	296
1311.0	279
1310.5	277
1310.0	295
1309.5	321
1309.0	313
1308.5	289
1308.0	320
1307.5	304
1307.0	312
1306.5	297
1306.0	312
1305.5	303
1305.0	331
1304.5	307
1304.0	318
1303.5	285
1303.0	286
1302.5	309
1302.0	322
1301.5	321
1301.0	333
1300.5	288
1300.0	299
1299.5	311
1299.0	298
1298.5	283
1298.0	274
1297.5	283
1297.0	302
1296.5	284
1296.0	287
1295.5	297
1295.0	324
1294.5	320
1294.0	279
1293.5	261
1293.0	312
1292.5	307
1292.0	281
1291.5	268
1291.0	298
1290.5	291
1290.0	292
1289.5	293
1289.0	252
1288.5	266
1288.0	263
1287.5	267
1287.0	243
1286.5	282
1286.0	305
1285.5	280
1285.0	268
1284.5	286
1284.0	255
1283.5	270
1283.0	301
1282.5	282
1282.0	275
1281.5	286
1281.0	246
1280.5	270
1280.0	298
1279.5	308
1279.0	270
1278.5	276
1278.0	265
1277.5	258
1277.0	263
1276.5	267
1276.0	280
1275.5	261
1275.0	262
1274.5	273
1274.0	265
1273.5	250
1273.0	255
1272.5	257
1272.0	287
1271.5	263
1271.0	259
1270.5	281
1270.0	268
1269.5	276
1269.0	251
1268.5	247
1268.0	276
1267.5	293
1267.0	279
1266.5	264
1266.0	273
1265.5	294
1265.0	292
1264.5	284
1264.0	273
1263.5	272
1263.0	287
1262.5	254
1262.0	262
1261.5	267
1261.0	282
1260.5	288
1260.0	274
1259.5	292
1259.0	295
1258.5	309
1258.0	283
1257.5	271
1257.0	282
1256.5	287
1256.0	305
1255.5	274
1255.0	274
1254.5	285
1254.0	292
1253.5	299
1253.0	266
1252.5	274
1252.0	290
1251.5	259
1251.0	286
1250.5	290
1250.0	270
1249.5	259
1249.0	285
1248.5	301
1248.0	263
1247.5	286
1247.0	282
1246.5	275
1246.0	294
1245.5	285
1245.0	305
1244.5	275
1244.0	267
1243.5	283
1243.0	287
1242.5	289
1242.0	275
1241.5	288
1241.0	296
1240.5	297
1240.0	299
1239.5	272
1239.0	283
1238.5	298
1238.0	287
1237.5	283
1237.0	271
1236.5	313
1236.0	281
1235.5	292
1235.0	302
1234.5	288
1234.0	286
1233.5	296
1233.0	304
1232.5	280
1232.0	303
1231.5	326
1231.0	297
1230.5	293
1230.0	296
1229.5	295
1229.0	292
1228.5	297
1228.0	317
1227.5	279
1227.0	304
1226.5	294
1226.0	305
1225.5	298
1225.0	276
1224.5	270
1224.0	301
1223.5	291
1223.0	283
1222.5	306
1222.0	274
1221.5	288
1221.0	300
1220.5	311
1220.0	297
1219.5	300
1219.0	293
1218.5	289
1218.0	307
1217.5	276
1217.0	307
1216.5	281
1216.0	271
1215.5	268
1215.0	288
1214.5	288
1214.0	309
1213.5	291
1213.0	309
1212.5	290
1212.0	270
1211.5	285
1211.0	303
1210.5	311
1210.0	294
1209.5	301
1209.0	298
1208.5	320
1208.0	286
1207.5	294
1207.0	295
1206.5	310
1206.0	283
1205.5	291
1205.0	293
1204.5	304
1204.0	321
1203.5	302
1203.0	293
1202.5	270
1202.0	299
1201.5	322
1201.0	314
1200.5	293
1200.0	288
1199.5	286
1199.0	282
1198.5	338
1198.0	315
1197.5	280
1197.0	302
1196.5	298
1196.0	326
1195.5	313
1195.0	312
1194.5	306
1194.0	296
1193.5	272
1193.0	298
1192.5	326
1192.0	311
1191.5	290
1191.0	299
1190.5	290
1190.0	296
1189.5	310
1189.0	296
1188.5	299
1188.0	307
1187.5	285
1187.0	305
1186.5	288
1186.0	301
1185.5	294
1185.0	297
1184.5	247
1184.0	310
1183.5	303
1183.0	293
1182.5	283
1182.0	296
1181.5	290
1181.0	312
1180.5	308
1180.0	323
1179.5	298
1179.0	297
1178.5	296
1178.0	323
1177.5	284
1177.0	322
1176.5	307
1176.0	305
1175.5	310
1175.0	332
1174.5	281
1174.0	321
1173.5	340
1173.0	333
1172.5	315
1172.0	337
1171.5	327
1171.0	318
1170.5	298
1170.0	292
1169.5	323
1169.0	322
1168.5	311
1168.0	291
1167.5	277
1167.0	313
1166.5	292
1166.0	307
1165.5	310
1165.0	312
1164.5	329
1164.0	300
1163.5	318
1163.0	286
1162.5	296
1162.0	321
1161.5	315
1161.0	331
1160.5	319
1160.0	297
1159.5	316
1159.0	336
1158.5	310
1158.0	320
1157.5	304
1157.0	337
1156.5	296
1156.0	286
1155.5	314
1155.0	300
1154.5	318
1154.0	320
1153.5	328
1153.0	320
1152.5	346
1152.0	332
1151.5	336
1151.0	337
1150.5	333
1150.0	322
1149.5	320
1149.0	302
1148.5	323
1148.0	307
1147.5	325
1147.0	308
1146.5	315
1146.0	351
1145.5	312
1145.0	312
1144.5	334
1144.0	342
1143.5	360
1143.0	352
1142.5	326
1142.0	324
1141.5	323
1141.0	314
1140.5	288
1140.0	342
1139.5	331
1139.0	308
1138.5	316
1138.0	320
1137.5	328
1137.0	318
1136.5	305
1136.0	360
1135.5	362
1135.0	324
1134.5	324
1134.0	330
1133.5	321
1133.0	321
1132.5	347
1132.0	344
1131.5	325
1131.0	347
1130.5	304
1130.0	312
1129.5	323
1129.0	340
1128.5	325
1128.0	319
1127.5	333
1127.0	313
1126.5	311
1126.0	319
1125.5	330
1125.0	315
1124.5	329
1124.0	306
1123.5	302
1123.0	342
1122.5	314
1122.0	334
1121.5	340
1121.0	318
1120.5	354
1120.0	371
1119.5	363
1119.0	333
1118.5	334
1118.0	295
1117.5	312
1117.0	349
1116.5	337
1116.0	350
1115.5	340
1115.0	330
1114.5	328
1114.0	317
1113.5	363
1113.0	340
1112.5	346
1112.0	338
1111.5	341
1111.0	340
1110.5	349
1110.0	349
1109.5	352
1109.0	322
1108.5	331
1108.0	333
1107.5	343
1107.0	327
1106.5	341
1106.0	329
1105.5	350
1105.0	338
1104.5	349
1104.0	306
1103.5	345
1103.0	323
1102.5	306
1102.0	342
1101.5	334
1101.0	353
1100.5	356
1100.0	331
1099.5	335
1099.0	330
1098.5	332
1098.0	342
1097.5	360
1097.0	323
1096.5	341
1096.0	341
1095.5	335
1095.0	363
1094.5	363
1094.0	349
1093.5	345
1093.0	353
1092.5	332
1092.0	352
1091.5	332
1091.0	351
1090.5	379
1090.0	362
1089.5	358
1089.0	362
1088.5	350
1088.0	348
1087.5	342
1087.0	369
1086.5	355
1086.0	368
1085.5	354
1085.0	376
1084.5	388
1084.0	375
1083.5	355
1083.0	371
1082.5	356
1082.0	350
1081.5	361
1081.0	367
1080.5	343
1080.0	365
1079.5	348
1079.0	325
1078.5	338
1078.0	376
1077.5	374
1077.0	355
1076.5	335
1076.0	362
1075.5	352
1075.0	307
1074.5	350
1074.0	363
1073.5	360
1073.0	360
1072.5	365
1072.0	347
1071.5	389
1071.0	359
1070.5	365
1070.0	378
1069.5	352
1069.0	382
1068.5	366
1068.0	345
1067.5	370
1067.0	361
1066.5	382
1066.0	345
1065.5	391
1065.0	366
1064.5	381
1064.0	346
1063.5	362
1063.0	344
1062.5	377
1062.0	376
1061.5	368
1061.0	346
1060.5	373
1060.0	392
1059.5	360
1059.0	378
1058.5	360
1058.0	376
1057.5	386
1057.0	373
1056.5	378
1056.0	353
1055.5	367
1055.0	369
1054.5	399
1054.0	378
1053.5	379
1053.0	386
1052.5	395
1052.0	394
1051.5	393
1051.0	386
1050.5	376
1050.0	360
1049.5	355
1049.0	359
1048.5	371
1048.0	376
1047.5	367
1047.0	361
1046.5	349
1046.0	364
1045.5	327
1045.0	365
1044.5	376
1044.0	373
1043.5	378
1043.0	341
1042.5	394
1042.0	377
1041.5	363
1041.0	399
1040.5	399
1040.0	361
1039.5	361
1039.0	363
1038.5	406
1038.0	371
1037.5	337
1037.0	384
1036.5	399
1036.0	374
1035.5	405
1035.0	405
1034.5	404
1034.0	380
1033.5	389
1033.0	358
1032.5	397
1032.0	387
1031.5	397
1031.0	386
1030.5	403
1030.0	390
1029.5	388
1029.0	396
1028.5	408
1028.0	385
1027.5	399
1027.0	369
1026.5	385
1026.0	399
1025.5	420
1025.0	406
1024.5	413
1024.0	378
1023.5	392
1023.0	416
1022.5	410
1022.0	416
1021.5	414
1021.0	385
1020.5	420
1020.0	425
1019.5	410
1019.0	404
1018.5	406
1018.0	417
1017.5	398
1017.0	406
1016.5	418
1016.0	408
1015.5	393
1015.0	452
1014.5	430
1014.0	437
1013.5	400
1013.0	416
1012.5	385
1012.0	402
1011.5	408
1011.0	418
1010.5	408
1010.0	416
1009.5	418
1009.0	429
1008.5	421
1008.0	436
1007.5	454
1007.0	440
1006.5	420
1006.0	447
1005.5	435
1005.0	458
1004.5	413
1004.0	427
1003.5	463
1003.0	484
1002.5	441
1002.0	441
1001.5	460
1001.0	463
1000.5	444
1000.0	458
999.5	459
999.0	460
998.5	381
998.0	402
997.5	406
997.0	418
996.5	404
996.0	402
995.5	428
995.0	415
994.5	429
994.0	385
993.5	354
993.0	351
992.5	376
992.0	391
991.5	382
991.0	378
990.5	391
990.0	399
989.5	384
989.0	398
988.5	397
988.0	395
987.5	382
987.0	390
986.5	418
986.0	424
985.5	439
985.0	469
984.5	470
984.0	491
983.5	510
983.0	524
982.5	519
982.0	520
981.5	533
981.0	581
980.5	610
980.0	582
979.5	576
979.0	551
978.5	471
978.0	491
977.5	481
977.0	404
976.5	420
976.0	419
975.5	384
975.0	396
974.5	350
974.0	373
973.5	358
973.0	346
972.5	301
972.0	339
971.5	331
971.0	301
970.5	286
970.0	300
969.5	289
969.0	276
968.5	254
968.0	261
967.5	254
967.0	273
966.5	255
966.0	269
965.5	263
965.0	223
964.5	256
964.0	232
963.5	253
963.0	253
962.5	249
962.0	217
961.5	232
961.0	233
960.5	255
960.0	226
959.5	268
959.0	249
958.5	248
958.0	246
957.5	248
957.0	249
956.5	244
956.0	241
955.5	253
955.0	259
954.5	242
954.0	276
953.5	248
953.0	250
952.5	271
952.0	246
951.5	244
951.0	258
950.5	244
950.0	269
949.5	280
949.0	278
948.5	242
948.0	242
947.5	213
947.0	238
946.5	230
946.0	227
945.5	253
945.0	242
944.5	243
944.0	237
943.5	270
943.0	229
942.5	253
942.0	259
941.5	227
941.0	256
940.5	246
940.0	253
939.5	241
939.0	270
938.5	248
938.0	272
937.5	254
937.0	231
936.5	248
936.0	246
935.5	266
935.0	246
934.5	245
934.0	275
933.5	256
933.0	249
932.5	255
932.0	250
931.5	268
931.0	263
930.5	250
930.0	249
929.5	240
929.0	278
928.5	253
928.0	246
927.5	232
927.0	198
926.5	230
926.0	250
925.5	256
925.0	250
924.5	241
924.0	252
923.5	251
923.0	246
922.5	262
922.0	241
921.5	266
921.0	258
920.5	253
920.0	239
919.5	267
919.0	240
918.5	253
918.0	246
917.5	266
917.0	281
916.5	241
916.0	240
915.5	257
915.0	214
914.5	222
914.0	266
913.5	249
913.0	252
912.5	239
912.0	238
911.5	263
911.0	241
910.5	238
