Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
1	true	Original	1400.0	0.0	-0.5	1	0.200	CAE	50.00	High	false		7 Channel Acquisition			1
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
1400.0	450
1399.5	404
1399.0	428
1398.5	385
1398.0	438
1397.5	431
1397.0	403
1396.5	435
1396.0	427
1395.5	455
1395.0	407
1394.5	451
1394.0	483
1393.5	439
1393.0	489
1392.5	482
1392.0	447
1391.5	468
1391.0	426
1390.5	411
1390.0	436
1389.5	432
1389.0	443
1388.5	449
1388.0	418
1387.5	431
1387.0	398
1386.5	392
1386.0	411
1385.5	399
1385.0	394
1384.5	406
1384.0	401
1383.5	418
1383.0	386
1382.5	409
1382.0	412
1381.5	389
1381.0	418
1380.5	421
1380.0	406
1379.5	370
1379.0	391
1378.5	418
1378.0	393
1377.5	404
1377.0	395
1376.5	408
1376.0	384
1375.5	378
1375.0	382
1374.5	370
1374.0	336
1373.5	360
1373.0	375
1372.5	382
1372.0	379
1371.5	354
1371.0	380
1370.5	341
1370.0	357
1369.5	348
1369.0	335
1368.5	333
1368.0	307
1367.5	340
1367.0	319
1366.5	344
1366.0	311
1365.5	315
1365.0	325
1364.5	310
1364.0	329
1363.5	333
1363.0	319
1362.5	345
1362.0	320
1361.5	295
1361.0	310
1360.5	306
1360.0	298
1359.5	347
1359.0	344
1358.5	323
1358.0	326
1357.5	335
1357.0	318
1356.5	331
1356.0	297
1355.5	271
1355.0	322
1354.5	303
1354.0	315
1353.5	293
1353.0	288
1352.5	300
1352.0	289
1351.5	279
1351.0	279
1350.5	293
1350.0	310
1349.5	313
1349.0	287
1348.5	295
1348.0	301
1347.5	292
1347.0	284
1346.5	326
1346.0	300
1345.5	300
1345.0	289
1344.5	293
1344.0	299
1343.5	305
1343.0	283
1342.5	286
1342.0	336
1341.5	326
1341.0	343
1340.5	331
1340.0	345
1339.5	351
1339.0	338
1338.5	333
1338.0	328
1337.5	332
1337.0	318
1336.5	333
1336.0	334
1335.5	304
1335.0	321
1334.5	307
1334.0	311
1333.5	343
1333.0	327
1332.5	335
1332.0	323
1331.5	306
1331.0	338
1330.5	317
1330.0	319
1329.5	314
1329.0	302
1328.5	320
1328.0	329
1327.5	346
1327.0	308
1326.5	346
1326.0	320
1325.5	307
1325.0	286
1324.5	291
1324.0	282
1323.5	267
1323.0	277
1322.5	266
1322.0	287
1321.5	284
1321.0	260
1320.5	263
1320.0	250
1319.5	290
1319.0	274
1318.5	274
1318.0	299
1317.5	312
1317.0	286
1316.5	299
1316.0	320
1315.5	305
1315.0	313
1314.5	326
1314.0	341
1313.5	305
1313.0	292
1312.5	304
1312.0	299
1311.5	284
1311.0	302
1310.5	296
1310.0	292
1309.5	291
1309.0	290
1308.5	294
1308.0	298
1307.5	295
1307.0	292
1306.5	298
1306.0	296
1305.5	301
1305.0	290
1304.5	309
1304.0	303
1303.5	268
1303.0	282
1302.5	284
1302.0	282
1301.5	293
1301.0	319
1300.5	307
1300.0	304
1299.5	313
1299.0	288
1298.5	285
1298.0	292
1297.5	282
1297.0	278
1296.5	261
1296.0	290
1295.5	280
1295.0	302
1294.5	293
1294.0	293
1293.5	311
1293.0	294
1292.5	302
1292.0	292
1291.5	316
1291.0	313
1290.5	308
1290.0	295
1289.5	326
1289.0	329
1288.5	363
1288.0	318
1287.5	275
1287.0	326
1286.5	312
1286.0	306
1285.5	322
1285.0	338
1284.5	314
1284.0	308
1283.5	308
1283.0	302
1282.5	320
1282.0	326
1281.5	323
1281.0	333
1280.5	322
1280.0	310
1279.5	328
1279.0	307
1278.5	312
1278.0	333
1277.5	351
1277.0	333
1276.5	312
1276.0	299
1275.5	335
1275.0	321
1274.5	312
1274.0	317
1273.5	311
1273.0	321
1272.5	296
1272.0	303
1271.5	327
1271.0	308
1270.5	323
1270.0	314
1269.5	287
1269.0	297
1268.5	318
1268.0	324
1267.5	301
1267.0	320
1266.5	317
1266.0	299
1265.5	332
1265.0	355
1264.5	313
1264.0	307
1263.5	312
1263.0	311
1262.5	325
1262.0	324
1261.5	339
1261.0	316
1260.5	315
1260.0	308
1259.5	326
1259.0	300
1258.5	306
1258.0	296
1257.5	311
1257.0	313
1256.5	309
1256.0	331
1255.5	352
1255.0	314
1254.5	317
1254.0	358
1253.5	342
1253.0	322
1252.5	317
1252.0	335
1251.5	348
1251.0	328
1250.5	297
1250.0	320
1249.5	340
1249.0	302
1248.5	330
1248.0	334
1247.5	333
1247.0	300
1246.5	306
1246.0	347
1245.5	311
1245.0	326
1244.5	338
1244.0	302
1243.5	337
1243.0	320
1242.5	330
1242.0	362
1241.5	312
1241.0	329
1240.5	316
1240.0	332
1239.5	328
1239.0	342
1238.5	341
1238.0	347
1237.5	335
1237.0	330
1236.5	353
1236.0	338
1235.5	320
1235.0	294
1234.5	316
1234.0	320
1233.5	335
1233.0	334
1232.5	332
1232.0	338
1231.5	320
1231.0	325
1230.5	332
1230.0	333
1229.5	353
1229.0	349
