Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
1	false	Original	1400.0	0.0	-0.5	1	0.200	CAE	50.00	High	false		7 Channel Acquisition			1
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
1400.0	530
1399.5	491
1399.0	514
1398.5	489
1398.0	512
1397.5	513
1397.0	487
1396.5	474
1396.0	493
1395.5	481
1395.0	501
1394.5	527
1394.0	481
1393.5	523
1393.0	466
1392.5	505
1392.0	487
1391.5	513
1391.0	486
1390.5	480
1390.0	496
1389.5	469
1389.0	446
1388.5	486
1388.0	460
1387.5	451
1387.0	484
1386.5	508
1386.0	453
1385.5	446
1385.0	438
1384.5	465
1384.0	479
1383.5	462
1383.0	469
1382.5	474
1382.0	461
1381.5	434
1381.0	428
1380.5	427
1380.0	451
1379.5	445
1379.0	479
1378.5	441
1378.0	441
1377.5	400
1377.0	438
1376.5	422
1376.0	458
1375.5	421
1375.0	440
1374.5	405
1374.0	439
1373.5	431
1373.0	438
1372.5	406
1372.0	414
1371.5	442
1371.0	449
1370.5	426
1370.0	373
1369.5	414
1369.0	417
1368.5	432
1368.0	447
1367.5	424
1367.0	431
1366.5	403
1366.0	409
1365.5	422
1365.0	393
1364.5	397
1364.0	402
1363.5	395
1363.0	368
1362.5	409
1362.0	398
1361.5	403
1361.0	439
1360.5	419
1360.0	397
1359.5	402
1359.0	401
1358.5	369
1358.0	387
1357.5	401
1357.0	405
1356.5	373
1356.0	376
1355.5	358
1355.0	397
1354.5	392
1354.0	367
1353.5	379
1353.0	410
1352.5	387
1352.0	387
1351.5	390
1351.0	388
1350.5	371
1350.0	371
1349.5	368
1349.0	373
1348.5	387
1348.0	382
1347.5	362
1347.0	401
1346.5	395
1346.0	369
1345.5	382
1345.0	376
1344.5	365
1344.0	378
1343.5	397
1343.0	378
1342.5	367
1342.0	356
1341.5	367
1341.0	372
1340.5	391
1340.0	370
1339.5	354
1339.0	390
1338.5	404
1338.0	399
1337.5	353
1337.0	398
1336.5	363
1336.0	367
1335.5	370
1335.0	396
1334.5	371
1334.0	404
1333.5	362
1333.0	380
1332.5	373
1332.0	361
1331.5	340
1331.0	369
1330.5	372
1330.0	361
1329.5	359
1329.0	365
1328.5	388
1328.0	367
1327.5	372
1327.0	360
1326.5	342
1326.0	376
1325.5	365
1325.0	345
1324.5	370
1324.0	372
1323.5	357
1323.0	334
1322.5	349
1322.0	363
1321.5	343
1321.0	363
1320.5	358
1320.0	355
1319.5	367
1319.0	367
1318.5	348
1318.0	328
1317.5	351
1317.0	376
1316.5	355
1316.0	343
1315.5	342
1315.0	355
1314.5	395
1314.0	400
1313.5	382
1313.0	398
1312.5	351
1312.0	320
1311.5	335
1311.0	322
1310.5	357
1310.0	336
1309.5	367
1309.0	363
1308.5	362
1308.0	341
1307.5	349
1307.0	347
1306.5	346
1306.0	368
1305.5	369
1305.0	355
1304.5	353
1304.0	338
1303.5	361
1303.0	363
1302.5	343
1302.0	347
1301.5	360
1301.0	367
1300.5	374
1300.0	353
1299.5	353
1299.0	349
1298.5	363
1298.0	389
1297.5	343
1297.0	340
1296.5	370
1296.0	360
1295.5	352
1295.0	395
1294.5	381
1294.0	368
1293.5	344
1293.0	356
1292.5	365
1292.0	381
1291.5	347
1291.0	361
1290.5	360
1290.0	382
1289.5	358
1289.0	349
1288.5	368
1288.0	374
1287.5	343
1287.0	370
1286.5	402
1286.0	361
1285.5	359
1285.0	355
1284.5	347
1284.0	358
1283.5	363
1283.0	345
1282.5	378
1282.0	397
1281.5	376
1281.0	386
1280.5	358
1280.0	360
1279.5	349
1279.0	351
1278.5	339
1278.0	378
1277.5	362
1277.0	352
1276.5	360
1276.0	354
1275.5	383
1275.0	394
1274.5	351
1274.0	389
1273.5	383
1273.0	354
1272.5	370
1272.0	368
1271.5	378
1271.0	370
1270.5	378
1270.0	350
1269.5	367
1269.0	372
1268.5	362
1268.0	387
1267.5	382
1267.0	353
1266.5	348
1266.0	357
1265.5	379
1265.0	385
1264.5	352
1264.0	345
1263.5	354
1263.0	372
1262.5	367
1262.0	358
1261.5	362
1261.0	376
1260.5	345
1260.0	362
1259.5	369
1259.0	371
1258.5	407
1258.0	359
1257.5	373
1257.0	356
1256.5	362
1256.0	342
1255.5	373
1255.0	380
1254.5	402
1254.0	375
1253.5	380
1253.0	338
1252.5	347
1252.0	371
1251.5	352
1251.0	371
1250.5	384
1250.0	401
1249.5	383
1249.0	373
1248.5	373
1248.0	365
1247.5	361
1247.0	386
1246.5	383
1246.0	376
1245.5	374
1245.0	382
1244.5	372
1244.0	365
1243.5	365
1243.0	386
1242.5	371
1242.0	370
1241.5	381
1241.0	359
1240.5	377
1240.0	402
1239.5	376
1239.0	381
1238.5	387
1238.0	383
1237.5	379
1237.0	377
1236.5	403
1236.0	385
1235.5	403
1235.0	412
1234.5	371
1234.0	356
1233.5	360
1233.0	390
1232.5	364
1232.0	380
1231.5	387
1231.0	414
1230.5	394
1230.0	394
1229.5	389
1229.0	372
1228.5	375
1228.0	385
1227.5	366
1227.0	392
1226.5	410
1226.0	365
1225.5	369
1225.0	364
1224.5	384
1224.0	368
1223.5	373
1223.0	396
1222.5	405
1222.0	430
1221.5	381
1221.0	384
1220.5	396
1220.0	415
1219.5	407
1219.0	415
1218.5	375
1218.0	409
1217.5	413
1217.0	434
1216.5	387
1216.0	380
1215.5	384
1215.0	395
1214.5	373
1214.0	391
1213.5	388
1213.0	380
1212.5	383
1212.0	408
1211.5	401
1211.0	380
1210.5	394
1210.0	370
1209.5	369
1209.0	407
1208.5	397
1208.0	401
1207.5	420
1207.0	379
1206.5	408
1206.0	381
1205.5	397
1205.0	390
1204.5	377
1204.0	375
1203.5	429
1203.0	393
1202.5	396
1202.0	418
1201.5	386
1201.0	393
1200.5	408
1200.0	421
1199.5	400
1199.0	418
1198.5	424
1198.0	412
1197.5	428
1197.0	408
1196.5	425
1196.0	443
1195.5	422
1195.0	384
1194.5	386
1194.0	391
1193.5	384
1193.0	387
1192.5	404
1192.0	429
1191.5	416
1191.0	387
1190.5	404
1190.0	443
1189.5	413
1189.0	400
1188.5	410
1188.0	392
1187.5	393
1187.0	403
1186.5	426
1186.0	418
1185.5	389
1185.0	404
1184.5	415
1184.0	375
1183.5	407
1183.0	443
1182.5	405
1182.0	421
1181.5	426
1181.0	408
1180.5	413
1180.0	382
1179.5	400
1179.0	430
1178.5	376
1178.0	402
1177.5	402
1177.0	405
1176.5	423
1176.0	401
1175.5	456
1175.0	415
1174.5	419
1174.0	402
1173.5	423
1173.0	411
1172.5	432
1172.0	414
1171.5	392
1171.0	408
1170.5	429
1170.0	421
1169.5	407
1169.0	437
1168.5	406
1168.0	426
1167.5	415
1167.0	414
1166.5	417
1166.0	416
1165.5	418
1165.0	406
1164.5	426
1164.0	427
1163.5	410
1163.0	405
1162.5	413
1162.0	419
1161.5	399
1161.0	428
1160.5	425
1160.0	415
1159.5	418
1159.0	451
1158.5	424
1158.0	434
1157.5	459
1157.0	443
1156.5	428
1156.0	398
1155.5	406
1155.0	421
1154.5	373
1154.0	400
1153.5	442
1153.0	417
1152.5	426
1152.0	413
1151.5	434
1151.0	413
1150.5	421
1150.0	439
1149.5	409
1149.0	386
1148.5	386
1148.0	434
1147.5	446
1147.0	403
1146.5	429
1146.0	430
1145.5	443
1145.0	452
1144.5	448
1144.0	450
1143.5	410
1143.0	446
1142.5	447
1142.0	433
1141.5	431
1141.0	455
1140.5	415
1140.0	429
1139.5	400
1139.0	447
1138.5	444
1138.0	434
1137.5	428
1137.0	411
1136.5	450
1136.0	443
1135.5	436
1135.0	451
1134.5	459
1134.0	466
1133.5	441
1133.0	425
1132.5	430
1132.0	424
1131.5	438
1131.0	476
1130.5	439
1130.0	431
1129.5	464
1129.0	437
1128.5	409
1128.0	417
1127.5	465
1127.0	436
1126.5	444
1126.0	462
1125.5	418
1125.0	436
1124.5	457
1124.0	440
1123.5	471
1123.0	468
1122.5	435
1122.0	461
1121.5	428
1121.0	464
1120.5	492
1120.0	447
1119.5	425
1119.0	441
1118.5	462
1118.0	454
1117.5	478
1117.0	437
1116.5	450
1116.0	443
1115.5	449
1115.0	431
1114.5	473
1114.0	458
1113.5	443
1113.0	457
1112.5	485
1112.0	478
1111.5	474
1111.0	453
1110.5	476
1110.0	466
1109.5	478
1109.0	469
1108.5	483
1108.0	444
1107.5	481
1107.0	438
1106.5	441
1106.0	462
1105.5	498
1105.0	477
1104.5	478
1104.0	473
1103.5	483
1103.0	502
1102.5	469
1102.0	454
1101.5	466
1101.0	480
1100.5	477
1100.0	487
1099.5	507
1099.0	464
1098.5	479
1098.0	462
1097.5	466
1097.0	463
1096.5	494
1096.0	469
1095.5	487
1095.0	470
1094.5	469
1094.0	479
1093.5	456
1093.0	481
1092.5	480
1092.0	493
1091.5	475
1091.0	511
1090.5	484
1090.0	487
1089.5	508
1089.0	517
1088.5	485
1088.0	484
1087.5	498
1087.0	502
1086.5	467
1086.0	524
1085.5	496
1085.0	466
1084.5	470
1084.0	476
1083.5	516
1083.0	507
1082.5	508
1082.0	529
1081.5	504
1081.0	479
1080.5	483
1080.0	518
1079.5	487
1079.0	516
1078.5	481
1078.0	497
1077.5	500
1077.0	493
1076.5	494
1076.0	482
1075.5	499
1075.0	509
1074.5	440
1074.0	530
1073.5	513
1073.0	516
1072.5	512
1072.0	512
1071.5	504
1071.0	512
1070.5	488
1070.0	475
1069.5	502
1069.0	487
1068.5	510
1068.0	478
1067.5	513
1067.0	510
1066.5	483
1066.0	549
1065.5	511
1065.0	522
1064.5	530
1064.0	526
1063.5	514
1063.0	485
1062.5	476
1062.0	516
1061.5	480
1061.0	478
1060.5	502
1060.0	487
1059.5	484
1059.0	475
1058.5	533
1058.0	524
1057.5	526
1057.0	503
1056.5	556
1056.0	494
1055.5	532
1055.0	523
1054.5	505
1054.0	516
1053.5	534
1053.0	515
1052.5	500
1052.0	511
1051.5	508
1051.0	575
1050.5	541
1050.0	516
1049.5	523
1049.0	525
1048.5	513
1048.0	529
1047.5	566
1047.0	501
1046.5	529
1046.0	550
1045.5	530
1045.0	505
1044.5	528
1044.0	558
1043.5	535
1043.0	550
1042.5	555
1042.0	512
1041.5	520
1041.0	554
1040.5	548
1040.0	542
1039.5	535
1039.0	547
1038.5	538
1038.0	558
1037.5	554
1037.0	544
1036.5	570
1036.0	535
1035.5	556
1035.0	567
1034.5	497
1034.0	522
1033.5	546
1033.0	514
1032.5	501
1032.0	532
1031.5	563
1031.0	561
1030.5	528
1030.0	523
1029.5	584
1029.0	535
1028.5	537
1028.0	524
1027.5	577
1027.0	578
1026.5	573
1026.0	569
1025.5	626
1025.0	602
1024.5	600
1024.0	586
1023.5	568
1023.0	544
1022.5	532
1022.0	532
1021.5	580
1021.0	576
1020.5	566
1020.0	586
1019.5	595
1019.0	602
1018.5	607
1018.0	578
1017.5	600
1017.0	585
1016.5	600
1016.0	616
1015.5	605
1015.0	593
1014.5	566
1014.0	583
1013.5	574
1013.0	584
1012.5	566
1012.0	555
1011.5	594
1011.0	557
1010.5	603
1010.0	613
1009.5	587
1009.0	651
1008.5	585
1008.0	617
1007.5	633
1007.0	654
1006.5	651
1006.0	587
1005.5	631
1005.0	607
1004.5	645
1004.0	666
1003.5	665
1003.0	647
1002.5	674
1002.0	657
1001.5	655
1001.0	666
1000.5	647
1000.0	622
999.5	682
999.0	609
998.5	631
998.0	613
997.5	592
997.0	568
996.5	582
996.0	570
995.5	585
995.0	558
994.5	562
994.0	550
993.5	531
993.0	531
992.5	532
992.0	549
991.5	520
991.0	569
990.5	589
990.0	555
989.5	568
989.0	623
988.5	575
988.0	535
987.5	559
987.0	577
986.5	582
986.0	591
985.5	622
985.0	671
984.5	704
984.0	745
983.5	761
983.0	767
982.5	801
982.0	836
981.5	827
981.0	884
980.5	968
980.0	915
979.5	881
979.0	840
978.5	723
978.0	672
977.5	634
977.0	624
976.5	569
976.0	554
975.5	582
975.0	546
974.5	503
974.0	518
973.5	486
973.0	452
972.5	445
972.0	432
971.5	428
971.0	398
970.5	402
970.0	401
969.5	427
969.0	367
968.5	315
968.0	302
967.5	352
967.0	345
966.5	367
966.0	323
965.5	313
965.0	317
964.5	305
964.0	318
963.5	313
963.0	354
962.5	317
962.0	304
961.5	314
961.0	332
960.5	352
960.0	342
959.5	321
959.0	325
958.5	318
958.0	321
957.5	328
957.0	331
956.5	360
956.0	346
955.5	310
955.0	334
954.5	305
954.0	312
953.5	346
953.0	341
952.5	341
952.0	344
951.5	356
951.0	322
950.5	321
950.0	294
949.5	317
949.0	329
948.5	329
948.0	347
947.5	333
947.0	357
946.5	350
946.0	344
945.5	338
945.0	319
944.5	336
944.0	306
943.5	316
943.0	333
942.5	333
942.0	350
941.5	333
941.0	324
940.5	344
940.0	317
939.5	318
939.0	314
938.5	339
938.0	328
937.5	313
937.0	306
936.5	320
936.0	323
935.5	350
935.0	339
934.5	378
934.0	366
933.5	343
933.0	308
932.5	344
932.0	330
931.5	342
931.0	353
930.5	337
930.0	354
929.5	341
929.0	320
928.5	315
928.0	327
927.5	308
927.0	324
926.5	309
926.0	331
925.5	332
925.0	341
924.5	330
924.0	335
923.5	349
923.0	307
922.5	370
922.0	317
921.5	318
921.0	344
920.5	305
920.0	322
919.5	321
919.0	322
918.5	364
918.0	362
917.5	314
917.0	329
916.5	340
916.0	340
915.5	311
915.0	315
914.5	335
914.0	348
913.5	348
913.0	333
912.5	333
912.0	331
911.5	320
911.0	319
910.5	348
910.0	323
909.5	331
909.0	345
908.5	334
908.0	330
907.5	328
907.0	345
906.5	334
906.0	377
905.5	341
905.0	342
904.5	328
904.0	347
903.5	332
903.0	322
902.5	307
902.0	363
901.5	341
901.0	292
900.5	325
900.0	329
899.5	331
899.0	320
898.5	353
898.0	360
897.5	329
897.0	347
896.5	323
896.0	344
895.5	363
895.0	339
894.5	312
894.0	338
893.5	341
893.0	345
892.5	321
892.0	334
891.5	367
891.0	321
890.5	348
890.0	322
889.5	343
889.0	366
888.5	334
888.0	335
887.5	329
887.0	351
886.5	362
886.0	347
885.5	329
885.0	334
884.5	346
884.0	332
883.5	336
883.0	347
882.5	342
882.0	331
881.5	341
881.0	371
880.5	357
880.0	362
879.5	355
879.0	342
878.5	375
878.0	354
877.5	369
877.0	340
876.5	345
876.0	351
875.5	364
875.0	345
874.5	336
874.0	351
873.5	360
873.0	355
872.5	343
872.0	345
871.5	405
871.0	356
870.5	377
870.0	355
869.5	361
869.0	345
868.5	364
868.0	372
867.5	333
867.0	358
866.5	338
866.0	346
865.5	340
865.0	335
864.5	342
864.0	348
863.5	367
863.0	351
862.5	317
862.0	320
861.5	333
861.0	343
860.5	360
860.0	359
859.5	349
859.0	352
858.5	358
858.0	340
857.5	355
857.0	347
856.5	318
856.0	346
855.5	354
855.0	375
854.5	377
854.0	381
853.5	387
853.0	354
852.5	350
852.0	341
851.5	365
851.0	334
850.5	342
850.0	355
849.5	334
849.0	336
848.5	349
848.0	343
847.5	303
847.0	350
846.5	352
846.0	341
845.5	322
845.0	336
844.5	333
844.0	306
843.5	345
843.0	356
842.5	348
842.0	332
841.5	345
841.0	334
840.5	328
840.0	333
839.5	309
839.0	365
838.5	318
838.0	327
837.5	316
837.0	312
836.5	334
836.0	324
835.5	344
835.0	339
834.5	338
834.0	324
833.5	319
833.0	346
832.5	326
832.0	324
831.5	331
831.0	313
830.5	334
830.0	346
829.5	360
829.0	340
828.5	333
828.0	346
827.5	350
827.0	344
826.5	336
826.0	328
825.5	345
825.0	313
824.5	372
824.0	349
823.5	319
823.0	347
822.5	337
822.0	375
821.5	377
821.0	341
820.5	343
820.0	347
819.5	338
819.0	354
818.5	345
818.0	314
817.5	370
817.0	328
816.5	342
816.0	361
815.5	350
815.0	361
814.5	345
814.0	391
813.5	356
813.0	343
812.5	344
812.0	320
811.5	348
811.0	341
810.5	334
810.0	361
809.5	357
809.0	356
808.5	335
808.0	328
807.5	323
807.0	337
806.5	356
806.0	340
805.5	366
805.0	308
804.5	357
804.0	360
803.5	359
803.0	344
802.5	358
802.0	320
801.5	345
801.0	360
800.5	366
800.0	360
799.5	333
799.0	386
798.5	344
798.0	338
797.5	334
797.0	315
796.5	360
796.0	370
795.5	364
795.0	329
794.5	352
794.0	331
793.5	365
793.0	348
792.5	338
792.0	355
791.5	334
791.0	373
790.5	329
790.0	360
789.5	337
789.0	355
788.5	361
788.0	356
787.5	362
787.0	349
786.5	374
786.0	356
785.5	350
785.0	348
784.5	360
784.0	328
783.5	353
783.0	318
782.5	363
782.0	362
781.5	338
781.0	368
780.5	352
780.0	349
779.5	350
779.0	345
778.5	368
778.0	362
777.5	370
777.0	365
776.5	362
776.0	359
775.5	330
775.0	354
774.5	351
774.0	325
773.5	354
773.0	353
772.5	388
772.0	401
771.5	357
771.0	352
770.5	365
770.0	381
769.5	375
769.0	360
768.5	384
768.0	371
767.5	369
767.0	343
766.5	336
766.0	359
765.5	351
765.0	359
764.5	356
764.0	354
763.5	352
763.0	388
762.5	346
762.0	360
761.5	387
761.0	355
760.5	350
760.0	367
759.5	350
759.0	345
758.5	337
758.0	365
757.5	324
757.0	370
756.5	364
756.0	360
755.5	369
755.0	331
754.5	391
754.0	357
753.5	387
753.0	339
752.5	342
752.0	371
751.5	378
751.0	374
750.5	357
750.0	350
749.5	368
749.0	358
748.5	351
748.0	378
747.5	363
747.0	358
746.5	366
746.0	350
745.5	346
745.0	360
744.5	340
744.0	338
743.5	356
743.0	370
742.5	371
742.0	366
741.5	371
741.0	363
740.5	384
740.0	366
739.5	401
739.0	387
738.5	378
738.0	387
737.5	379
737.0	365
736.5	376
736.0	397
735.5	366
735.0	381
734.5	376
734.0	398
733.5	394
733.0	351
732.5	344
732.0	388
731.5	368
731.0	366
730.5	389
730.0	379
729.5	350
729.0	359
728.5	362
728.0	348
727.5	373
727.0	357
726.5	350
726.0	368
725.5	375
725.0	376
724.5	367
724.0	372
723.5	384
723.0	395
722.5	362
722.0	365
721.5	367
721.0	384
720.5	358
720.0	369
719.5	399
719.0	374
718.5	359
718.0	365
717.5	389
717.0	353
716.5	404
716.0	352
715.5	401
715.0	407
714.5	396
714.0	394
713.5	383
713.0	408
712.5	374
712.0	401
711.5	364
711.0	403
710.5	397
710.0	393
709.5	390
709.0	403
708.5	412
708.0	387
707.5	389
707.0	368
706.5	367
706.0	387
705.5	411
705.0	392
704.5	387
704.0	414
703.5	384
703.0	395
702.5	396
702.0	361
701.5	363
701.0	360
700.5	360
700.0	352
699.5	366
699.0	365
698.5	382
698.0	395
697.5	374
697.0	398
696.5	376
696.0	392
695.5	363
695.0	339
694.5	386
694.0	391
693.5	367
693.0	364
692.5	375
692.0	382
691.5	383
691.0	382
690.5	395
690.0	378
689.5	371
689.0	331
688.5	415
688.0	383
687.5	381
687.0	383
686.5	401
686.0	379
685.5	382
685.0	393
684.5	357
684.0	358
683.5	378
683.0	379
682.5	417
682.0	408
681.5	402
681.0	402
680.5	364
680.0	384
679.5	371
679.0	393
678.5	392
678.0	372
677.5	370
677.0	360
676.5	393
676.0	396
675.5	363
675.0	387
674.5	389
674.0	402
673.5	402
673.0	359
672.5	405
672.0	412
671.5	392
671.0	372
670.5	395
670.0	389
669.5	397
669.0	369
668.5	382
668.0	406
667.5	408
667.0	398
666.5	409
666.0	381
665.5	392
665.0	385
664.5	410
664.0	397
663.5	385
663.0	396
662.5	395
662.0	406
661.5	409
661.0	397
660.5	398
660.0	397
659.5	398
659.0	388
658.5	404
658.0	378
657.5	368
657.0	377
656.5	425
656.0	413
655.5	395
655.0	408
654.5	409
654.0	402
653.5	422
653.0	396
652.5	412
652.0	432
651.5	396
651.0	366
650.5	424
650.0	404
649.5	397
649.0	429
648.5	398
648.0	411
647.5	425
647.0	389
646.5	388
646.0	413
645.5	401
645.0	404
644.5	429
644.0	421
643.5	385
643.0	407
642.5	441
642.0	398
641.5	387
641.0	419
640.5	445
640.0	457
639.5	414
639.0	410
638.5	406
638.0	376
637.5	439
637.0	428
636.5	400
636.0	419
635.5	424
635.0	436
634.5	434
634.0	421
633.5	390
633.0	389
632.5	412
632.0	461
631.5	403
631.0	409
630.5	419
630.0	409
629.5	399
629.0	407
628.5	401
628.0	418
627.5	440
627.0	440
626.5	433
626.0	431
625.5	399
625.0	396
624.5	379
624.0	429
623.5	441
623.0	432
622.5	455
622.0	439
621.5	424
621.0	414
620.5	427
620.0	432
619.5	461
619.0	424
618.5	430
618.0	444
617.5	438
617.0	437
616.5	456
616.0	428
615.5	462
615.0	457
614.5	420
614.0	420
613.5	425
613.0	436
612.5	450
612.0	456
611.5	432
611.0	422
610.5	438
610.0	429
609.5	443
609.0	449
608.5	464
608.0	424
607.5	435
607.0	462
606.5	441
606.0	431
605.5	456
605.0	430
604.5	440
604.0	429
603.5	455
603.0	447
602.5	455
602.0	442
601.5	447
601.0	458
600.5	465
600.0	425
599.5	462
599.0	420
598.5	455
598.0	468
597.5	472
597.0	431
596.5	443
596.0	432
595.5	459
595.0	472
594.5	466
594.0	448
593.5	491
593.0	423
592.5	458
592.0	447
591.5	454
591.0	473
590.5	441
590.0	474
589.5	486
589.0	459
588.5	436
588.0	478
587.5	471
587.0	485
586.5	508
586.0	465
585.5	473
585.0	497
584.5	475
584.0	455
583.5	436
583.0	461
582.5	492
582.0	474
581.5	457
581.0	476
580.5	453
580.0	470
579.5	474
579.0	467
578.5	433
578.0	479
577.5	473
577.0	446
576.5	477
576.0	482
575.5	477
575.0	494
574.5	481
574.0	486
573.5	489
573.0	491
572.5	471
572.0	463
571.5	475
571.0	484
570.5	487
570.0	456
569.5	443
569.0	458
568.5	479
568.0	463
567.5	423
567.0	430
566.5	429
566.0	437
565.5	443
565.0	450
564.5	421
564.0	482
563.5	501
563.0	494
562.5	509
562.0	493
561.5	499
561.0	521
560.5	556
560.0	522
559.5	574
559.0	554
558.5	550
558.0	559
557.5	621
557.0	565
556.5	612
556.0	630
555.5	639
555.0	641
554.5	620
554.0	619
553.5	559
553.0	535
552.5	538
552.0	540
551.5	482
551.0	456
550.5	433
550.0	435
549.5	410
549.0	417
548.5	386
548.0	396
547.5	400
547.0	387
546.5	389
546.0	341
545.5	356
545.0	326
544.5	290
544.0	272
543.5	248
543.0	244
542.5	166
542.0	156
541.5	143
541.0	141
540.5	117
540.0	91
539.5	103
539.0	104
538.5	104
538.0	104
537.5	117
537.0	127
536.5	139
536.0	169
535.5	233
535.0	454
534.5	858
534.0	1665
533.5	2841
533.0	3935
532.5	4391
532.0	3922
531.5	2579
531.0	1252
530.5	534
530.0	257
529.5	157
529.0	129
528.5	118
528.0	113
527.5	103
527.0	103
526.5	97
526.0	113
525.5	87
525.0	89
524.5	109
524.0	92
523.5	93
523.0	86
522.5	87
522.0	107
521.5	88
521.0	100
520.5	91
520.0	94
519.5	96
519.0	100
518.5	83
518.0	86
517.5	94
517.0	73
516.5	104
516.0	99
515.5	87
515.0	77
514.5	92
514.0	84
513.5	89
513.0	88
512.5	90
512.0	74
511.5	82
511.0	76
510.5	80
510.0	88
509.5	80
509.0	83
508.5	90
508.0	94
507.5	93
507.0	88
506.5	72
506.0	88
505.5	92
505.0	80
504.5	65
504.0	75
503.5	84
503.0	84
502.5	104
502.0	89
501.5	92
501.0	89
500.5	89
500.0	97
499.5	99
499.0	104
498.5	94
498.0	93
497.5	69
497.0	89
496.5	83
496.0	83
495.5	98
495.0	100
494.5	93
494.0	93
493.5	86
493.0	79
492.5	91
492.0	87
491.5	83
491.0	102
490.5	77
490.0	89
489.5	96
489.0	106
488.5	93
488.0	77
487.5	82
487.0	86
486.5	97
486.0	81
485.5	91
485.0	87
484.5	88
484.0	95
483.5	107
483.0	93
482.5	96
482.0	84
481.5	87
481.0	98
480.5	96
480.0	89
479.5	86
479.0	98
478.5	77
478.0	74
477.5	85
477.0	92
476.5	78
476.0	85
475.5	93
475.0	89
474.5	83
474.0	81
473.5	95
473.0	68
472.5	85
472.0	90
471.5	94
471.0	102
470.5	85
470.0	87
469.5	79
469.0	84
468.5	98
468.0	89
467.5	93
467.0	93
466.5	75
466.0	86
465.5	82
465.0	86
464.5	89
464.0	96
463.5	102
463.0	87
462.5	92
462.0	91
461.5	82
461.0	75
460.5	102
460.0	90
459.5	86
459.0	92
458.5	89
458.0	89
457.5	85
457.0	79
456.5	81
456.0	89
455.5	98
455.0	83
454.5	82
454.0	103
453.5	84
453.0	84
452.5	100
452.0	95
451.5	84
451.0	83
450.5	73
450.0	86
449.5	80
449.0	105
448.5	87
448.0	71
447.5	78
447.0	84
446.5	93
446.0	84
445.5	114
445.0	85
444.5	104
444.0	91
443.5	101
443.0	78
442.5	89
442.0	96
441.5	85
441.0	111
440.5	107
440.0	89
439.5	91
439.0	81
438.5	84
438.0	88
437.5	87
437.0	85
436.5	76
436.0	90
435.5	92
435.0	101
434.5	82
434.0	82
433.5	90
433.0	99
432.5	87
432.0	101
431.5	98
431.0	86
430.5	77
430.0	98
429.5	85
429.0	100
428.5	102
428.0	97
427.5	73
427.0	96
426.5	97
426.0	85
425.5	90
425.0	96
424.5	99
424.0	87
423.5	95
423.0	91
422.5	93
422.0	82
421.5	89
421.0	97
420.5	91
420.0	98
419.5	100
419.0	93
418.5	105
418.0	87
417.5	93
417.0	82
416.5	94
416.0	75
415.5	99
415.0	104
414.5	90
414.0	85
413.5	87
413.0	93
412.5	84
412.0	79
411.5	98
411.0	86
410.5	94
410.0	97
409.5	100
409.0	95
408.5	92
408.0	101
407.5	92
407.0	94
406.5	101
406.0	92
405.5	94
405.0	68
404.5	96
404.0	102
403.5	90
403.0	81
402.5	108
402.0	96
401.5	90
401.0	85
400.5	101
400.0	94
399.5	79
399.0	99
398.5	78
398.0	87
397.5	87
397.0	112
396.5	93
396.0	93
395.5	100
395.0	70
394.5	79
394.0	77
393.5	94
393.0	94
392.5	99
392.0	91
391.5	81
391.0	95
390.5	93
390.0	90
389.5	98
389.0	107
388.5	104
388.0	82
387.5	88
387.0	98
386.5	90
386.0	93
385.5	93
385.0	84
384.5	94
384.0	93
383.5	92
383.0	92
382.5	96
382.0	99
381.5	102
381.0	91
380.5	96
380.0	93
379.5	101
379.0	91
378.5	95
378.0	100
377.5	81
377.0	102
376.5	83
376.0	90
375.5	96
375.0	102
374.5	88
374.0	87
373.5	115
373.0	105
372.5	99
372.0	88
371.5	98
371.0	87
370.5	96
370.0	88
369.5	80
369.0	95
368.5	99
368.0	100
367.5	104
367.0	89
366.5	94
366.0	92
365.5	86
365.0	117
364.5	94
364.0	98
363.5	101
363.0	95
362.5	96
362.0	89
361.5	101
361.0	84
360.5	91
360.0	99
359.5	96
359.0	99
358.5	94
358.0	104
357.5	101
357.0	103
356.5	92
356.0	79
355.5	90
355.0	76
354.5	82
354.0	97
353.5	95
353.0	98
352.5	80
352.0	85
351.5	95
351.0	98
350.5	83
350.0	93
349.5	100
349.0	82
348.5	90
348.0	83
347.5	87
347.0	89
346.5	99
346.0	92
345.5	101
345.0	100
344.5	92
344.0	92
343.5	74
343.0	84
342.5	94
342.0	85
341.5	105
341.0	105
340.5	94
340.0	90
339.5	83
339.0	95
338.5	117
338.0	96
337.5	95
337.0	111
336.5	96
336.0	92
335.5	98
335.0	98
334.5	100
334.0	94
333.5	95
333.0	94
332.5	93
332.0	87
331.5	99
331.0	95
330.5	114
330.0	94
329.5	114
329.0	93
328.5	81
328.0	99
327.5	90
327.0	87
