Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
1	true	Original	1400.0	0.0	-0.5	1	0.200	CAE	50.00	High	false		7 Channel Acquisition			1
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
1400.0	359
1399.5	352
1399.0	364
1398.5	392
1398.0	354
1397.5	348
1397.0	364
1396.5	364
1396.0	358
1395.5	345
1395.0	360
1394.5	365
1394.0	351
1393.5	340
1393.0	347
1392.5	363
1392.0	370
1391.5	368
1391.0	343
1390.5	316
1390.0	330
1389.5	329
1389.0	362
1388.5	331
1388.0	353
1387.5	354
1387.0	314
1386.5	344
1386.0	327
1385.5	333
1385.0	343
1384.5	346
1384.0	342
1383.5	332
1383.0	332
1382.5	339
1382.0	360
1381.5	337
1381.0	364
1380.5	327
1380.0	313
1379.5	321
1379.0	308
1378.5	321
1378.0	328
1377.5	353
1377.0	311
1376.5	326
1376.0	318
1375.5	334
1375.0	281
1374.5	318
1374.0	316
1373.5	311
1373.0	338
1372.5	335
1372.0	316
1371.5	319
1371.0	317
1370.5	306
1370.0	331
1369.5	314
1369.0	299
1368.5	310
1368.0	296
1367.5	329
1367.0	307
1366.5	300
1366.0	275
1365.5	290
1365.0	305
1364.5	282
1364.0	272
1363.5	280
1363.0	279
1362.5	283
1362.0	307
1361.5	282
1361.0	301
1360.5	303
1360.0	303
1359.5	286
1359.0	288
1358.5	304
1358.0	286
1357.5	266
1357.0	300
1356.5	291
1356.0	298
1355.5	293
1355.0	312
1354.5	302
1354.0	288
1353.5	297
1353.0	271
1352.5	258
1352.0	299
1351.5	303
1351.0	283
1350.5	270
1350.0	279
1349.5	270
1349.0	247
1348.5	295
1348.0	297
1347.5	279
1347.0	286
1346.5	317
1346.0	273
1345.5	277
1345.0	279
1344.5	251
1344.0	279
1343.5	284
1343.0	283
1342.5	301
1342.0	290
1341.5	281
1341.0	279
1340.5	270
1340.0	289
1339.5	280
1339.0	263
1338.5	310
1338.0	282
1337.5	282
1337.0	291
1336.5	278
1336.0	262
1335.5	265
1335.0	269
1334.5	280
1334.0	249
1333.5	281
1333.0	285
1332.5	280
1332.0	271
1331.5	312
1331.0	281
1330.5	255
1330.0	277
1329.5	266
1329.0	273
1328.5	280
1328.0	262
1327.5	277
1327.0	297
1326.5	273
1326.0	269
1325.5	262
1325.0	278
1324.5	273
1324.0	282
1323.5	271
1323.0	286
1322.5	270
1322.0	283
1321.5	262
1321.0	272
1320.5	280
1320.0	287
1319.5	304
1319.0	279
1318.5	279
1318.0	269
1317.5	290
1317.0	282
1316.5	278
1316.0	284
1315.5	285
1315.0	256
1314.5	249
1314.0	287
1313.5	274
1313.0	268
1312.5	288
1312.0	258
1311.5	260
1311.0	249
1310.5	273
1310.0	277
1309.5	280
1309.0	303
1308.5	278
1308.0	257
1307.5	259
1307.0	265
1306.5	296
1306.0	292
1305.5	284
1305.0	273
1304.5	278
1304.0	266
1303.5	268
1303.0	303
1302.5	274
1302.0	281
1301.5	279
1301.0	293
1300.5	295
1300.0	275
1299.5	272
1299.0	268
1298.5	306
1298.0	294
1297.5	280
1297.0	280
1296.5	271
1296.0	271
1295.5	267
1295.0	244
1294.5	259
1294.0	280
1293.5	294
1293.0	284
1292.5	261
1292.0	293
1291.5	300
1291.0	300
1290.5	280
1290.0	246
1289.5	266
1289.0	284
1288.5	302
1288.0	264
1287.5	263
1287.0	281
1286.5	285
1286.0	277
1285.5	285
1285.0	268
1284.5	282
1284.0	275
1283.5	283
1283.0	269
1282.5	289
1282.0	275
1281.5	290
1281.0	287
1280.5	282
1280.0	267
1279.5	260
1279.0	264
1278.5	251
1278.0	280
1277.5	303
1277.0	278
1276.5	272
1276.0	270
1275.5	272
1275.0	304
1274.5	298
1274.0	266
1273.5	275
1273.0	255
1272.5	264
1272.0	290
1271.5	280
1271.0	258
1270.5	267
1270.0	278
1269.5	259
1269.0	286
1268.5	285
1268.0	281
1267.5	263
1267.0	286
1266.5	285
1266.0	246
1265.5	292
1265.0	280
1264.5	293
1264.0	277
1263.5	292
1263.0	305
1262.5	278
1262.0	304
1261.5	280
1261.0	310
1260.5	288
1260.0	281
1259.5	264
1259.0	309
1258.5	294
1258.0	287
1257.5	292
1257.0	281
1256.5	287
1256.0	270
1255.5	281
1255.0	239
1254.5	291
1254.0	277
1253.5	286
1253.0	261
1252.5	274
1252.0	258
1251.5	299
1251.0	279
1250.5	274
1250.0	300
1249.5	315
1249.0	297
1248.5	264
1248.0	317
1247.5	321
1247.0	308
1246.5	308
1246.0	290
1245.5	285
1245.0	293
1244.5	270
1244.0	296
1243.5	306
1243.0	290
1242.5	292
1242.0	275
1241.5	282
1241.0	303
1240.5	307
1240.0	291
1239.5	292
1239.0	295
1238.5	304
1238.0	292
1237.5	306
1237.0	276
1236.5	302
1236.0	278
1235.5	279
1235.0	324
1234.5	286
1234.0	278
1233.5	291
1233.0	286
1232.5	298
1232.0	290
1231.5	278
1231.0	307
1230.5	330
1230.0	309
1229.5	310
1229.0	318
1228.5	327
1228.0	292
1227.5	311
1227.0	293
1226.5	314
1226.0	287
1225.5	290
1225.0	320
1224.5	312
1224.0	325
1223.5	327
1223.0	293
1222.5	310
1222.0	321
1221.5	309
1221.0	291
1220.5	322
1220.0	297
1219.5	308
1219.0	295
1218.5	297
1218.0	266
1217.5	286
1217.0	334
1216.5	294
1216.0	306
1215.5	289
1215.0	273
1214.5	313
1214.0	289
1213.5	293
1213.0	296
1212.5	303
1212.0	306
1211.5	294
1211.0	261
1210.5	310
1210.0	289
1209.5	287
1209.0	291
