Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
1	true	Original	1400.0	0.0	-0.5	1	0.200	CAE	50.00	High	false		7 Channel Acquisition			1
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
1400.0	650
1399.5	659
1399.0	668
1398.5	603
1398.0	642
1397.5	655
1397.0	629
1396.5	607
1396.0	605
1395.5	617
1395.0	588
1394.5	620
1394.0	599
1393.5	636
1393.0	615
1392.5	587
1392.0	573
1391.5	581
1391.0	613
1390.5	570
1390.0	632
1389.5	631
1389.0	612
1388.5	588
1388.0	580
1387.5	542
1387.0	573
1386.5	593
1386.0	552
1385.5	559
1385.0	540
1384.5	548
1384.0	580
1383.5	555
1383.0	552
1382.5	531
1382.0	504
1381.5	513
1381.0	533
1380.5	495
1380.0	476
1379.5	483
1379.0	517
1378.5	486
1378.0	498
1377.5	489
1377.0	504
1376.5	480
1376.0	483
1375.5	479
1375.0	457
1374.5	473
1374.0	490
1373.5	470
1373.0	469
1372.5	438
1372.0	461
1371.5	477
1371.0	445
1370.5	472
1370.0	437
1369.5	468
1369.0	478
1368.5	463
1368.0	469
1367.5	456
1367.0	437
1366.5	440
1366.0	439
1365.5	428
1365.0	466
1364.5	490
1364.0	455
1363.5	431
1363.0	453
1362.5	443
1362.0	444
1361.5	457
1361.0	471
1360.5	446
1360.0	438
1359.5	414
1359.0	473
1358.5	453
1358.0	465
1357.5	441
1357.0	428
1356.5	459
1356.0	417
1355.5	407
1355.0	403
1354.5	445
1354.0	446
1353.5	398
1353.0	453
1352.5	418
1352.0	410
1351.5	443
1351.0	403
1350.5	417
1350.0	412
1349.5	400
1349.0	423
1348.5	409
1348.0	431
1347.5	383
1347.0	402
1346.5	403
1346.0	434
1345.5	419
1345.0	418
1344.5	398
1344.0	376
1343.5	383
1343.0	398
1342.5	407
1342.0	411
1341.5	414
1341.0	374
1340.5	408
1340.0	406
1339.5	385
1339.0	401
1338.5	394
1338.0	361
1337.5	368
1337.0	357
1336.5	399
1336.0	392
1335.5	406
1335.0	397
1334.5	376
1334.0	387
1333.5	374
1333.0	400
1332.5	394
1332.0	391
1331.5	406
1331.0	368
1330.5	378
1330.0	411
1329.5	396
1329.0	388
1328.5	392
1328.0	362
1327.5	374
1327.0	384
1326.5	400
1326.0	383
1325.5	366
1325.0	415
1324.5	401
1324.0	430
1323.5	401
1323.0	360
1322.5	381
1322.0	379
1321.5	367
1321.0	362
1320.5	386
1320.0	393
1319.5	384
1319.0	364
1318.5	399
1318.0	366
1317.5	392
1317.0	371
1316.5	373
1316.0	371
1315.5	364
1315.0	407
1314.5	365
1314.0	389
1313.5	368
1313.0	355
1312.5	360
1312.0	387
1311.5	375
1311.0	371
1310.5	354
1310.0	369
1309.5	352
1309.0	385
1308.5	392
1308.0	379
1307.5	406
1307.0	416
1306.5	370
1306.0	408
1305.5	400
1305.0	404
1304.5	394
1304.0	388
1303.5	380
1303.0	393
1302.5	381
1302.0	387
1301.5	389
1301.0	366
1300.5	351
1300.0	356
1299.5	355
1299.0	348
1298.5	343
1298.0	347
1297.5	359
1297.0	376
1296.5	393
1296.0	384
1295.5	365
1295.0	347
1294.5	339
1294.0	376
1293.5	346
1293.0	360
1292.5	349
1292.0	382
1291.5	368
1291.0	355
1290.5	366
1290.0	361
1289.5	370
1289.0	348
1288.5	395
1288.0	364
1287.5	343
1287.0	380
1286.5	379
1286.0	393
1285.5	372
1285.0	326
1284.5	358
1284.0	349
1283.5	381
1283.0	408
1282.5	375
1282.0	363
1281.5	382
1281.0	388
1280.5	367
1280.0	392
1279.5	379
1279.0	391
1278.5	368
1278.0	369
1277.5	370
1277.0	366
1276.5	366
1276.0	360
1275.5	393
1275.0	377
1274.5	378
1274.0	382
1273.5	380
1273.0	376
1272.5	380
1272.0	390
