Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
1	true	Original	1400.0	0.0	-0.5	1	0.200	CAE	50.00	High	false		7 Channel Acquisition			1
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
1400.0	538
1399.5	515
1399.0	470
1398.5	516
1398.0	524
1397.5	510
1397.0	500
1396.5	487
1396.0	521
1395.5	515
1395.0	519
1394.5	484
1394.0	491
1393.5	492
1393.0	491
1392.5	493
1392.0	454
1391.5	467
1391.0	480
1390.5	481
1390.0	487
1389.5	432
1389.0	487
1388.5	463
1388.0	455
1387.5	479
1387.0	459
1386.5	460
1386.0	471
1385.5	481
1385.0	476
1384.5	460
1384.0	457
1383.5	464
1383.0	436
1382.5	449
1382.0	409
1381.5	440
1381.0	442
1380.5	440
1380.0	440
1379.5	422
1379.0	476
1378.5	442
1378.0	450
1377.5	443
1377.0	438
1376.5	439
1376.0	430
1375.5	435
1375.0	437
1374.5	421
1374.0	392
1373.5	387
1373.0	421
1372.5	419
1372.0	415
1371.5	411
1371.0	437
1370.5	433
1370.0	451
1369.5	411
1369.0	377
1368.5	398
1368.0	394
1367.5	422
1367.0	399
1366.5	411
1366.0	420
1365.5	388
1365.0	408
1364.5	427
1364.0	427
1363.5	424
1363.0	441
1362.5	428
1362.0	414
1361.5	420
1361.0	403
1360.5	411
1360.0	383
1359.5	410
1359.0	414
1358.5	431
1358.0	426
1357.5	384
1357.0	406
1356.5	421
1356.0	401
1355.5	427
1355.0	372
1354.5	404
1354.0	421
1353.5	420
1353.0	414
1352.5	393
1352.0	377
1351.5	402
1351.0	399
1350.5	405
1350.0	386
1349.5	365
1349.0	381
1348.5	409
1348.0	409
1347.5	402
1347.0	376
1346.5	400
1346.0	412
1345.5	412
1345.0	402
1344.5	406
1344.0	406
1343.5	394
1343.0	362
1342.5	404
1342.0	384
1341.5	388
1341.0	381
1340.5	374
1340.0	400
1339.5	403
1339.0	361
1338.5	356
1338.0	366
1337.5	359
1337.0	383
1336.5	372
1336.0	399
1335.5	394
1335.0	370
1334.5	386
1334.0	439
1333.5	359
1333.0	375
1332.5	365
1332.0	373
1331.5	383
1331.0	408
1330.5	378
1330.0	390
1329.5	380
1329.0	342
1328.5	356
1328.0	374
1327.5	417
1327.0	374
1326.5	389
1326.0	401
1325.5	386
1325.0	411
1324.5	379
1324.0	376
1323.5	373
1323.0	379
1322.5	387
1322.0	397
1321.5	377
1321.0	368
1320.5	357
1320.0	337
1319.5	396
1319.0	363
1318.5	395
1318.0	372
1317.5	361
1317.0	397
1316.5	358
1316.0	365
1315.5	364
1315.0	403
1314.5	407
1314.0	358
1313.5	376
1313.0	369
1312.5	384
1312.0	394
1311.5	412
1311.0	408
1310.5	372
1310.0	363
1309.5	364
1309.0	378
1308.5	375
1308.0	392
1307.5	372
1307.0	365
1306.5	375
1306.0	359
1305.5	368
1305.0	371
1304.5	348
1304.0	380
1303.5	382
1303.0	379
1302.5	384
1302.0	383
1301.5	376
1301.0	375
1300.5	387
1300.0	395
1299.5	397
1299.0	384
1298.5	343
1298.0	386
1297.5	377
1297.0	364
1296.5	353
1296.0	383
1295.5	411
1295.0	385
1294.5	386
1294.0	365
1293.5	389
1293.0	393
1292.5	377
1292.0	343
1291.5	385
1291.0	413
1290.5	370
1290.0	390
1289.5	397
1289.0	389
1288.5	369
1288.0	373
1287.5	368
1287.0	353
1286.5	348
1286.0	352
1285.5	391
1285.0	393
1284.5	394
1284.0	385
1283.5	419
1283.0	390
1282.5	378
1282.0	365
1281.5	392
1281.0	369
1280.5	387
1280.0	385
1279.5	390
1279.0	368
1278.5	386
1278.0	362
1277.5	387
1277.0	424
1276.5	366
1276.0	372
1275.5	375
1275.0	362
1274.5	392
1274.0	412
1273.5	380
1273.0	370
1272.5	403
1272.0	399
1271.5	400
1271.0	396
1270.5	391
1270.0	398
1269.5	386
1269.0	384
1268.5	404
1268.0	417
1267.5	409
1267.0	394
1266.5	353
1266.0	380
1265.5	394
1265.0	396
1264.5	398
1264.0	371
1263.5	380
1263.0	374
1262.5	388
1262.0	395
1261.5	419
1261.0	410
1260.5	392
1260.0	387
1259.5	387
1259.0	392
1258.5	383
1258.0	397
1257.5	381
1257.0	377
1256.5	358
1256.0	381
1255.5	410
1255.0	385
1254.5	359
1254.0	397
1253.5	372
1253.0	403
1252.5	372
1252.0	419
1251.5	390
1251.0	375
1250.5	360
1250.0	408
1249.5	391
1249.0	417
1248.5	413
1248.0	389
1247.5	393
1247.0	367
1246.5	411
1246.0	421
1245.5	400
1245.0	398
1244.5	386
1244.0	385
1243.5	385
1243.0	388
1242.5	391
1242.0	384
1241.5	393
1241.0	415
1240.5	415
1240.0	400
1239.5	406
1239.0	399
1238.5	408
1238.0	405
1237.5	373
1237.0	434
1236.5	388
1236.0	364
1235.5	415
1235.0	393
1234.5	366
1234.0	398
1233.5	416
1233.0	440
1232.5	411
1232.0	402
1231.5	388
1231.0	422
1230.5	412
1230.0	430
1229.5	405
1229.0	422
1228.5	403
1228.0	424
1227.5	435
1227.0	442
1226.5	426
1226.0	439
1225.5	435
1225.0	426
1224.5	404
1224.0	404
1223.5	443
1223.0	393
1222.5	385
1222.0	404
1221.5	403
1221.0	433
1220.5	408
1220.0	415
1219.5	421
1219.0	414
1218.5	449
1218.0	436
1217.5	429
1217.0	414
1216.5	402
1216.0	384
1215.5	431
1215.0	416
1214.5	421
1214.0	410
1213.5	439
1213.0	409
1212.5	417
1212.0	401
1211.5	406
1211.0	431
1210.5	458
1210.0	420
1209.5	429
1209.0	443
1208.5	398
1208.0	387
1207.5	387
1207.0	396
1206.5	403
1206.0	404
1205.5	401
1205.0	406
1204.5	396
1204.0	420
1203.5	391
1203.0	394
1202.5	428
1202.0	439
1201.5	422
1201.0	430
1200.5	415
1200.0	413
1199.5	384
1199.0	387
1198.5	447
1198.0	420
1197.5	451
1197.0	393
1196.5	416
1196.0	407
1195.5	419
1195.0	438
1194.5	404
1194.0	455
1193.5	404
1193.0	437
1192.5	424
1192.0	394
1191.5	418
1191.0	447
1190.5	397
1190.0	431
1189.5	407
1189.0	413
1188.5	433
1188.0	403
1187.5	430
1187.0	410
1186.5	442
1186.0	410
1185.5	445
1185.0	438
1184.5	400
1184.0	403
1183.5	446
1183.0	429
1182.5	435
1182.0	431
1181.5	443
1181.0	447
1180.5	465
1180.0	426
1179.5	461
1179.0	458
1178.5	441
1178.0	431
1177.5	437
1177.0	452
1176.5	415
1176.0	456
1175.5	443
1175.0	425
1174.5	436
1174.0	430
1173.5	428
1173.0	410
1172.5	402
1172.0	443
1171.5	416
1171.0	449
1170.5	452
1170.0	467
1169.5	440
1169.0	430
1168.5	437
1168.0	442
1167.5	466
1167.0	487
1166.5	437
1166.0	444
1165.5	468
1165.0	454
1164.5	446
1164.0	423
1163.5	440
1163.0	441
1162.5	446
1162.0	494
1161.5	475
1161.0	486
1160.5	453
1160.0	433
1159.5	446
1159.0	468
1158.5	466
1158.0	434
1157.5	448
1157.0	459
1156.5	469
1156.0	475
1155.5	474
1155.0	420
1154.5	463
1154.0	468
1153.5	462
1153.0	483
1152.5	446
1152.0	460
1151.5	467
1151.0	449
1150.5	462
1150.0	495
1149.5	443
1149.0	457
1148.5	475
1148.0	436
1147.5	475
1147.0	488
1146.5	470
1146.0	445
1145.5	449
1145.0	450
1144.5	450
1144.0	489
1143.5	498
1143.0	455
1142.5	463
1142.0	459
1141.5	492
1141.0	470
1140.5	460
1140.0	453
1139.5	459
1139.0	484
1138.5	446
1138.0	419
1137.5	463
1137.0	463
1136.5	472
1136.0	476
1135.5	474
1135.0	499
1134.5	467
1134.0	460
1133.5	463
1133.0	407
1132.5	443
1132.0	489
1131.5	492
1131.0	467
1130.5	479
1130.0	485
1129.5	458
1129.0	448
1128.5	482
1128.0	489
1127.5	462
1127.0	498
1126.5	504
1126.0	478
1125.5	510
1125.0	484
1124.5	482
1124.0	484
1123.5	489
1123.0	462
1122.5	476
1122.0	489
1121.5	505
1121.0	505
1120.5	537
1120.0	471
1119.5	484
1119.0	495
1118.5	510
1118.0	505
1117.5	471
1117.0	541
1116.5	461
1116.0	472
1115.5	502
1115.0	492
1114.5	475
1114.0	471
1113.5	500
1113.0	549
1112.5	495
1112.0	501
1111.5	516
1111.0	462
1110.5	497
1110.0	440
1109.5	487
1109.0	494
1108.5	497
1108.0	506
1107.5	481
1107.0	474
1106.5	509
1106.0	486
1105.5	508
1105.0	545
1104.5	483
1104.0	484
1103.5	483
1103.0	511
