时间(分钟),信号值(微伏),温度,信号值(微伏),
0,-487,17.761298,-5974,
0.0027,-487,17.761298,-5974,
0.0053,-487,17.761298,-5974,
0.008,-486,17.785244,-5973,
0.0107,-486,17.785244,-5972,
0.0133,-486,17.785244,-5972,
0.016,-485,17.80919,-5972,
0.0187,-485,17.80919,-5972,
0.0213,-484,17.833136,-5972,
0.024,-484,17.833136,-5971,
0.0267,-484,17.833136,-5971,
0.0293,-483,17.857082,-5971,
0.032,-483,17.857082,-5971,
0.0347,-482,17.881028,-5970,
0.0373,-482,17.881028,-5971,
0.04,-481,17.904974,-5970,
0.0427,-481,17.904974,-5970,
0.0453,-480,17.92892,-5969,
0.048,-479,17.952866,-5969,
0.0507,-479,17.952866,-5969,
0.0533,-479,17.952866,-5970,
0.056,-478,17.976812,-5969,
0.0587,-477,18.000758,-5969,
0.0613,-476,18.024704,-5968,
0.064,-476,18.024704,-5968,
0.0667,-475,18.04865,-5967,
0.0693,-475,18.04865,-5967,
0.072,-475,18.04865,-5967,
0.0747,-474,18.072596,-5967,
0.0773,-473,18.096542,-5967,
0.08,-473,18.096542,-5966,
0.0827,-473,18.096542,-5966,
0.0853,-472,18.120488,-5966,
0.088,-471,18.144434,-5966,
0.0907,-470,18.16838,-5966,
0.0933,-469,18.192326,-5965,
0.096,-468,18.216272,-5964,
0.0987,-468,18.216272,-5965,
0.1013,-467,18.240218,-5964,
0.104,-466,18.264164,-5964,
0.1067,-465,18.28811,-5964,
0.1093,-464,18.312056,-5965,
0.112,-464,18.312056,-5965,
0.1147,-462,18.359948,-5964,
0.1173,-461,18.383894,-5965,
0.12,-461,18.383894,-5965,
0.1227,-460,18.40784,-5965,
0.1253,-459,18.431786,-5964,
0.128,-457,18.479678,-5964,
0.1307,-456,18.503624,-5964,
0.1333,-456,18.503624,-5964,
0.136,-455,18.52757,-5964,
0.1387,-453,18.575462,-5963,
0.1413,-452,18.599408,-5963,
0.144,-451,18.623354,-5963,
0.1467,-450,18.6473,-5963,
0.1493,-449,18.671246,-5963,
0.152,-448,18.695192,-5963,
0.1547,-446,18.743084,-5963,
0.1573,-446,18.743084,-5963,
0.16,-445,18.76703,-5963,
0.1627,-444,18.790976,-5963,
0.1653,-442,18.838868,-5963,
0.168,-441,18.862814,-5963,
0.1707,-440,18.88676,-5963,
0.1733,-439,18.910706,-5963,
0.176,-438,18.934652,-5963,
0.1787,-436,18.982544,-5962,
0.1813,-435,19.00649,-5963,
0.184,-433,19.054382,-5962,
0.1867,-432,19.078328,-5963,
0.1893,-431,19.102274,-5962,
0.192,-429,19.150166,-5962,
0.1947,-428,19.174112,-5962,
0.1973,-427,19.198058,-5963,
0.2,-426,19.222004,-5963,
0.2027,-424,19.269896,-5963,
0.2053,-422,19.317788,-5964,
0.208,-421,19.341734,-5964,
0.2107,-420,19.36568,-5963,
0.2133,-419,19.389626,-5963,
0.216,-417,19.437518,-5962,
0.2187,-415,19.48541,-5962,
0.2213,-413,19.533302,-5962,
0.224,-412,19.557248,-5962,
0.2267,-411,19.581194,-5962,
0.2293,-409,19.629086,-5961,
0.232,-407,19.676978,-5961,
0.2347,-406,19.700924,-5961,
0.2373,-404,19.748816,-5961,
0.24,-403,19.772762,-5960,
0.2427,-402,19.796708,-5960,
0.2453,-400,19.8446,-5960,
0.248,-398,19.892492,-5961,
0.2507,-396,19.940384,-5960,
0.2533,-395,19.96433,-5960,
0.256,-393,20.012222,-5960,
0.2587,-390,20.08406,-5960,
0.2613,-389,20.108006,-5960,
0.264,-387,20.155898,-5961,
0.2667,-386,20.179844,-5961,
0.2693,-384,20.227736,-5960,
0.272,-382,20.275628,-5960,
0.2747,-380,20.32352,-5961,
0.2773,-379,20.347466,-5960,
0.28,-377,20.395358,-5959,
0.2827,-376,20.419304,-5959,
0.2853,-372,20.515088,-5959,
0.288,-371,20.539034,-5959,
0.2907,-369,20.586926,-5959,
0.2933,-368,20.610872,-5959,
0.296,-366,20.658764,-5960,
0.2987,-363,20.730602,-5961,
0.3013,-361,20.778494,-5961,
0.304,-360,20.80244,-5959,
0.3067,-358,20.850332,-5958,
0.3093,-356,20.898224,-5958,
0.312,-353,20.970062,-5958,
0.3147,-351,21.017954,-5958,
0.3173,-349,21.065846,-5958,
0.32,-348,21.089792,-5958,
0.3227,-346,21.137684,-5957,
0.3253,-343,21.209522,-5957,
0.328,-341,21.257414,-5958,
0.3307,-339,21.305306,-5958,
0.3333,-338,21.329252,-5958,
0.336,-336,21.377144,-5958,
0.3387,-332,21.472928,-5958,
0.3413,-330,21.52082,-5958,
0.344,-329,21.544766,-5958,
0.3467,-327,21.592658,-5958,
0.3493,-325,21.64055,-5958,
0.352,-321,21.736334,-5958,
0.3547,-319,21.784226,-5958,
0.3573,-318,21.808172,-5959,
0.36,-316,21.856064,-5959,
0.3627,-314,21.903956,-5958,
0.3653,-310,21.99974,-5958,
0.368,-309,22.023686,-5960,
0.3707,-307,22.071578,-5959,
0.3733,-304,22.143416,-5960,
0.376,-303,22.167362,-5961,
0.3787,-299,22.263146,-5961,
0.3813,-297,22.311038,-5961,
0.384,-295,22.35893,-5961,
0.3867,-293,22.406822,-5961,
0.3893,-291,22.454714,-5961,
0.392,-287,22.550498,-5961,
0.3947,-285,22.59839,-5962,
0.3973,-283,22.646282,-5962,
0.4,-281,22.694174,-5961,
0.4027,-280,22.71812,-5962,
0.4053,-275,22.83785,-5963,
0.408,-273,22.885742,-5964,
0.4107,-271,22.933634,-5963,
0.4133,-269,22.981526,-5963,
0.416,-267,23.029418,-5963,
0.4187,-263,23.125202,-5964,
0.4213,-261,23.173094,-5965,
0.424,-259,23.220986,-5965,
0.4267,-257,23.268878,-5966,
0.4293,-255,23.31677,-5966,
0.432,-251,23.412554,-5966,
0.4347,-249,23.460446,-5968,
0.4373,-247,23.508338,-5968,
0.44,-244,23.580176,-5968,
0.4427,-242,23.628068,-5968,
0.4453,-238,23.723852,-5969,
0.448,-236,23.771744,-5969,
0.4507,-234,23.819636,-5969,
0.4533,-232,23.867528,-5970,
0.456,-230,23.91542,-5970,
0.4587,-226,24.011204,-5970,
0.4613,-224,24.059096,-5969,
0.464,-222,24.106988,-5970,
0.4667,-219,24.178826,-5970,
0.4693,-217,24.226718,-5970,
0.472,-213,24.322502,-5970,
0.4747,-211,24.370394,-5971,
0.4773,-209,24.418286,-5970,
0.48,-206,24.490124,-5971,
0.4827,-204,24.538016,-5971,
0.4853,-200,24.6338,-5971,
0.488,-198,24.681692,-5971,
0.4907,-196,24.729584,-5971,
0.4933,-194,24.777476,-5971,
0.496,-191,24.849314,-5971,
0.4987,-188,24.921152,-5971,
0.5013,-185,24.99299,-5972,
0.504,-183,25.040882,-5972,
0.5067,-180,25.11272,-5972,
0.5093,-178,25.160612,-5971,
0.512,-174,25.256396,-5971,
0.5147,-172,25.304288,-5972,
0.5173,-170,25.35218,-5972,
0.52,-168,25.400072,-5971,
0.5227,-166,25.447964,-5972,
0.5253,-161,25.567694,-5972,
0.528,-159,25.615586,-5970,
0.5307,-157,25.663478,-5970,
0.5333,-155,25.71137,-5970,
0.536,-153,25.759262,-5970,
0.5387,-148,25.878992,-5970,
0.5413,-146,25.926884,-5969,
0.544,-144,25.974776,-5969,
0.5467,-141,26.046614,-5969,
0.5493,-139,26.094506,-5969,
0.552,-135,26.19029,-5969,
0.5547,-132,26.262128,-5969,
0.5573,-131,26.286074,-5969,
0.56,-128,26.357912,-5968,
0.5627,-126,26.405804,-5967,
0.5653,-122,26.501588,-5968,
0.568,-119,26.573426,-5968,
0.5707,-117,26.621318,-5968,
0.5733,-115,26.66921,-5967,
0.576,-113,26.717102,-5967,
0.5787,-109,26.812886,-5967,
0.5813,-106,26.884724,-5969,
0.584,-104,26.932616,-5968,
0.5867,-102,26.980508,-5968,
0.5893,-100,27.0284,-5968,
0.592,-95,27.14813,-5968,
0.5947,-93,27.196022,-5969,
0.5973,-91,27.243914,-5969,
0.6,-89,27.291806,-5969,
0.6027,-87,27.339698,-5970,
0.6053,-82,27.459428,-5970,
0.608,-80,27.50732,-5970,
0.6107,-78,27.555212,-5970,
0.6133,-75,27.62705,-5969,
0.616,-73,27.674942,-5969,
0.6187,-69,27.770726,-5969,
0.6213,-67,27.818618,-5969,
0.624,-65,27.86651,-5969,
0.6267,-63,27.914402,-5968,
0.6293,-61,27.962294,-5968,
0.632,-56,28.082024,-5968,
0.6347,-54,28.129916,-5967,
0.6373,-52,28.177808,-5967,
0.64,-50,28.2257,-5967,
0.6427,-48,28.273592,-5967,
0.6453,-44,28.369376,-5966,
0.648,-41,28.441214,-5965,
0.6507,-39,28.489106,-5965,
0.6533,-37,28.536998,-5964,
0.656,-33,28.632782,-5964,
0.6587,-31,28.680674,-5963,
0.6613,-29,28.728566,-5963,
0.664,-27,28.776458,-5962,
0.6667,-25,28.82435,-5961,
0.6693,-20,28.94408,-5961,
0.672,-18,28.991972,-5961,
0.6747,-16,29.039864,-5960,
0.6773,-14,29.087756,-5960,
0.68,-12,29.135648,-5960,
0.6827,-8,29.231432,-5959,
0.6853,-6,29.279324,-5958,
0.688,-4,29.327216,-5957,
0.6907,-1,29.399054,-5957,
0.6933,1,29.446946,-5956,
0.696,5,29.54273,-5956,
0.6987,7,29.590622,-5956,
0.7013,9,29.638514,-5955,
0.704,11,29.686406,-5954,
0.7067,13,29.734298,-5954,
0.7093,17,29.830082,-5954,
0.712,18,29.854028,-5954,
0.7147,21,29.925866,-5953,
0.7173,23,29.973758,-5952,
0.72,25,30.02165,-5951,
0.7227,29,30.117434,-5951,
0.7253,31,30.165326,-5951,
0.728,33,30.213218,-5949,
0.7307,35,30.26111,-5949,
0.7333,37,30.309002,-5949,
0.736,41,30.404786,-5949,
0.7387,43,30.452678,-5948,
0.7413,45,30.50057,-5947,
0.744,47,30.548462,-5948,
0.7467,49,30.596354,-5947,
