时间(分钟),信号值(微伏),
0,-5787,
0.0027,-5787,
0.0053,-5787,
0.008,-5787,
0.0107,-5786,
0.0133,-5787,
0.016,-5788,
0.0187,-5786,
0.0213,-5791,
0.024,-5789,
0.0267,-5790,
0.0293,-5788,
0.032,-5789,
0.0347,-5790,
0.0373,-5792,
0.04,-5792,
0.0427,-5795,
0.0453,-5795,
0.048,-5792,
0.0507,-5794,
0.0533,-5794,
0.056,-5795,
0.0587,-5792,
0.0613,-5792,
0.064,-5791,
0.0667,-5792,
0.0693,-5792,
0.072,-5793,
0.0747,-5793,
0.0773,-5793,
0.08,-5796,
0.0827,-5794,
0.0853,-5794,
0.088,-5791,
0.0907,-5795,
0.0933,-5796,
0.096,-5795,
0.0987,-5796,
0.1013,-5796,
0.104,-5793,
0.1067,-5794,
0.1093,-5797,
0.112,-5797,
0.1147,-5795,
0.1173,-5793,
0.12,-5793,
0.1227,-5790,
0.1253,-5795,
0.128,-5798,
0.1307,-5798,
0.1333,-5797,
0.136,-5798,
0.1387,-5797,
0.1413,-5794,
0.144,-5794,
0.1467,-5795,
0.1493,-5795,
0.152,-5795,
0.1547,-5796,
0.1573,-5796,
0.16,-5795,
0.1627,-5796,
0.1653,-5796,
0.168,-5797,
0.1707,-5797,
0.1733,-5798,
0.176,-5796,
0.1787,-5795,
0.1813,-5798,
0.184,-5798,
0.1867,-5798,
0.1893,-5797,
0.192,-5797,
0.1947,-5798,
0.1973,-5799,
0.2,-5800,
0.2027,-5801,
0.2053,-5800,
0.208,-5800,
0.2107,-5801,
0.2133,-5801,
0.216,-5801,
0.2187,-5801,
0.2213,-5803,
0.224,-5803,
0.2267,-5804,
0.2293,-5804,
0.232,-5803,
0.2347,-5803,
0.2373,-5804,
0.24,-5805,
0.2427,-5804,
0.2453,-5805,
0.248,-5806,
0.2507,-5805,
0.2533,-5805,
0.256,-5805,
0.2587,-5806,
0.2613,-5805,
0.264,-5804,
0.2667,-5803,
0.2693,-5803,
0.272,-5803,
0.2747,-5804,
0.2773,-5804,
0.28,-5804,
0.2827,-5803,
0.2853,-5803,
0.288,-5801,
0.2907,-5801,
0.2933,-5803,
0.296,-5805,
0.2987,-5805,
0.3013,-5802,
0.304,-5802,
0.3067,-5802,
0.3093,-5803,
0.312,-5803,
0.3147,-5802,
0.3173,-5803,
0.32,-5803,
0.3227,-5802,
0.3253,-5803,
0.328,-5802,
0.3307,-5801,
0.3333,-5802,
0.336,-5801,
0.3387,-5800,
0.3413,-5801,
0.344,-5800,
0.3467,-5800,
0.3493,-5800,
0.352,-5801,
0.3547,-5801,
0.3573,-5801,
0.36,-5801,
0.3627,-5802,
0.3653,-5803,
0.368,-5803,
0.3707,-5802,
0.3733,-5803,
0.376,-5803,
0.3787,-5803,
0.3813,-5803,
0.384,-5804,
0.3867,-5803,
0.3893,-5803,
0.392,-5803,
0.3947,-5804,
0.3973,-5803,
0.4,-5803,
0.4027,-5803,
