时间(分钟),信号值(微伏),信号(x),信号值(微伏)(y)
0,522,41.922812,-5787
0.0027,522,41.922812,-5787
0.0053,523,41.946758,-5787
0.008,523,41.946758,-5787
0.0107,523,41.946758,-5786
0.0133,523,41.946758,-5787
0.016,523,41.946758,-5788
0.0187,523,41.946758,-5786
0.0213,523,41.946758,-5791
0.024,524,41.970704,-5789
0.0267,524,41.970704,-5790
0.0293,524,41.970704,-5788
0.032,525,41.99465,-5789
0.0347,525,41.99465,-5790
0.0373,525,41.99465,-5792
0.04,525,41.99465,-5792
0.0427,525,41.99465,-5795
0.0453,526,42.018596,-5795
0.048,526,42.018596,-5792
0.0507,526,42.018596,-5794
0.0533,527,42.042542,-5794
0.056,527,42.042542,-5795
0.0587,528,42.066488,-5792
0.0613,528,42.066488,-5792
0.064,528,42.066488,-5791
0.0667,529,42.090434,-5792
0.0693,529,42.090434,-5792
0.072,530,42.11438,-5793
0.0747,530,42.11438,-5793
0.0773,531,42.138326,-5793
0.08,531,42.138326,-5796
0.0827,531,42.138326,-5794
0.0853,532,42.162272,-5794
0.088,533,42.186218,-5791
0.0907,533,42.186218,-5795
0.0933,534,42.210164,-5796
0.096,534,42.210164,-5795
0.0987,535,42.23411,-5796
0.1013,536,42.258056,-5796
0.104,536,42.258056,-5793
0.1067,537,42.282002,-5794
0.1093,537,42.282002,-5797
0.112,538,42.305948,-5797
0.1147,539,42.329894,-5795
0.1173,540,42.35384,-5793
0.12,540,42.35384,-5793
0.1227,540,42.35384,-5790
0.1253,542,42.401732,-5795
0.128,542,42.401732,-5798
0.1307,543,42.425678,-5798
0.1333,544,42.449624,-5797
0.136,545,42.47357,-5798
0.1387,546,42.497516,-5797
0.1413,546,42.497516,-5794
0.144,547,42.521462,-5794
0.1467,548,42.545408,-5795
0.1493,549,42.569354,-5795
0.152,550,42.5933,-5795
0.1547,551,42.617246,-5796
0.1573,552,42.641192,-5796
0.16,553,42.665138,-5795
0.1627,554,42.689084,-5796
0.1653,555,42.71303,-5796
0.168,556,42.736976,-5797
0.1707,557,42.760922,-5797
0.1733,558,42.784868,-5798
0.176,558,42.784868,-5796
0.1787,560,42.83276,-5795
0.1813,561,42.856706,-5798
0.184,562,42.880652,-5798
0.1867,563,42.904598,-5798
0.1893,564,42.928544,-5797
0.192,566,42.976436,-5797
0.1947,567,43.000382,-5798
0.1973,568,43.024328,-5799
0.2,568,43.024328,-5800
0.2027,570,43.07222,-5801
0.2053,571,43.096166,-5800
0.208,573,43.144058,-5800
0.2107,574,43.168004,-5801
0.2133,575,43.19195,-5801
0.216,576,43.215896,-5801
0.2187,578,43.263788,-5801
0.2213,579,43.287734,-5803
0.224,581,43.335626,-5803
0.2267,581,43.335626,-5804
0.2293,583,43.383518,-5804
0.232,585,43.43141,-5803
0.2347,586,43.455356,-5803
0.2373,587,43.479302,-5804
0.24,588,43.503248,-5805
0.2427,589,43.527194,-5804
0.2453,592,43.599032,-5805
0.248,593,43.622978,-5806
0.2507,594,43.646924,-5805
0.2533,595,43.67087,-5805
0.256,597,43.718762,-5805
0.2587,599,43.766654,-5806
0.2613,601,43.814546,-5805
0.264,602,43.838492,-5804
0.2667,603,43.862438,-5803
0.2693,604,43.886384,-5803
0.272,607,43.958222,-5803
0.2747,608,43.982168,-5804
0.2773,610,44.03006,-5804
0.28,611,44.054006,-5804
0.2827,612,44.077952,-5803
0.2853,615,44.14979,-5803
0.288,617,44.197682,-5801
0.2907,618,44.221628,-5801
0.2933,619,44.245574,-5803
0.296,621,44.293466,-5805
0.2987,624,44.365304,-5805
0.3013,625,44.38925,-5802
0.304,626,44.413196,-5802
0.3067,628,44.461088,-5802
0.3093,629,44.485034,-5803
0.312,633,44.580818,-5803
0.3147,634,44.604764,-5802
0.3173,636,44.652656,-5803
0.32,637,44.676602,-5803
0.3227,640,44.74844,-5802
0.3253,641,44.772386,-5803
0.328,643,44.820278,-5802
0.3307,645,44.86817,-5801
0.3333,646,44.892116,-5802
0.336,649,44.963954,-5801
0.3387,651,45.011846,-5800
0.3413,653,45.059738,-5801
0.344,654,45.083684,-5800
0.3467,656,45.131576,-5800
0.3493,659,45.203414,-5800
0.352,660,45.22736,-5801
0.3547,662,45.275252,-5801
0.3573,664,45.323144,-5801
0.36,666,45.371036,-5801
0.3627,669,45.442874,-5802
0.3653,671,45.490766,-5803
0.368,672,45.514712,-5803
0.3707,674,45.562604,-5802
0.3733,676,45.610496,-5803
0.376,679,45.682334,-5803
0.3787,681,45.730226,-5803
0.3813,683,45.778118,-5803
0.384,684,45.802064,-5804
0.3867,686,45.849956,-5803
0.3893,690,45.94574,-5803
0.392,692,45.993632,-5803
0.3947,693,46.017578,-5804
0.3973,695,46.06547,-5803
0.4,697,46.113362,-5803
0.4027,700,46.1852,-5803
0.4053,702,46.233092,-5802
0.408,704,46.280984,-5803
0.4107,706,46.328876,-5802
0.4133,708,46.376768,-5803
0.416,711,46.448606,-5804
0.4187,713,46.496498,-5803
0.4213,715,46.54439,-5803
0.424,717,46.592282,-5803
0.4267,719,46.640174,-5802
0.4293,722,46.712012,-5803
0.432,724,46.759904,-5803
0.4347,726,46.807796,-5802
0.4373,728,46.855688,-5802
0.44,729,46.879634,-5802
0.4427,733,46.975418,-5802
0.4453,735,47.02331,-5801
0.448,737,47.071202,-5802
0.4507,739,47.119094,-5803
0.4533,741,47.166986,-5801
0.456,744,47.238824,-5801
0.4587,746,47.286716,-5801
0.4613,748,47.334608,-5802
0.464,750,47.3825,-5802
0.4667,752,47.430392,-5804
0.4693,755,47.50223,-5805
0.472,758,47.574068,-5805
0.4747,760,47.62196,-5800
0.4773,761,47.645906,-5802
0.48,763,47.693798,-5801
0.4827,767,47.789582,-5800
0.4853,769,47.837474,-5801
0.488,771,47.885366,-5802
0.4907,773,47.933258,-5802
0.4933,775,47.98115,-5802
0.496,779,48.076934,-5803
0.4987,781,48.124826,-5803
0.5013,783,48.172718,-5803
0.504,785,48.22061,-5803
0.5067,787,48.268502,-5803
0.5093,791,48.364286,-5802
0.512,793,48.412178,-5803
0.5147,795,48.46007,-5803
0.5173,797,48.507962,-5803
0.52,798,48.531908,-5803
0.5227,802,48.627692,-5803
0.5253,804,48.675584,-5802
0.528,806,48.723476,-5802
0.5307,808,48.771368,-5803
0.5333,810,48.81926,-5803
0.536,814,48.915044,-5803
