时间(分钟),信号值(微伏)
0.0000,-6089
0.0027,-6089
0.0053,-6089
0.0080,-6089
0.0107,-6089
0.0133,-6090
0.0160,-6090
0.0187,-6090
0.0213,-6090
0.0240,-6090
0.0267,-6090
0.0293,-6090
0.0320,-6089
0.0347,-6089
0.0373,-6089
0.0400,-6090
0.0427,-6090
0.0453,-6090
0.0480,-6090
0.0507,-6090
0.0533,-6089
0.0560,-6089
0.0587,-6089
0.0613,-6089
0.0640,-6089
0.0667,-6088
0.0693,-6088
0.0720,-6089
0.0747,-6089
0.0773,-6088
0.0800,-6087
0.0827,-6087
0.0853,-6088
0.0880,-6088
0.0907,-6088
0.0933,-6087
0.0960,-6087
0.0987,-6087
0.1013,-6087
0.1040,-6086
0.1067,-6087
0.1093,-6087
0.1120,-6085
0.1147,-6085
0.1173,-6088
0.1200,-6087
0.1227,-6087
0.1253,-6086
0.1280,-6086
0.1307,-6086
0.1333,-6086
0.1360,-6085
0.1387,-6085
0.1413,-6086
0.1440,-6086
0.1467,-6085
0.1493,-6086
0.1520,-6086
0.1547,-6085
0.1573,-6085
0.1600,-6086
0.1627,-6086
0.1653,-6085
0.1680,-6086
0.1707,-6084
0.1733,-6084
0.1760,-6084
0.1787,-6083
0.1813,-6083
0.1840,-6082
0.1867,-6083
0.1893,-6083
0.1920,-6084
0.1947,-6083
0.1973,-6082
0.2000,-6082
0.2027,-6081
0.2053,-6082
0.2080,-6081
0.2107,-6081
0.2133,-6081
0.2160,-6081
0.2187,-6081
0.2213,-6081
0.2240,-6081
0.2267,-6078
0.2293,-6078
0.2320,-6079
0.2347,-6078
0.2373,-6079
0.2400,-6078
0.2427,-6079
0.2453,-6079
0.2480,-6080
0.2507,-6080
0.2533,-6079
0.2560,-6080
0.2587,-6080
0.2613,-6079
0.2640,-6080
0.2667,-6080
0.2693,-6080
0.2720,-6080
0.2747,-6079
0.2773,-6079
0.2800,-6079
0.2827,-6079
0.2853,-6079
0.2880,-6079
0.2907,-6079
0.2933,-6078
0.2960,-6079
0.2987,-6079
0.3013,-6079
0.3040,-6079
0.3067,-6078
0.3093,-6079
0.3120,-6079
0.3147,-6078
0.3173,-6078
0.3200,-6077
0.3227,-6079
0.3253,-6078
0.3280,-6078
0.3307,-6078
0.3333,-6078
0.3360,-6078
0.3387,-6078
0.3413,-6078
0.3440,-6077
0.3467,-6078
0.3493,-6078
0.3520,-6077
0.3547,-6076
0.3573,-6076
0.3600,-6078
0.3627,-6076
0.3653,-6075
0.3680,-6076
0.3707,-6077
0.3733,-6076
0.3760,-6076
0.3787,-6077
0.3813,-6076
0.3840,-6077
0.3867,-6075
0.3893,-6075
0.3920,-6076
0.3947,-6076
0.3973,-6074
0.4000,-6076
0.4027,-6076
0.4053,-6074
0.4080,-6074
0.4107,-6075
0.4133,-6074
0.4160,-6074
0.4187,-6073
0.4213,-6073
0.4240,-6073
0.4267,-6074
0.4293,-6072
0.4320,-6073
0.4347,-6073
0.4373,-6073
0.4400,-6073
0.4427,-6074
0.4453,-6073
0.4480,-6073
0.4507,-6074
0.4533,-6074
0.4560,-6072
0.4587,-6073
0.4613,-6072
0.4640,-6074
0.4667,-6074
0.4693,-6074
0.4720,-6074
0.4747,-6072
0.4773,-6073
0.4800,-6074
0.4827,-6074
0.4853,-6074
0.4880,-6074
0.4907,-6074
0.4933,-6075
0.4960,-6075
0.4987,-6074
0.5013,-6074
0.5040,-6074
0.5067,-6073
0.5093,-6074
0.5120,-6074
0.5147,-6074
0.5173,-6074
0.5200,-6074
0.5227,-6074
0.5253,-6074
0.5280,-6073
0.5307,-6074
0.5333,-6075
0.5360,-6075
0.5387,-6076
0.5413,-6076
0.5440,-6076
0.5467,-6074
0.5493,-6074
0.5520,-6075
0.5547,-6076
0.5573,-6076
0.5600,-6075
0.5627,-6075
0.5653,-6076
0.5680,-6076
0.5707,-6076
0.5733,-6075
0.5760,-6076
0.5787,-6076
0.5813,-6076
0.5840,-6077
0.5867,-6077
0.5893,-6077
0.5920,-6078
0.5947,-6077
0.5973,-6077
0.6000,-6076
0.6027,-6076
0.6053,-6075
0.6080,-6075
0.6107,-6077
0.6133,-6078
0.6160,-6076
0.6187,-6076
0.6213,-6077
0.6240,-6078
0.6267,-6078
0.6293,-6078
0.6320,-6077
0.6347,-6077
0.6373,-6078
0.6400,-6078
0.6427,-6077
0.6453,-6078
0.6480,-6078
0.6507,-6079
0.6533,-6078
0.6560,-6078
0.6587,-6078
0.6613,-6077
0.6640,-6077
0.6667,-6078
0.6693,-6078
0.6720,-6079
0.6747,-6079
0.6773,-6078
0.6800,-6079
0.6827,-6079
0.6853,-6079
0.6880,-6078
0.6907,-6078
0.6933,-6078
0.6960,-6078
0.6987,-6078
0.7013,-6078
0.7040,-6078
0.7067,-6077
0.7093,-6077
0.7120,-6078
0.7147,-6078
0.7173,-6078
0.7200,-6078
0.7227,-6078
0.7253,-6078
0.7280,-6078
0.7307,-6077
0.7333,-6077
0.7360,-6077
0.7387,-6078
0.7413,-6079
0.7440,-6079
0.7467,-6078
0.7493,-6078
0.7520,-6078
0.7547,-6078
0.7573,-6078
0.7600,-6078
0.7627,-6078
0.7653,-6078
0.7680,-6078
0.7707,-6078
0.7733,-6078
0.7760,-6078
0.7787,-6078
0.7813,-6078
0.7840,-6078
0.7867,-6078
0.7893,-6079
0.7920,-6079
0.7947,-6078
0.7973,-6078
0.8000,-6078
0.8027,-6079
0.8053,-6078
0.8080,-6078
0.8107,-6078
0.8133,-6078
0.8160,-6078
0.8187,-6078
0.8213,-6078
0.8240,-6079
0.8267,-6078
0.8293,-6078
0.8320,-6078
0.8347,-6078
0.8373,-6078
0.8400,-6079
0.8427,-6078
0.8453,-6078
0.8480,-6078
0.8507,-6079
0.8533,-6079
0.8560,-6078
0.8587,-6078
0.8613,-6079
0.8640,-6079
0.8667,-6079
0.8693,-6078
0.8720,-6079
0.8747,-6078
0.8773,-6078
0.8800,-6078
0.8827,-6078
0.8853,-6079
0.8880,-6079
0.8907,-6078
0.8933,-6079
0.8960,-6078
0.8987,-6079
0.9013,-6078
0.9040,-6079
0.9067,-6079
0.9093,-6079
0.9120,-6079
0.9147,-6079
0.9173,-6079
0.9200,-6080
0.9227,-6078
0.9253,-6078
0.9280,-6078
0.9307,-6079
0.9333,-6078
0.9360,-6078
0.9387,-6078
0.9413,-6078
0.9440,-6077
0.9467,-6077
0.9493,-6077
0.9520,-6077
0.9547,-6077
0.9573,-6077
0.9600,-6077
0.9627,-6077
0.9653,-6076
0.9680,-6076
0.9707,-6076
0.9733,-6077
0.9760,-6076
0.9787,-6077
0.9813,-6077
0.9840,-6076
0.9867,-6076
0.9893,-6076
0.9920,-6075
0.9947,-6075
0.9973,-6075
1.0000,-6073
1.0027,-6073
1.0053,-6073
1.0080,-6073
1.0107,-6073
1.0133,-6073
1.0160,-6073
1.0187,-6073
1.0213,-6074
1.0240,-6075
1.0267,-6074
1.0293,-6074
1.0320,-6074
1.0347,-6074
1.0373,-6073
1.0400,-6073
1.0427,-6073
1.0453,-6073
1.0480,-6072
1.0507,-6072
1.0533,-6073
1.0560,-6073
1.0587,-6073
1.0613,-6073
1.0640,-6074
1.0667,-6075
1.0693,-6076
1.0720,-6076
1.0747,-6075
1.0773,-6076
1.0800,-6076
1.0827,-6076
1.0853,-6076
1.0880,-6076
1.0907,-6076
1.0933,-6075
1.0960,-6075
1.0987,-6075
1.1013,-6075
1.1040,-6076
1.1067,-6076
1.1093,-6076
1.1120,-6076
1.1147,-6076
1.1173,-6076
1.1200,-6076
1.1227,-6076
1.1253,-6076
1.1280,-6075
1.1307,-6075
1.1333,-6075
1.1360,-6075
1.1387,-6074
1.1413,-6074
1.1440,-6073
1.1467,-6073
1.1493,-6073
1.1520,-6073
1.1547,-6074
1.1573,-6073
1.1600,-6074
1.1627,-6073
1.1653,-6073
1.1680,-6073
1.1707,-6073
1.1733,-6072
1.1760,-6073
1.1787,-6073
1.1813,-6072
1.1840,-6072
1.1867,-6073
1.1893,-6072
1.1920,-6072
1.1947,-6072
1.1973,-6071
1.2000,-6071
1.2027,-6070
1.2053,-6070
1.2080,-6070
1.2107,-6070
1.2133,-6069
1.2160,-6069
1.2187,-6069
1.2213,-6069
1.2240,-6069
1.2267,-6068
1.2293,-6068
1.2320,-6068
1.2347,-6070
1.2373,-6069
1.2400,-6069
1.2427,-6068
1.2453,-6068
1.2480,-6068
1.2507,-6067
1.2533,-6067
1.2560,-6067
1.2587,-6067
1.2613,-6067
1.2640,-6067
1.2667,-6067
1.2693,-6067
1.2720,-6067
1.2747,-6067
1.2773,-6067
1.2800,-6067
1.2827,-6067
1.2853,-6066
1.2880,-6066
1.2907,-6066
1.2933,-6067
1.2960,-6068
1.2987,-6068
1.3013,-6067
1.3040,-6067
1.3067,-6067
1.3093,-6067
1.3120,-6067
1.3147,-6066
1.3173,-6066
1.3200,-6066
1.3227,-6066
1.3253,-6066
1.3280,-6066
1.3307,-6065
1.3333,-6066
1.3360,-6066
1.3387,-6066
1.3413,-6065
1.3440,-6066
